ID	G	vertices	b0·bi	sign(bi·bj)	Δ	Δ+28n	T_min	bi·bj	hypers	hypers(1)	hypers(1,2)	hypers(2)	hypers(2,3)	hypers(3)
clq-(0,2)-(0,1)-n26-2703da54	SU(5) x SU(13)	vtx-A04-51-n1-1, vtx-A12-n12-n1-n1	[1, -1]	[0, 1]	-26	2	10	[[-1, 1], [1, -1]]	"{""1"": ""1 x (irr-A4-10)"", ""2"": ""1 x (irr-A12-91)"", ""1,2"": ""1 x (irr-A4-5, irr-A12-13)""}"	1 x (irr-A4-10)	1 x (irr-A4-5, irr-A12-13)	1 x (irr-A12-91)		
clq-(0,2)-(0,1)-n27-54192926	SU(14) x Sp(3)	vtx-A13-n6-n1-n1, vtx-C03-63-n1-1	[-1, 1]	[0, 1]	-27	1	10	[[-1, 1], [1, -1]]	"{""1"": ""1 x (irr-A13-105)"", ""1,2"": ""1 x (irr-A13-14, irr-C3-6)""}"	1 x (irr-A13-105)	1 x (irr-A13-14, irr-C3-6)			
clq-(0,2)-(0,1)-n25-4a58129b	SU(6) x SU(14)	vtx-A05-65-n1-1, vtx-A13-n6-n1-n1	[1, -1]	[0, 1]	-25	3	10	[[-1, 1], [1, -1]]	"{""1"": ""1 x (irr-A5-6) + 1 x (irr-A5-20-h)"", ""2"": ""1 x (irr-A13-105)"", ""1,2"": ""1 x (irr-A5-6, irr-A13-14)""}"	1 x (irr-A5-6) + 1 x (irr-A5-20-h)	1 x (irr-A5-6, irr-A13-14)	1 x (irr-A13-105)		
clq-(0,2)-(0,1)-n26-7d713dd6	SU(7) x SU(15)	vtx-A06-78-n1-1, vtx-A14-1-n1-n1	[1, -1]	[0, 1]	-26	2	10	[[-1, 1], [1, -1]]	"{""1"": ""1 x (irr-A6-21)"", ""2"": ""1 x (irr-A14-120)"", ""1,2"": ""1 x (irr-A6-7, irr-A14-15)""}"	1 x (irr-A6-21)	1 x (irr-A6-7, irr-A14-15)	1 x (irr-A14-120)		
clq-(0,2)-(0,1)-n24-cea6793b	SU(6) x SU(15)	vtx-A05-65-n1-1, vtx-A14-1-n1-n1	[1, -1]	[0, 1]	-24	4	10	[[-1, 1], [1, -1]]	"{""1"": ""1 x (irr-A5-20-h)"", ""2"": ""1 x (irr-A14-15) + 1 x (irr-A14-120)"", ""1,2"": ""1 x (irr-A5-6, irr-A14-15)""}"	1 x (irr-A5-20-h)	1 x (irr-A5-6, irr-A14-15)	1 x (irr-A14-15) + 1 x (irr-A14-120)		
clq-(0,2)-(0,1)-n27-33c40e73	SU(16) x Sp(4)	vtx-A15-9-n1-n1, vtx-C04-92-n1-1	[-1, 1]	[0, 1]	-27	1	10	[[-1, 1], [1, -1]]	"{""1"": ""1 x (irr-A15-136)"", ""1,2"": ""1 x (irr-A15-16, irr-C4-8)""}"	1 x (irr-A15-136)	1 x (irr-A15-16, irr-C4-8)			
clq-(0,2)-(0,2)-n54-b5ae7e9b(Non-Higgsable!)	SU(8) x SU(16)	vtx-A07-65-n2-0, vtx-A15-9-n1-n1	[0, -1]	[0, 2]	-54	2	2	[[-2, 1], [1, -1]]	"{""2"": ""1 x (irr-A15-136)"", ""1,2"": ""1 x (irr-A7-8, irr-A15-16)""}"		1 x (irr-A7-8, irr-A15-16)	1 x (irr-A15-136)		
clq-(0,2)-(0,1)-n26-72ee8f84	SU(9) x SU(17)	vtx-A08-109-n1-1, vtx-A16-18-n1-n1	[1, -1]	[0, 1]	-26	2	10	[[-1, 1], [1, -1]]	"{""1"": ""1 x (irr-A8-36)"", ""2"": ""1 x (irr-A16-153)"", ""1,2"": ""1 x (irr-A8-9, irr-A16-17)""}"	1 x (irr-A8-36)	1 x (irr-A8-9, irr-A16-17)	1 x (irr-A16-153)		
clq-(0,2)-(0,1)-n27-7f693188	SU(18) x Sp(5)	vtx-A17-28-n1-n1, vtx-C05-125-n1-1	[-1, 1]	[0, 1]	-27	1	10	[[-1, 1], [1, -1]]	"{""1"": ""1 x (irr-A17-171)"", ""1,2"": ""1 x (irr-A17-18, irr-C5-10)""}"	1 x (irr-A17-171)	1 x (irr-A17-18, irr-C5-10)			
clq-(0,2)-(0,2)-n52-5a42d2a3	SU(9) x SU(18)	vtx-A08-82-n2-0, vtx-A17-28-n1-n1	[0, -1]	[0, 2]	-52	4	2	[[-2, 1], [1, -1]]	"{""2"": ""1 x (irr-A17-18) + 1 x (irr-A17-171)"", ""1,2"": ""1 x (irr-A8-9, irr-A17-18)""}"		1 x (irr-A8-9, irr-A17-18)	1 x (irr-A17-18) + 1 x (irr-A17-171)		
clq-(0,2)-(0,2)-n51-b69e2adc	SU(10) x SU(18)	vtx-A09-101-n2-0, vtx-A17-28-n1-n1	[0, -1]	[0, 2]	-51	5	2	[[-2, 1], [1, -1]]	"{""1"": ""2 x (irr-A9-10)"", ""2"": ""1 x (irr-A17-171)"", ""1,2"": ""1 x (irr-A9-10, irr-A17-18)""}"	2 x (irr-A9-10)	1 x (irr-A9-10, irr-A17-18)	1 x (irr-A17-171)		
clq-(0,2)-(0,1)-n26-efa783c6	SU(11) x SU(19)	vtx-A10-144-n1-1, vtx-A18-39-n1-n1	[1, -1]	[0, 1]	-26	2	10	[[-1, 1], [1, -1]]	"{""1"": ""1 x (irr-A10-55)"", ""2"": ""1 x (irr-A18-190)"", ""1,2"": ""1 x (irr-A10-11, irr-A18-19)""}"	1 x (irr-A10-55)	1 x (irr-A10-11, irr-A18-19)	1 x (irr-A18-190)		
