"TH"	"count"	"file"
1	1	"TH001.tsv"
2	2	"TH002.tsv"
3	5	"TH003.tsv"
4	17	"TH004.tsv"
5	28	"TH005.tsv"
6	54	"TH006.tsv"
7	77	"TH007.tsv"
8	125	"TH008.tsv"
9	148	"TH009.tsv"
10	169	"TH010.tsv"
11	191	"TH011.tsv"
12	226	"TH012.tsv"
13	226	"TH013.tsv"
14	239	"TH014.tsv"
15	270	"TH015.tsv"
16	270	"TH016.tsv"
17	245	"TH017.tsv"
18	265	"TH018.tsv"
19	228	"TH019.tsv"
20	273	"TH020.tsv"
21	249	"TH021.tsv"
22	235	"TH022.tsv"
23	219	"TH023.tsv"
24	229	"TH024.tsv"
25	215	"TH025.tsv"
26	222	"TH026.tsv"
27	216	"TH027.tsv"
28	189	"TH028.tsv"
29	169	"TH029.tsv"
30	199	"TH030.tsv"
31	187	"TH031.tsv"
32	205	"TH032.tsv"
33	171	"TH033.tsv"
34	161	"TH034.tsv"
35	160	"TH035.tsv"
36	174	"TH036.tsv"
37	175	"TH037.tsv"
38	152	"TH038.tsv"
39	142	"TH039.tsv"
40	147	"TH040.tsv"
41	129	"TH041.tsv"
42	160	"TH042.tsv"
43	133	"TH043.tsv"
44	141	"TH044.tsv"
45	124	"TH045.tsv"
46	134	"TH046.tsv"
47	126	"TH047.tsv"
48	140	"TH048.tsv"
49	122	"TH049.tsv"
50	116	"TH050.tsv"
51	107	"TH051.tsv"
52	99	"TH052.tsv"
53	94	"TH053.tsv"
54	90	"TH054.tsv"
55	75	"TH055.tsv"
56	86	"TH056.tsv"
57	90	"TH057.tsv"
58	84	"TH058.tsv"
59	76	"TH059.tsv"
60	79	"TH060.tsv"
61	81	"TH061.tsv"
62	79	"TH062.tsv"
63	73	"TH063.tsv"
64	67	"TH064.tsv"
65	49	"TH065.tsv"
66	66	"TH066.tsv"
67	56	"TH067.tsv"
68	76	"TH068.tsv"
69	72	"TH069.tsv"
70	64	"TH070.tsv"
71	57	"TH071.tsv"
72	62	"TH072.tsv"
73	61	"TH073.tsv"
74	60	"TH074.tsv"
75	61	"TH075.tsv"
76	49	"TH076.tsv"
77	40	"TH077.tsv"
78	58	"TH078.tsv"
79	56	"TH079.tsv"
80	65	"TH080.tsv"
81	63	"TH081.tsv"
82	56	"TH082.tsv"
83	53	"TH083.tsv"
84	59	"TH084.tsv"
85	58	"TH085.tsv"
86	57	"TH086.tsv"
87	54	"TH087.tsv"
88	48	"TH088.tsv"
89	36	"TH089.tsv"
90	56	"TH090.tsv"
91	52	"TH091.tsv"
92	59	"TH092.tsv"
93	57	"TH093.tsv"
94	50	"TH094.tsv"
95	48	"TH095.tsv"
96	50	"TH096.tsv"
97	52	"TH097.tsv"
98	45	"TH098.tsv"
99	45	"TH099.tsv"
100	20	"TH100.tsv"
101	25	"TH101.tsv"
102	35	"TH102.tsv"
103	19	"TH103.tsv"
104	20	"TH104.tsv"
105	18	"TH105.tsv"
106	25	"TH106.tsv"
107	19	"TH107.tsv"
108	17	"TH108.tsv"
109	18	"TH109.tsv"
110	15	"TH110.tsv"
111	12	"TH111.tsv"
112	11	"TH112.tsv"
113	12	"TH113.tsv"
114	14	"TH114.tsv"
115	14	"TH115.tsv"
116	13	"TH116.tsv"
117	11	"TH117.tsv"
118	14	"TH118.tsv"
119	12	"TH119.tsv"
120	12	"TH120.tsv"
121	13	"TH121.tsv"
122	7	"TH122.tsv"
123	2	"TH123.tsv"
124	1	"TH124.tsv"
125	5	"TH125.tsv"
126	8	"TH126.tsv"
127	6	"TH127.tsv"
128	7	"TH128.tsv"
129	8	"TH129.tsv"
130	6	"TH130.tsv"
131	4	"TH131.tsv"
132	6	"TH132.tsv"
133	4	"TH133.tsv"
134	6	"TH134.tsv"
135	2	"TH135.tsv"
136	1	"TH136.tsv"
137	0	"TH137.tsv"
138	4	"TH138.tsv"
139	4	"TH139.tsv"
140	3	"TH140.tsv"
141	6	"TH141.tsv"
142	3	"TH142.tsv"
143	3	"TH143.tsv"
144	6	"TH144.tsv"
145	4	"TH145.tsv"
146	4	"TH146.tsv"
147	1	"TH147.tsv"
148	1	"TH148.tsv"
149	0	"TH149.tsv"
150	4	"TH150.tsv"
151	3	"TH151.tsv"
152	2	"TH152.tsv"
153	5	"TH153.tsv"
154	3	"TH154.tsv"
155	3	"TH155.tsv"
156	5	"TH156.tsv"
157	4	"TH157.tsv"
158	4	"TH158.tsv"
159	1	"TH159.tsv"
160	1	"TH160.tsv"
161	0	"TH161.tsv"
162	4	"TH162.tsv"
163	3	"TH163.tsv"
164	2	"TH164.tsv"
165	3	"TH165.tsv"
166	2	"TH166.tsv"
167	1	"TH167.tsv"
168	1	"TH168.tsv"
169	1	"TH169.tsv"
170	0	"TH170.tsv"
171	0	"TH171.tsv"
172	1	"TH172.tsv"
173	0	"TH173.tsv"
174	0	"TH174.tsv"
175	0	"TH175.tsv"
176	0	"TH176.tsv"
177	0	"TH177.tsv"
178	1	"TH178.tsv"
179	1	"TH179.tsv"
180	1	"TH180.tsv"
181	1	"TH181.tsv"
182	0	"TH182.tsv"
183	0	"TH183.tsv"
184	0	"TH184.tsv"
185	0	"TH185.tsv"
186	0	"TH186.tsv"
187	0	"TH187.tsv"
188	0	"TH188.tsv"
189	0	"TH189.tsv"
190	0	"TH190.tsv"
191	1	"TH191.tsv"
192	1	"TH192.tsv"
