T_H,LST_Gauge,SUGRA_Gauge,source_files,num_sources
1,(none),2 f4 + su2+g2,T002/Ext4,1
1,(none),2 so8 + 2 su2+g2,T002/Ext6,1
1,(none),2 so8 + su2+g2,T002/Ext4,1
1,(none),2 so8 + su2+g2 + 2 su3,T002/Ext6,1
1,(none),2 so8 + su2+g2 + su3,T002/Ext5,1
1,(none),2 so8 + su2+so7+su2,T002/Ext5,1
1,(none),2 so8 + su2+so7+su2 + su3,T002/Ext6,1
1,(none),2 su2+g2,T002/Ext4,1
1,(none),2 su2+g2 + 2 su3,T002/Ext6,1
1,(none),2 su2+g2 + 3 su3,T002/Ext7,1
1,(none),2 su2+g2 + 4 su3,T002/Ext8,1
1,(none),2 su2+g2 + su2+so7+su2,T002/Ext7,1
1,(none),2 su2+g2 + su2+so7+su2 + su3,T002/Ext8,1
1,(none),2 su2+g2 + su3,T002/Ext5,1
1,(none),2 su2+so7+su2,T002/Ext6,1
1,(none),2 su2+so7+su2 + 2 su3,T002/Ext8,1
1,(none),2 su2+so7+su2 + su3,T002/Ext7,1
1,(none),3 so8 + su2+g2,T002/Ext5,1
1,(none),3 su2+g2,T002/Ext6,1
1,(none),3 su2+g2 + 2 su3,T002/Ext8,1
1,(none),3 su2+g2 + su3,T002/Ext7,1
1,(none),4 su2+g2,T002/Ext8,1
1,(none),8 su3,T002/Ext8,1
1,(none),e6 + 2 su2+g2,T002/Ext5,1
1,(none),e6 + 2 su2+g2 + su3,T002/Ext6,1
1,(none),e6 + f4 + su2+g2,T002/Ext4,1
1,(none),e6 + so8 + su2+g2,T002/Ext4,1
1,(none),e6 + so8 + su2+g2 + su3,T002/Ext5,1
1,(none),e6 + so8 + su2+so7+su2,T002/Ext5,1
1,(none),e6 + su2+g2,T002/Ext3,1
1,(none),e6 + su2+g2 + 2 su3,T002/Ext5,1
1,(none),e6 + su2+g2 + 3 su3,T002/Ext6,1
1,(none),e6 + su2+g2 + su2+so7+su2,T002/Ext6,1
1,(none),e6 + su2+g2 + su3,T002/Ext4,1
1,(none),e6 + su2+so7+su2,T002/Ext4,1
1,(none),e6 + su2+so7+su2 + 2 su3,T002/Ext6,1
1,(none),e6 + su2+so7+su2 + su3,T002/Ext5,1
1,(none),e7 + 2 su2+g2,T002/Ext5,1
1,(none),e7 + f4 + su2+g2,T002/Ext4,1
1,(none),e7 + so8 + su2+g2,T002/Ext4,1
1,(none),e7 + su2+g2,T002/Ext3,1
1,(none),e7 + su2+g2 + 2 su3,T002/Ext5,1
1,(none),e7 + su2+g2 + su3,T002/Ext4,1
1,(none),e7 + su2+so7+su2,T002/Ext4,1
1,(none),e7 + su2+so7+su2 + su3,T002/Ext5,1
1,(none),e7p + 2 su2+g2,T002/Ext5,1
1,(none),e7p + f4 + su2+g2,T002/Ext4,1
1,(none),e7p + so8 + su2+g2,T002/Ext4,1
1,(none),e7p + su2+g2,T002/Ext3,1
1,(none),e7p + su2+g2 + 2 su3,T002/Ext5,1
1,(none),e7p + su2+g2 + su3,T002/Ext4,1
1,(none),e7p + su2+so7+su2,T002/Ext4,1
1,(none),e7p + su2+so7+su2 + su3,T002/Ext5,1
1,(none),e8 + 2 su2+g2,T002/Ext5,1
1,(none),e8 + so8 + su2+g2,T002/Ext4,1
1,(none),e8 + su2+g2,T002/Ext3,1
1,(none),e8 + su2+g2 + 2 su3,T002/Ext5,1
1,(none),e8 + su2+g2 + su3,T002/Ext4,1
1,(none),e8 + su2+so7+su2,T002/Ext4,1
1,(none),e8 + su2+so7+su2 + su3,T002/Ext5,1
1,(none),f4 + 2 su2+g2,T002/Ext5,1
1,(none),f4 + 2 su2+g2 + su3,T002/Ext6,1
1,(none),f4 + so8 + su2+g2,T002/Ext4,1
1,(none),f4 + so8 + su2+g2 + su3,T002/Ext5,1
1,(none),f4 + so8 + su2+so7+su2,T002/Ext5,1
1,(none),f4 + su2+g2,T002/Ext3,1
1,(none),f4 + su2+g2 + 2 su3,T002/Ext5,1
1,(none),f4 + su2+g2 + 3 su3,T002/Ext6,1
1,(none),f4 + su2+g2 + su2+so7+su2,T002/Ext6,1
1,(none),f4 + su2+g2 + su3,T002/Ext4,1
1,(none),f4 + su2+so7+su2,T002/Ext4,1
1,(none),f4 + su2+so7+su2 + 2 su3,T002/Ext6,1
1,(none),f4 + su2+so7+su2 + su3,T002/Ext5,1
1,(none),so8 + 2 su2+g2,T002/Ext5,1
1,(none),so8 + 2 su2+g2 + 2 su3,T002/Ext7,1
1,(none),so8 + 2 su2+g2 + su3,T002/Ext6,1
1,(none),so8 + 2 su2+so7+su2,T002/Ext7,1
1,(none),so8 + 3 su2+g2,T002/Ext7,1
1,(none),so8 + su2+g2,T002/Ext3,1
1,(none),so8 + su2+g2 + 2 su3,T002/Ext5,1
1,(none),so8 + su2+g2 + 3 su3,T002/Ext6,1
1,(none),so8 + su2+g2 + 4 su3,T002/Ext7,1
1,(none),so8 + su2+g2 + su2+so7+su2,T002/Ext6,1
1,(none),so8 + su2+g2 + su2+so7+su2 + su3,T002/Ext7,1
1,(none),so8 + su2+g2 + su3,T002/Ext4,1
1,(none),so8 + su2+so7+su2,T002/Ext4,1
1,(none),so8 + su2+so7+su2 + 2 su3,T002/Ext6,1
1,(none),so8 + su2+so7+su2 + 3 su3,T002/Ext7,1
1,(none),so8 + su2+so7+su2 + su3,T002/Ext5,1
1,(none),su2+g2,T002/Ext2,1
1,(none),su2+g2 + 2 su2+so7+su2,T002/Ext8,1
1,(none),su2+g2 + 2 su3,T002/Ext4,1
1,(none),su2+g2 + 3 su3,T002/Ext5,1
1,(none),su2+g2 + 4 su3,T002/Ext6,1
1,(none),su2+g2 + 5 su3,T002/Ext7,1
1,(none),su2+g2 + 6 su3,T002/Ext8,1
1,(none),su2+g2 + su2+so7+su2,T002/Ext5,1
1,(none),su2+g2 + su2+so7+su2 + 2 su3,T002/Ext7,1
1,(none),su2+g2 + su2+so7+su2 + 3 su3,T002/Ext8,1
1,(none),su2+g2 + su2+so7+su2 + su3,T002/Ext6,1
