T_H,LST_Gauge,SUGRA_Gauge,cls_count,mrg_bases,mrg_rows,status,cls_externals
1,(none),2 e6,1,1,1,MATCH,2 e6
1,(none),2 e6 + 2 su2,9,0,0,CLS_ONLY_su2hat1,2 e6 + 2 su2
1,(none),2 e6 + 2 su2 + su3,1,0,0,CLS_ONLY_su2hat1,2 e6 + 2 su2 + su3
1,(none),2 e6 + 2 su3,1,1,1,MATCH,2 e6 + 2 su3
1,(none),2 e6 + 3 su2,4,0,0,CLS_ONLY_su2hat1,2 e6 + 3 su2
1,(none),2 e6 + 4 su2,1,0,0,CLS_ONLY_su2hat1,2 e6 + 4 su2
1,(none),2 e6 + su2,1,0,0,CLS_ONLY_su2hat1,2 e6 + su2
1,(none),2 e6 + su2 + su3,1,0,0,CLS_ONLY_su2hat1,2 e6 + su2 + su3
1,(none),2 e6 + su3,2,1,1,COUNT_DIFF,2 e6 + su3
1,(none),2 e7,1,1,1,MATCH,2 e7
1,(none),2 e7 + 2 su2,1,0,0,CLS_ONLY_su2hat1,2 e7 + 2 su2
1,(none),2 e7 + su2,1,0,0,CLS_ONLY_su2hat1,2 e7 + su2
1,(none),2 e7p,1,1,1,MATCH,2 e7'
1,(none),2 e7p + 2 su2,1,0,0,CLS_ONLY_su2hat1,2 e7' + 2 su2
1,(none),2 e7p + su2,1,0,0,CLS_ONLY_su2hat1,2 e7' + su2
1,(none),2 e8,1,1,1,MATCH,2 e8
1,(none),2 f4,1,1,1,MATCH,2 f4
1,(none),2 f4 + 2 su2,22,0,0,CLS_ONLY_su2hat1,2 f4 + 2 su2
1,(none),2 f4 + 2 su2 + su3,3,0,0,CLS_ONLY_su2hat1,2 f4 + 2 su2 + su3
1,(none),2 f4 + 2 su3,1,1,1,MATCH,2 f4 + 2 su3
1,(none),2 f4 + 3 su2,14,0,0,CLS_ONLY_su2hat1,2 f4 + 3 su2
1,(none),2 f4 + 4 su2,3,0,0,CLS_ONLY_su2hat1,2 f4 + 4 su2
1,(none),2 f4 + su2,1,0,0,CLS_ONLY_su2hat1,2 f4 + su2
1,(none),2 f4 + su2 + su3,1,0,0,CLS_ONLY_su2hat1,2 f4 + su2 + su3
1,(none),2 f4 + su2+g2,0,1,1,MRG_ONLY,
1,(none),2 f4 + su3,2,1,1,COUNT_DIFF,2 f4 + su3
1,(none),2 so8,5,1,3,COUNT_DIFF,2 so8
1,(none),2 so8 + 2 su2,44,0,0,CLS_ONLY_su2hat1,2 so8 + 2 su2
1,(none),2 so8 + 2 su2 + 2 su3,29,0,0,CLS_ONLY_su2hat1,2 so8 + 2 su2 + 2 su3
1,(none),2 so8 + 2 su2 + 3 su3,2,0,0,CLS_ONLY_su2hat1,2 so8 + 2 su2 + 3 su3
1,(none),2 so8 + 2 su2 + su3,85,0,0,CLS_ONLY_su2hat1,2 so8 + 2 su2 + su3
1,(none),2 so8 + 2 su2+g2,0,1,1,MRG_ONLY,
1,(none),2 so8 + 2 su3,20,1,1,COUNT_DIFF,2 so8 + 2 su3
1,(none),2 so8 + 3 su2,173,0,0,CLS_ONLY_su2hat1,2 so8 + 3 su2
1,(none),2 so8 + 3 su2 + 2 su3,13,0,0,CLS_ONLY_su2hat1,2 so8 + 3 su2 + 2 su3
1,(none),2 so8 + 3 su2 + su3,110,0,0,CLS_ONLY_su2hat1,2 so8 + 3 su2 + su3
1,(none),2 so8 + 3 su3,7,1,2,COUNT_DIFF,2 so8 + 3 su3
1,(none),2 so8 + 4 su2,175,0,0,CLS_ONLY_su2hat1,2 so8 + 4 su2
1,(none),2 so8 + 4 su2 + 2 su3,3,0,0,CLS_ONLY_su2hat1,2 so8 + 4 su2 + 2 su3
1,(none),2 so8 + 4 su2 + su3,44,0,0,CLS_ONLY_su2hat1,2 so8 + 4 su2 + su3
1,(none),2 so8 + 4 su3,2,1,1,COUNT_DIFF,2 so8 + 4 su3
1,(none),2 so8 + 5 su2,94,0,0,CLS_ONLY_su2hat1,2 so8 + 5 su2
1,(none),2 so8 + 6 su2,6,0,0,CLS_ONLY_su2hat1,2 so8 + 6 su2
1,(none),2 so8 + 7 su2,3,0,0,CLS_ONLY_su2hat1,2 so8 + 7 su2
1,(none),2 so8 + 8 su2,1,0,0,CLS_ONLY_su2hat1,2 so8 + 8 su2
1,(none),2 so8 + su2,4,0,0,CLS_ONLY_su2hat1,2 so8 + su2
1,(none),2 so8 + su2 + 2 su3,11,0,0,CLS_ONLY_su2hat1,2 so8 + su2 + 2 su3
1,(none),2 so8 + su2 + 3 su3,2,0,0,CLS_ONLY_su2hat1,2 so8 + su2 + 3 su3
1,(none),2 so8 + su2 + su3,15,0,0,CLS_ONLY_su2hat1,2 so8 + su2 + su3
1,(none),2 so8 + su2 + su8,1,0,0,CLS_ONLY_su2hat1,hat1 + 2 so8 + su2
1,(none),2 so8 + su2+g2,0,1,1,MRG_ONLY,
1,(none),2 so8 + su2+g2 + 2 su3,0,1,1,MRG_ONLY,
1,(none),2 so8 + su2+g2 + su3,0,1,1,MRG_ONLY,
1,(none),2 so8 + su2+so7+su2,0,1,1,MRG_ONLY,
1,(none),2 so8 + su2+so7+su2 + su3,0,1,1,MRG_ONLY,
1,(none),2 so8 + su3,7,1,2,COUNT_DIFF,2 so8 + su3
1,(none),2 so8 + su8,1,0,0,CLS_ONLY_su2hat1,hat1 + 2 so8
1,(none),2 su2,30,0,0,CLS_ONLY_su2hat1,2 su2
1,(none),2 su2 + 2 su3,1255,0,0,CLS_ONLY_su2hat1,2 su2 + 2 su3
1,(none),2 su2 + 2 su3 + su8,22,0,0,CLS_ONLY_su2hat1,hat1 + 2 su2 + 2 su3
1,(none),2 su2 + 2 su8,1,0,0,CLS_ONLY_su2hat1,2 hat1 + 2 su2
1,(none),2 su2 + 3 su3,819,0,0,CLS_ONLY_su2hat1,2 su2 + 3 su3
1,(none),2 su2 + 3 su3 + su8,3,0,0,CLS_ONLY_su2hat1,hat1 + 2 su2 + 3 su3
1,(none),2 su2 + 4 su3,329,0,0,CLS_ONLY_su2hat1,2 su2 + 4 su3
1,(none),2 su2 + 5 su3,69,0,0,CLS_ONLY_su2hat1,2 su2 + 5 su3
1,(none),2 su2 + 6 su3,6,0,0,CLS_ONLY_su2hat1,2 su2 + 6 su3
1,(none),2 su2 + su3,589,0,0,CLS_ONLY_su2hat1,2 su2 + su3
1,(none),2 su2 + su3 + su8,54,0,0,CLS_ONLY_su2hat1,hat1 + 2 su2 + su3
1,(none),2 su2 + su8,14,0,0,CLS_ONLY_su2hat1,hat1 + 2 su2
1,(none),2 su2+g2,0,1,10,MRG_ONLY,
1,(none),2 su2+g2 + 2 su3,0,1,6,MRG_ONLY,
1,(none),2 su2+g2 + 3 su3,0,1,4,MRG_ONLY,
1,(none),2 su2+g2 + 4 su3,0,1,1,MRG_ONLY,
1,(none),2 su2+g2 + su2+so7+su2,0,1,4,MRG_ONLY,
1,(none),2 su2+g2 + su2+so7+su2 + su3,0,1,1,MRG_ONLY,
1,(none),2 su2+g2 + su3,0,1,10,MRG_ONLY,
1,(none),2 su2+so7+su2,0,1,13,MRG_ONLY,
1,(none),2 su2+so7+su2 + 2 su3,0,1,1,MRG_ONLY,
1,(none),2 su2+so7+su2 + su3,0,1,3,MRG_ONLY,
1,(none),2 su3,66,1,5,COUNT_DIFF,2 su3
1,(none),2 su3 + su8,10,0,0,CLS_ONLY_su2hat1,hat1 + 2 su3
1,(none),3 so8,2,1,1,COUNT_DIFF,3 so8
1,(none),3 so8 + 2 su2,7,0,0,CLS_ONLY_su2hat1,3 so8 + 2 su2
1,(none),3 so8 + 2 su2 + su3,1,0,0,CLS_ONLY_su2hat1,3 so8 + 2 su2 + su3
1,(none),3 so8 + 2 su3,1,1,1,MATCH,3 so8 + 2 su3
1,(none),3 so8 + 3 su2,5,0,0,CLS_ONLY_su2hat1,3 so8 + 3 su2
1,(none),3 so8 + 4 su2,1,0,0,CLS_ONLY_su2hat1,3 so8 + 4 su2
1,(none),3 so8 + su2,1,0,0,CLS_ONLY_su2hat1,3 so8 + su2
1,(none),3 so8 + su2 + su3,1,0,0,CLS_ONLY_su2hat1,3 so8 + su2 + su3
1,(none),3 so8 + su2+g2,0,1,1,MRG_ONLY,
1,(none),3 so8 + su3,2,1,1,COUNT_DIFF,3 so8 + su3
1,(none),3 su2,293,0,0,CLS_ONLY_su2hat1,3 su2
1,(none),3 su2 + 2 su3,3271,0,0,CLS_ONLY_su2hat1,3 su2 + 2 su3
1,(none),3 su2 + 2 su3 + su8,13,0,0,CLS_ONLY_su2hat1,hat1 + 3 su2 + 2 su3
1,(none),3 su2 + 3 su3,1346,0,0,CLS_ONLY_su2hat1,3 su2 + 3 su3
1,(none),3 su2 + 3 su3 + su8,1,0,0,CLS_ONLY_su2hat1,hat1 + 3 su2 + 3 su3
1,(none),3 su2 + su3,3104,0,0,CLS_ONLY_su2hat1,3 su2 + su3
1,(none),3 su2 + su3 + su8,81,0,0,CLS_ONLY_su2hat1,hat1 + 3 su2 + su3
1,(none),3 su2 + su8,43,0,0,CLS_ONLY_su2hat1,hat1 + 3 su2
1,(none),3 su2+g2,0,1,7,MRG_ONLY,
