mrg_T_H,LST_Gauge_normalized,LST_raw_examples,status,cls_T_H_values,mrg_sources,mrg_base_indices,SUGRA_examples
9,2 f4 + so8 + su2+g2 + su3,2 f5+so(8)+su(3)+g2+su(2),LST_missing,,T010/Ext1,105,2 f4 + so8 + 2 su2+g2; 2 f4 + so8 + su2+g2 + 2 su3
10,e6 + f4 + so8 + su2+so7+su2 + su3,e6+f5+so(8)+su(3)+so(7)+2 su(2),LST_missing,,T011/Ext1,142,e6 + f4 + so8 + su2+so7+su2 + 2 su3
16,6 so8 + su2+so7+su2,6 so(8)+so(7)+2 su(2),LST_missing,,T017/Ext3,263,(none)
18,8 so8,8 so(8),LST_missing,,T019/Ext2,"258, 261",10 so8
20,8 so8 + 2 su3,8 so(8)+2 su(3),LST_missing,,T021/Ext2,270,2 e6 + 8 so8 + 2 su3; e6 + f4 + 8 so8 + 2 su3
22,8 so8 + 2 su2+g2,8 so(8)+2(g2+su(2)),LST_exists_wrong_TH,"23, 24",T023/Ext2,231,2 e7 + 8 so8 + 2 su2+g2; 2 e7p + 8 so8 + 2 su2+g2; e6 + e7 + 8 so8 + 2 su2+g2; e6 + e7p + 8 so8 + 2 su2+g2; e7 + e7p + 8 so8 + 2 su2+g2
22,9 so8 + 2 su3,9 so(8)+2 su(3),LST_missing,,T023/Ext2,234,2 e6 + 9 so8 + 2 su3
23,3 e7 + so8 + 4 su2+so7+su2,3 e7+so(8)+4(so(7)+2 su(2)),LST_exists_wrong_TH,24,T024/Ext2,164,(none)
23,9 so8 + su2+g2 + su3,9 so(8)+su(3)+g2+su(2),LST_exists_wrong_TH,24,T024/Ext2,218,e6 + e7 + 9 so8 + su2+g2 + su3; e6 + e7p + 9 so8 + su2+g2 + su3; e7 + f4 + 9 so8 + su2+g2 + su3
24,10 so8 + 2 su3,10 so(8)+2 su(3),LST_missing,,T025/Ext2,228,(none)
24,10 so8 + su2+g2,10 so(8)+g2+su(2),LST_exists_wrong_TH,25,T025/Ext3,222,(none)
24,3 e7 + 2 so8 + 4 su2+so7+su2,3 e7+2 so(8)+4(so(7)+2 su(2)),LST_missing,,T025/Ext1,215,(none)
24,9 so8 + 2 su2+g2,9 so(8)+2(g2+su(2)),LST_exists_wrong_TH,"25, 26",T025/Ext2,225,2 e7 + 9 so8 + 2 su2+g2; 2 e7p + 9 so8 + 2 su2+g2; e6 + e7 + 9 so8 + 2 su2+g2; e7 + e7p + 9 so8 + 2 su2+g2
25,10 so8 + su2+g2 + su3,10 so(8)+su(3)+g2+su(2),LST_exists_wrong_TH,26,T026/Ext2,214,e6 + e7 + 10 so8 + su2+g2 + su3
26,10 so8 + 2 su2+g2,10 so(8)+2(g2+su(2)),LST_exists_wrong_TH,27,T027/Ext2,218,2 e7 + 10 so8 + 2 su2+g2; e7 + e7p + 10 so8 + 2 su2+g2
26,5 e6 + f4 + 7 su3,5 e6+f5+7 su(3),LST_exists_wrong_TH,27,T027/Ext1; T027/Ext2,"186, 196, 207",(none)
27,6 e6 + 7 su3,6 e6+7 su(3),LST_exists_wrong_TH,28,T028/Ext2,"200, 202, 206, 209",(none); 6 e6 + 9 su3
28,10 so8 + 2 su2+g2,10 so(8)+2(g2+su(2)),LST_exists_wrong_TH,27,T029/Ext2,184,2 e8 + 10 so8 + 2 su2+g2; e6 + e8 + 10 so8 + 2 su2+g2; e7 + e8 + 10 so8 + 2 su2+g2; e7p + e8 + 10 so8 + 2 su2+g2; e8 + f4 + 10 so8 + 2 su2+g2
28,11 so8 + 2 su2+g2,11 so(8)+2(g2+su(2)),LST_missing,,T029/Ext2,185,2 e7 + 11 so8 + 2 su2+g2
