"T_LST","External","LST_Gauge","Count"
1,"so8","(none)",4
1,"su3","(none)",4
1,"e6","(none)",2
1,"e6+su3","(none)",2
1,"e7","(none)",2
1,"e7'","(none)",2
1,"e8","(none)",2
1,"f4","(none)",2
1,"hat1+su2","(none)",2
1,"e6+hat1","(none)",1
1,"e6+hat1+su3","(none)",1
1,"e6+so8","(none)",1
1,"e7'+su2","(none)",1
1,"e7+su2","(none)",1
1,"e7+su2+su3","(none)",1
1,"e7'+su3","(none)",1
1,"e8+f4","(none)",1
1,"f4+f4","(none)",1
1,"f4+hat1","(none)",1
1,"f4+su3","(none)",1
1,"hat1","(none)",1
1,"hat1+hat1+su2","(none)",1
1,"hat1+so8","(none)",1
1,"so8+so8","(none)",1
1,"su2","(none)",1
1,"su2+su3","(none)",1
1,"su2+su3+su3","(none)",1
2,"e6+su3","(none)",6
2,"so8","(none)",6
2,"su3","(none)",6
2,"e6","(none)",3
2,"e7","(none)",3
2,"e7'","(none)",3
2,"e8","(none)",3
2,"f4","(none)",3
2,"so8+so8+su2","(none)",3
2,"hat1","(none)",2
2,"su2+su3","(none)",2
2,"su3+su3+su3","(none)",2
2,"e6+e8","(none)",1
2,"e6+f4","(none)",1
2,"e6+hat1","(none)",1
2,"e6+hat1+su3","(none)",1
2,"e7'+hat1+su3","(none)",1
2,"e7'+so8","(none)",1
2,"e7'+su2","(none)",1
2,"e7'+su3","(none)",1
2,"e7+su3","(none)",1
2,"f4+hat1","(none)",1
2,"hat1+so8+so8+su2","(none)",1
2,"hat1+su2","(none)",1
2,"so8+so8+so8+su2","(none)",1
2,"so8+su2","(none)",1
2,"su2","(none)",1
2,"su3+su3","(none)",1
3,"su2+su2+su2+su2+su2+su3+su3","su3",23
3,"su2","su3",21
3,"su2+su2","su3",17
3,"su2+su2+su3","su3",17
3,"su2+su3","su3",14
3,"su2+su2+su2+su2","su3",11
3,"su2+su2+su2","su3",10
3,"su3+su3","su3",9
3,"su3","su3",8
3,"e6","su3",7
3,"su2+su2+su3+su3","su3",6
3,"su3","(none)",5
3,"f4","su3",4
3,"so8","(none)",4
3,"so8","su3",4
3,"so8+su3+su3","su3",4
3,"e6","(none)",3
3,"e7","(none)",3
3,"e7'","(none)",3
3,"e8","(none)",3
3,"f4","(none)",3
3,"e6+so8","su3",2
3,"e6+su3","(none)",2
3,"f4+su2","su3",2
3,"hat1","(none)",2
3,"su2+su2+su2+su2+su3+su3","su3",2
3,"e6+e6","(none)",1
3,"e6+f4","su3",1
3,"e6+hat1","(none)",1
3,"e6+su2+su2","su3",1
3,"e7'+e8","(none)",1
3,"e7'+f4","(none)",1
3,"e7'+hat1+su3","(none)",1
3,"e7+hat1+su3","(none)",1
3,"e7+so8","(none)",1
3,"e7'+su2","(none)",1
3,"e7'+su3","(none)",1
3,"e7+su3","(none)",1
3,"f4+f4+su2+su2","su3",1
3,"f4+su2","(none)",1
3,"f4+su2+su2","(none)",1
