T_H,External,LST_Gauge,SUGRA_Gauge,Count
1,2 e6,(none),2 e6,1
1,2 e6 + 2 su2,(none),2 e6 + 2 su2,9
1,2 e6 + 2 su2 + su3,(none),2 e6 + 2 su2 + su3,1
1,2 e6 + 2 su3,(none),2 e6 + 2 su3,1
1,2 e6 + 3 su2,(none),2 e6 + 3 su2,4
1,2 e6 + 4 su2,(none),2 e6 + 4 su2,1
1,2 e6 + su2,(none),2 e6 + su2,1
1,2 e6 + su2 + su3,(none),2 e6 + su2 + su3,1
1,2 e6 + su3,(none),2 e6 + su3,2
1,2 e7,(none),2 e7,1
1,2 e7 + 2 su2,(none),2 e7 + 2 su2,1
1,2 e7 + su2,(none),2 e7 + su2,1
1,2 e7',(none),2 e7',1
1,2 e7' + 2 su2,(none),2 e7' + 2 su2,1
1,2 e7' + su2,(none),2 e7' + su2,1
1,2 e8,(none),2 e8,1
1,2 f4,(none),2 f4,1
1,2 f4 + 2 su2,(none),2 f4 + 2 su2,22
1,2 f4 + 2 su2 + su3,(none),2 f4 + 2 su2 + su3,3
1,2 f4 + 2 su2 + su3,(none),2 f4 + sp1+g2,1
1,2 f4 + 2 su2 + su3,(none),2 f4 + su2 + su2+g2,9
1,2 f4 + 2 su3,(none),2 f4 + 2 su3,1
1,2 f4 + 3 su2,(none),2 f4 + 3 su2,14
1,2 f4 + 4 su2,(none),2 f4 + 4 su2,3
1,2 f4 + su2,(none),2 f4 + su2,1
1,2 f4 + su2 + su3,(none),2 f4 + su2 + su3,1
1,2 f4 + su2 + su3,(none),2 f4 + su2+g2,1
1,2 f4 + su3,(none),2 f4 + su3,2
1,2 hat1 + 2 su2,(none),2 su2 + 2 su8,1
1,2 hat1 + su2,(none),su2 + 2 su8,1
1,2 so8,(none),2 so8,5
1,2 so8 + 2 su2,(none),2 so8 + 2 su2,44
1,2 so8 + 2 su2 + 2 su3,(none),2 (su2+g2) + 2 so8,9
1,2 so8 + 2 su2 + 2 su3,(none),2 so8 + 2 su3 + 2 su2,29
1,2 so8 + 2 su2 + 2 su3,(none),2 so8 + sp1+g2 + su3,15
1,2 so8 + 2 su2 + 2 su3,(none),2 so8 + su2 + su2+g2 + su3,120
1,2 so8 + 2 su2 + 2 su3,(none),2 so8 + su2+so7+su2 + su3,6
1,2 so8 + 2 su2 + 3 su3,(none),2 so8 + 3 su3 + 2 su2,2
1,2 so8 + 2 su2 + su3,(none),2 so8 + 2 su2 + su3,85
1,2 so8 + 2 su2 + su3,(none),2 so8 + sp1+g2,4
1,2 so8 + 2 su2 + su3,(none),2 so8 + su2 + su2+g2,63
1,2 so8 + 2 su2 + su3,(none),2 so8 + su2+so7+su2,2
1,2 so8 + 2 su3,(none),2 so8 + 2 su3,20
1,2 so8 + 3 su2,(none),2 so8 + 3 su2,173
