"T_LST","External","LST_Gauge","Count"
1,"su2+su3+su3+su3","(none)",15
1,"su3+su3+su3","(none)",14
1,"so8+su3+su3+su3","(none)",7
1,"e6+su2+su3","(none)",6
1,"e6+su3","(none)",6
1,"f4+su2+su3","(none)",5
1,"f4+su3","(none)",5
1,"so8+so8","(none)",5
1,"so8+su2","(none)",5
1,"so8","(none)",4
1,"so8+so8+su2","(none)",4
1,"so8+su2+su3+su3+su3","(none)",4
1,"su2+su3","(none)",4
1,"su3","(none)",4
1,"e6+f4+su3","(none)",3
1,"e6+so8+su3","(none)",3
1,"e6+su2","(none)",3
1,"e7'+su2","(none)",3
1,"e7'+su2+su3","(none)",3
1,"e7+su2+su3","(none)",3
1,"f4+su2","(none)",3
1,"f4+su3+su3+su3","(none)",3
1,"so8+su2+su3","(none)",3
1,"so8+su3","(none)",3
1,"e6","(none)",2
1,"e6+e6+su3","(none)",2
1,"e6+e7'+su2","(none)",2
1,"e6+e7+su2","(none)",2
1,"e6+f4+su2","(none)",2
1,"e6+f4+su2+su3","(none)",2
1,"e6+hat1+su2","(none)",2
1,"e6+so8+su2","(none)",2
1,"e6+so8+su2+su3","(none)",2
1,"e6+su3+su3","(none)",2
1,"e7","(none)",2
1,"e7'","(none)",2
1,"e7+e7'+su2","(none)",2
1,"e7'+f4+su2","(none)",2
1,"e7+f4+su2","(none)",2
1,"e7'+so8+su2","(none)",2
1,"e7+so8+su2","(none)",2
1,"e7+su2","(none)",2
1,"e7'+su3","(none)",2
1,"e7+su3","(none)",2
1,"e8","(none)",2
1,"e8+su3","(none)",2
1,"f4","(none)",2
1,"f4+f4+su3","(none)",2
1,"f4+hat1+su2","(none)",2
1,"f4+so8+su2","(none)",2
1,"f4+so8+su2+su3","(none)",2
1,"f4+so8+su3","(none)",2
1,"f4+su2+su3+su3+su3","(none)",2
1,"hat1+su2","(none)",2
1,"so8+so8+so8","(none)",2
1,"so8+so8+su3","(none)",2
1,"su2+su3+su3","(none)",2
1,"su3+su3","(none)",2
1,"e6+e6","(none)",1
1,"e6+e6+su2","(none)",1
1,"e6+e6+su2+su3","(none)",1
1,"e6+e6+su3+su3","(none)",1
1,"e6+e7","(none)",1
1,"e6+e7'","(none)",1
1,"e6+e7'+su3","(none)",1
1,"e6+e8","(none)",1
1,"e6+e8+su2","(none)",1
1,"e6+f4","(none)",1
1,"e6+hat1","(none)",1
1,"e6+hat1+su2+su3","(none)",1
1,"e6+hat1+su3","(none)",1
1,"e6+so8","(none)",1
1,"e6+so8+so8","(none)",1
1,"e6+so8+so8+su2","(none)",1
1,"e6+so8+so8+su3","(none)",1
1,"e6+su2+su3+su3","(none)",1
1,"e7'+e7'","(none)",1
1,"e7+e7","(none)",1
1,"e7+e7'","(none)",1
1,"e7'+e7'+su2","(none)",1
1,"e7+e7+su2","(none)",1
1,"e7'+e8","(none)",1
1,"e7+e8","(none)",1
1,"e7'+e8+su2","(none)",1
1,"e7+e8+su2","(none)",1
1,"e7'+f4","(none)",1
1,"e7+f4","(none)",1
1,"e7'+f4+su2+su3","(none)",1
1,"e7+f4+su2+su3","(none)",1
