"TH"	"index"	"LST gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
5	1	"2 su(3)"	8	113	0	2	0	0	0	0	0	0	"s1:5→1 / s2:1→1"	""
5	1	"2 su(3)"	9	93	0	1	1	0	0	0	0	0	"s1:5→1 / s2:1→1"	""
5	1	"2 su(3)"	9	100	1	0	1	0	0	0	0	0	"s1:5→1"	"s2:2→1"
5	1	"2 su(3)"	9	120	1	1	0	0	0	0	0	0	"{s1:1→1, s1:5→1, s1:5→1 / s2:1→1}"	"{s2:2→1, s2:2→1, s2:6→1}"
5	1	"2 su(3)"	9	127	2	0	0	0	0	0	0	0	""	"s1:4→1 / s2:2→1"
5	1	"2 su(3)"	10	69	0	1	0	1	0	0	0	0	"s1:1→1 / s2:5→1"	""
5	1	"2 su(3)"	10	73	0	0	2	0	0	0	0	0	"s1:5→1 / s2:1→1"	""
5	1	"2 su(3)"	10	76	1	0	0	1	0	0	0	0	"s1:1→1"	"s2:4→1"
5	1	"2 su(3)"	10	93	0	1	1	0	0	0	0	0	"s1:1→1 / s2:5→1"	""
5	1	"2 su(3)"	10	100	1	0	1	0	0	0	0	0	"{s1:1→1, s1:1→1}"	"{s2:2→1, s2:4→1}"
5	1	"2 su(3)"	10	120	1	1	0	0	0	0	0	0	"{s1:1→1, 5→1, s1:1→1 / s2:5→1, s1:5→1, s1:5→1 / s2:1→1, s1:5→1 / s2:1→1, s1:5→1 / s2:1→1, 3→1, s1:5→1 / s2:1→1, 5→1}"	"{s2:2→1, s2:6→1, s2:4→1, s2:2→1, s2:4→1, s2:6→1, s2:2→1}"
