"T"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"OnMinus1"	"OnIsland"
14	1	14	28	0	0	0	0	0	0	0	1	"""s1:14→1"""	""""""
14	1	14	143	0	0	0	0	0	0	1	0	"""s1:1→1, 14→0"""	""""""
14	1	14	143	0	0	0	0	0	0	1	0	"""s1:1→0, 14→1"""	""""""
14	1	18	143	0	0	0	0	0	0	1	0	"""s1:1→1, 14→1"""	""""""
14	1	26	-105	0	0	0	0	0	0	1	1	"""s1:14→1 / s2:1→1"""	""""""
14	1	22	10	0	0	0	0	0	0	2	0	"""s1:1→0, 14→1 / s2:1→1"""	""""""
14	1	14	171	0	0	0	0	0	1	0	0	"""s1:1→1, 14→0"""	""""""
14	1	14	171	0	0	0	0	0	1	0	0	"""s1:1→0, 14→1"""	""""""
14	1	17	171	0	0	0	0	0	1	0	0	"""s1:1→1, 14→1"""	""""""
14	1	25	-77	0	0	0	0	0	1	0	1	"""s1:14→1 / s2:1→1"""	""""""
14	1	21	38	0	0	0	0	0	1	1	0	"""s1:1→1, 14→0 / s2:14→1"""	""""""
14	1	21	38	0	0	0	0	0	1	1	0	"""s1:1→0, 14→1 / s2:1→1"""	""""""
14	1	20	66	0	0	0	0	0	2	0	0	"""s1:1→0, 14→1 / s2:1→1"""	""""""
14	1	14	198	0	0	0	0	1	0	0	0	"""s1:1→1, 14→0"""	""""""
14	1	14	198	0	0	0	0	1	0	0	0	"""s1:1→0, 14→1"""	""""""
14	1	16	198	0	0	0	0	1	0	0	0	"""s1:1→1, 14→1"""	""""""
14	1	24	-50	0	0	0	0	1	0	0	1	"""s1:14→1 / s2:1→1"""	""""""
14	1	20	65	0	0	0	0	1	0	1	0	"""s1:1→1, 14→0 / s2:14→1"""	""""""
14	1	20	65	0	0	0	0	1	0	1	0	"""s1:1→0, 14→1 / s2:1→1"""	""""""
14	1	19	93	0	0	0	0	1	1	0	0	"""s1:1→1, 14→0 / s2:14→1"""	""""""
14	1	19	93	0	0	0	0	1	1	0	0	"""s1:1→0, 14→1 / s2:1→1"""	""""""
14	1	18	120	0	0	0	0	2	0	0	0	"""s1:1→0, 14→1 / s2:1→1"""	""""""
14	1	14	224	0	0	0	1	0	0	0	0	"""s1:1→1, 14→0"""	""""""
14	1	14	224	0	0	0	1	0	0	0	0	"""s1:1→0, 14→1"""	""""""
14	1	15	224	0	0	0	1	0	0	0	0	"""s1:1→1, 14→1"""	""""""
14	1	23	-24	0	0	0	1	0	0	0	1	"""s1:14→1 / s2:1→1"""	""""""
14	1	19	91	0	0	0	1	0	0	1	0	"""s1:1→1, 14→0 / s2:14→1"""	""""""
14	1	19	91	0	0	0	1	0	0	1	0	"""s1:1→0, 14→1 / s2:1→1"""	""""""
14	1	18	119	0	0	0	1	0	1	0	0	"""s1:1→1, 14→0 / s2:14→1"""	""""""
14	1	18	119	0	0	0	1	0	1	0	0	"""s1:1→0, 14→1 / s2:1→1"""	""""""
14	1	17	146	0	0	0	1	1	0	0	0	"""s1:1→1, 14→0 / s2:14→1"""	""""""
14	1	17	146	0	0	0	1	1	0	0	0	"""s1:1→0, 14→1 / s2:1→1"""	""""""
14	1	16	172	0	0	0	2	0	0	0	0	"""s1:1→0, 14→1 / s2:1→1"""	""""""
14	1	14	248	0	0	1	0	0	0	0	0	"""s1:1→0, 14→1"""	""""""
14	1	14	248	0	0	1	0	0	0	0	0	"""s1:1→1, 14→0"""	""""""
14	1	14	248	0	0	1	0	0	0	0	0	"""s1:1→1, 14→1"""	""""""
14	1	22	248	0	0	1	0	0	0	0	0	"""s1:1→0, 14→2"""	""""""
14	1	22	248	0	0	1	0	0	0	0	0	"""s1:1→2, 14→0"""	""""""
14	1	16	248	0	0	1	0	0	0	0	0	"""s1:1→1, 14→2"""	""""""
14	1	16	248	0	0	1	0	0	0	0	0	"""s1:1→2, 14→1"""	""""""
14	1	15	248	0	0	1	0	0	0	0	0	"""s1:1→2, 14→2"""	""""""
14	1	22	0	0	0	1	0	0	0	0	1	"""s1:14→1 / s2:1→1"""	""""""
14	1	24	0	0	0	1	0	0	0	0	1	"""s1:14→1 / s2:1→2"""	""""""
14	1	18	115	0	0	1	0	0	0	1	0	"""s1:1→1, 14→0 / s2:14→1"""	""""""
14	1	18	115	0	0	1	0	0	0	1	0	"""s1:1→0, 14→1 / s2:1→1"""	""""""
