"TH+1"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
21	1	"e8+3 f4+su(3)+2(g2+su(2))"	"e8+3 f4+2 su(3)+3(g2+su(2))"	26	162	1	2	0	0	0	0	0	0
21	1	"e8+3 f4+su(3)+2(g2+su(2))"	"e8+3 f4+3(g2+su(2))"	25	178	1	0	0	0	0	0	0	0
21	1	"e8+3 f4+su(3)+2(g2+su(2))"	"e8+3 f4+3(g2+su(2))"	26	178	1	0	0	0	0	0	0	0
21	1	"e8+3 f4+su(3)+2(g2+su(2))"	"e8+3 f4+3(g2+su(2))"	27	178	1	0	0	0	0	0	0	0
21	1	"e8+3 f4+su(3)+2(g2+su(2))"	"e8+3 f4+4(g2+su(2))"	26	169	2	1	0	0	0	0	0	0
21	1	"e8+3 f4+su(3)+2(g2+su(2))"	"e8+3 f4+su(3)+3(g2+su(2))"	25	170	1	1	0	0	0	0	0	0
21	1	"e8+3 f4+su(3)+2(g2+su(2))"	"e8+3 f4+su(3)+3(g2+su(2))"	26	170	1	1	0	0	0	0	0	0
21	1	"e8+3 f4+su(3)+2(g2+su(2))"	"e8+3 f4+su(3)+3(g2+su(2))"	27	170	1	1	0	0	0	0	0	0
21	1	"e8+3 f4+su(3)+2(g2+su(2))"	"e8+3 f4+su(3)+3(g2+su(2))"	28	170	1	1	0	0	0	0	0	0
21	1	"e8+3 f4+su(3)+2(g2+su(2))"	"e8+3 f4+su(3)+3(g2+su(2))"	29	170	1	1	0	0	0	0	0	0
21	2	"e8+3 f4+3(g2+su(2))"	"e8+3 f4+4(g2+su(2))"	25	169	1	1	0	0	0	0	0	0
21	2	"e8+3 f4+3(g2+su(2))"	"e8+3 f4+4(g2+su(2))"	29	169	1	1	0	0	0	0	0	0
21	3	"e8+3 f4+su(3)+2(g2+su(2))"	"e8+3 f4+3(g2+su(2))"	25	178	1	0	0	0	0	0	0	0
21	3	"e8+3 f4+su(3)+2(g2+su(2))"	"e8+3 f4+3(g2+su(2))"	26	178	1	0	0	0	0	0	0	0
21	3	"e8+3 f4+su(3)+2(g2+su(2))"	"e8+3 f4+3(g2+su(2))"	27	178	1	0	0	0	0	0	0	0
21	3	"e8+3 f4+su(3)+2(g2+su(2))"	"e8+3 f4+4(g2+su(2))"	25	169	1	1	0	0	0	0	0	0
21	3	"e8+3 f4+su(3)+2(g2+su(2))"	"e8+3 f4+su(3)+2(g2+su(2))+so(7)+2 su(2)"	26	168	1	1	0	0	0	0	0	0
21	3	"e8+3 f4+su(3)+2(g2+su(2))"	"e8+3 f4+su(3)+3(g2+su(2))"	26	170	1	1	0	0	0	0	0	0
21	3	"e8+3 f4+su(3)+2(g2+su(2))"	"e8+3 f4+su(3)+3(g2+su(2))"	27	170	1	1	0	0	0	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+2 f4+2 so(8)+su(3)+3(g2+su(2))"	27	166	1	0	2	0	0	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+2 f4+so(8)+4(g2+su(2))"	24	193	2	0	1	0	0	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+2 f4+so(8)+su(3)+3(g2+su(2))"	24	194	1	0	1	0	0	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+2 f4+su(3)+3(g2+su(2))"	26	222	1	0	0	0	0	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+2 f4+su(3)+3(g2+su(2))"	29	222	1	0	0	0	0	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+3 f4+2 su(3)+3(g2+su(2))"	28	162	1	1	0	1	0	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+3 f4+2 su(3)+3(g2+su(2))"	30	162	1	1	0	1	0	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+3 f4+3 su(3)+3(g2+su(2))"	34	154	1	2	0	1	0	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+3 f4+4(g2+su(2))"	26	169	2	0	0	1	0	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+3 f4+4(g2+su(2))"	27	169	2	0	0	1	0	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+3 f4+so(8)+su(3)+3(g2+su(2))"	29	142	1	0	1	1	0	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+3 f4+su(3)+3(g2+su(2))"	26	170	1	0	0	1	0	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+3 f4+su(3)+3(g2+su(2))"	27	170	1	0	0	1	0	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+3 f4+su(3)+4(g2+su(2))"	28	161	2	1	0	1	0	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+3 f4+su(3)+4(g2+su(2))"	31	161	2	1	0	1	0	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+e6+2 f4+2 su(3)+3(g2+su(2))"	34	136	1	1	0	0	1	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+e6+2 f4+2 su(3)+3(g2+su(2))"	36	136	1	1	0	0	1	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+e6+2 f4+2 su(3)+3(g2+su(2))"	69	136	1	1	0	0	1	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+e6+2 f4+3 su(3)+2(g2+su(2))"	48	137	0	1	0	0	1	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+e6+2 f4+3 su(3)+2(g2+su(2))"	60	137	0	1	0	0	1	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+e6+2 f4+su(3)+3(g2+su(2))"	32	144	1	0	0	0	1	0	0	0
21	5	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+e6+2 f4+su(3)+3(g2+su(2))"	34	144	1	0	0	0	1	0	0	0
21	6	"e8+2 f4+3(g2+su(2))"	"e8+3 f4+4(g2+su(2))"	26	169	1	1	0	1	0	0	0	0
21	6	"e8+2 f4+3(g2+su(2))"	"e8+e6+2 f4+4(g2+su(2))"	26	143	1	1	0	0	1	0	0	0
21	6	"e8+2 f4+3(g2+su(2))"	"e8+e7'+2 f4+4(g2+su(2))"	30	116	1	1	0	0	0	1	0	0
21	6	"e8+2 f4+3(g2+su(2))"	"e8+e7'+2 f4+4(g2+su(2))"	31	116	1	1	0	0	0	1	0	0
21	6	"e8+2 f4+3(g2+su(2))"	"e8+e7+2 f4+4(g2+su(2))"	29	88	1	1	0	0	0	0	1	0
21	8	"e8+2 f4+su(3)+3(g2+su(2))"	"e8+2 f4+4(g2+su(2))"	26	221	1	0	0	0	0	0	0	0
21	8	"e8+2 f4+su(3)+3(g2+su(2))"	"e8+3 f4+4(g2+su(2))"	25	169	1	0	0	1	0	0	0	0
21	8	"e8+2 f4+su(3)+3(g2+su(2))"	"e8+3 f4+4(g2+su(2))"	29	169	1	0	0	1	0	0	0	0
21	8	"e8+2 f4+su(3)+3(g2+su(2))"	"e8+e6+2 f4+4(g2+su(2))"	26	143	1	0	0	0	1	0	0	0
21	8	"e8+2 f4+su(3)+3(g2+su(2))"	"e8+e7'+2 f4+4(g2+su(2))"	27	116	1	0	0	0	0	1	0	0
21	8	"e8+2 f4+su(3)+3(g2+su(2))"	"e8+e7+2 f4+4(g2+su(2))"	28	88	1	0	0	0	0	0	1	0
21	9	"e8+2 f4+4(g2+su(2))"	"e8+2 f4+3(g2+su(2))+so(7)+2 su(2)"	26	219	1	0	0	0	0	0	0	0
21	10	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+2 f4+2 so(8)+su(3)+3(g2+su(2))"	27	166	1	0	2	0	0	0	0	0
21	10	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+2 f4+so(8)+4(g2+su(2))"	24	193	2	0	1	0	0	0	0	0
21	10	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+2 f4+so(8)+su(3)+3(g2+su(2))"	24	194	1	0	1	0	0	0	0	0
21	10	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+2 f4+su(3)+3(g2+su(2))"	26	222	1	0	0	0	0	0	0	0
21	10	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+2 f4+su(3)+3(g2+su(2))"	29	222	1	0	0	0	0	0	0	0
21	10	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+3 f4+2 su(3)+3(g2+su(2))"	28	162	1	1	0	1	0	0	0	0
21	10	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+3 f4+2 su(3)+3(g2+su(2))"	30	162	1	1	0	1	0	0	0	0
21	10	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+3 f4+3 su(3)+3(g2+su(2))"	34	154	1	2	0	1	0	0	0	0
21	10	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+3 f4+4(g2+su(2))"	26	169	2	0	0	1	0	0	0	0
21	10	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+3 f4+4(g2+su(2))"	27	169	2	0	0	1	0	0	0	0
21	10	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+3 f4+so(8)+su(3)+3(g2+su(2))"	29	142	1	0	1	1	0	0	0	0
21	10	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+3 f4+su(3)+3(g2+su(2))"	26	170	1	0	0	1	0	0	0	0
21	10	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+3 f4+su(3)+3(g2+su(2))"	27	170	1	0	0	1	0	0	0	0
21	10	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+3 f4+su(3)+4(g2+su(2))"	28	161	2	1	0	1	0	0	0	0
21	10	"e8+2 f4+2 su(3)+2(g2+su(2))"	"e8+3 f4+su(3)+4(g2+su(2))"	31	161	2	1	0	1	0	0	0	0
