"T"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
22	1	22	118	0	0	0	0	0	0	1	0	"""s1:22→1"""	""""""
22	1	22	146	0	0	0	0	0	1	0	0	"""s1:22→1"""	""""""
22	1	22	173	0	0	0	0	1	0	0	0	"{""s1:1→0, 22→1"", ""s1:1→1, 22→0""}"	"{"""", """"}"
22	1	22	199	0	0	0	1	0	0	0	0	"{""s1:1→0, 22→1"", ""s1:1→1, 22→0""}"	"{"""", """"}"
22	1	22	215	0	1	1	0	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→1, 22→0"", ""s1:1→1, 22→0 / s2:1→0, 22→1""}"	"{"""", """"}"
22	1	22	222	1	0	1	0	0	0	0	0	"""s1:1→0, 22→1 / s2:1→0, 22→0"""	"""s2:2→1"""
22	1	22	223	0	0	1	0	0	0	0	0	"{""s1:1→0, 22→1"", ""s1:1→1, 22→0""}"	"{"""", """"}"
22	1	22	242	1	1	0	0	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→1, 22→0"", ""s1:1→1, 22→0 / s2:1→0, 22→1""}"	"{""s2:23→1"", ""s2:23→1""}"
22	1	22	243	0	1	0	0	0	0	0	0	"{""s1:1→0, 22→1"", ""s1:1→1, 22→0"", ""s1:1→1, 22→1""}"	"{"""", """", """"}"
22	1	22	250	1	0	0	0	0	0	0	0	"{""s1:1→0, 22→0"", ""s1:1→0, 22→1""}"	"{""s1:2→1"", ""s1:2→1""}"
22	1	23	191	0	1	0	1	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→1"", ""s1:1→1, 22→0 / s2:22→1""}"	"{"""", """"}"
22	1	23	195	0	0	2	0	0	0	0	0	"""s1:1→0, 22→1 / s2:1→1"""	""""""
22	1	23	198	1	0	0	1	0	0	0	0	"""s1:1→0, 22→1 / s2:1→0, 22→0"""	"""s2:2→1"""
22	1	23	223	0	0	1	0	0	0	0	0	"""s1:1→1, 22→1"""	""""""
22	1	23	241	2	1	0	0	0	0	0	0	"""s1:1→1, 22→0 / s2:1→0, 22→1 / s3:1→0, 22→1"""	"""s2:23→1 / s3:2→1"""
22	1	23	242	1	1	0	0	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→1, 22→1"", ""s1:1→1, 22→0 / s2:1→0, 22→1"", ""s1:1→1, 22→1 / s2:1→0, 22→0"", ""s1:1→1, 22→1 / s2:1→0, 22→1""}"	"{""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1""}"
22	1	23	250	1	0	0	0	0	0	0	0	"{""s1:1→1, 22→1"", ""s1:1→1, 22→2"", ""s1:1→2, 22→2"", ""s1:1→2, 22→3""}"	"{""s1:2→1"", ""s1:2→1"", ""s1:2→1"", ""s1:2→1""}"
22	1	24	165	0	1	0	0	1	0	0	0	"{""s1:1→0, 22→1 / s2:1→1"", ""s1:1→1, 22→0 / s2:22→1""}"	"{"""", """"}"
22	1	24	171	0	0	1	1	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→1"", ""s1:1→1, 22→0 / s2:22→1""}"	"{"""", """"}"
22	1	24	172	1	0	0	0	1	0	0	0	"""s1:1→0, 22→1 / s2:1→0, 22→0"""	"""s2:2→1"""
22	1	24	199	0	0	0	1	0	0	0	0	"""s1:1→1, 22→1"""	""""""
22	1	24	214	1	1	1	0	0	0	0	0	"""s1:1→1, 22→0 / s2:1→0, 22→1 / s3:1→0, 22→1"""	"""s3:2→1"""
22	1	24	222	1	0	1	0	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→1, 22→1"", ""s1:1→0, 22→1 / s2:1→2, 22→1"", ""s1:1→0, 22→1 / s2:1→3, 22→2"", ""s1:1→1, 22→0 / s2:1→0, 22→1"", ""s1:1→1, 22→0 / s2:1→0, 22→2"", ""s1:1→1, 22→0 / s2:1→1, 22→3"", ""s1:1→1, 22→0 / s2:1→1, 22→4"", ""s1:1→1, 22→1 / s2:1→0, 22→0"", ""s1:1→1, 22→1 / s2:1→0, 22→1"", ""s1:1→1, 22→1 / s2:1→1, 22→1"", ""s1:1→1, 22→1 / s2:1→1, 22→2""}"	"{""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1"", ""s2:2→1""}"
22	1	24	227	0	3	0	0	0	0	0	0	"{""s1:1→0, 22→1 / s2:1→1, 22→1 / s3:1→2, 22→1"", ""s1:1→1, 22→0 / s2:1→1, 22→1 / s3:1→1, 22→2"", ""s1:1→1, 22→1 / s2:1→1, 22→1 / s3:1→1, 22→1""}"	"{"""", """", """"}"
