"TH+1"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
25	1	"e8+2 f5+4(g2+su(2))"	"2 e8+2 f5+2 su(3)+4(g2+su(2))"	33	73	0	2	0	0	0	0	0	1	9
25	1	"e8+2 f5+4(g2+su(2))"	"2 e8+2 f5+3 su(3)+4(g2+su(2))"	34	65	0	3	0	0	0	0	0	1	2
25	1	"e8+2 f5+4(g2+su(2))"	"2 e8+2 f5+4(g2+su(2))+so(7)+2 su(2)"	33	78	2	1	0	0	0	0	0	1	16
25	1	"e8+2 f5+4(g2+su(2))"	"2 e8+2 f5+5(g2+su(2))"	33	80	1	1	0	0	0	0	0	1	15
25	1	"e8+2 f5+4(g2+su(2))"	"2 e8+2 f5+so(8)+su(3)+4(g2+su(2))"	34	53	0	1	1	0	0	0	0	1	2
25	1	"e8+2 f5+4(g2+su(2))"	"2 e8+2 f5+su(3)+4(g2+su(2))"	33	81	0	1	0	0	0	0	0	1	4
25	1	"e8+2 f5+4(g2+su(2))"	"2 e8+2 f5+su(3)+4(g2+su(2))+so(7)+2 su(2)"	33	70	2	2	0	0	0	0	0	1	2
25	1	"e8+2 f5+4(g2+su(2))"	"2 e8+2 f5+su(3)+5(g2+su(2))"	33	72	1	2	0	0	0	0	0	1	11
25	1	"e8+2 f5+4(g2+su(2))"	"e8+e6+2 f5+4(g2+su(2))"	25	259	0	0	0	0	1	0	0	0	2
25	2	"e8+2 f5+4(g2+su(2))"	"2 e8+2 f5+2 su(3)+4(g2+su(2))"	33	73	0	2	0	0	0	0	0	1	9
25	2	"e8+2 f5+4(g2+su(2))"	"2 e8+2 f5+3 su(3)+4(g2+su(2))"	34	65	0	3	0	0	0	0	0	1	2
25	2	"e8+2 f5+4(g2+su(2))"	"2 e8+2 f5+4(g2+su(2))+so(7)+2 su(2)"	33	78	2	1	0	0	0	0	0	1	16
25	2	"e8+2 f5+4(g2+su(2))"	"2 e8+2 f5+5(g2+su(2))"	33	80	1	1	0	0	0	0	0	1	15
25	2	"e8+2 f5+4(g2+su(2))"	"2 e8+2 f5+so(8)+su(3)+4(g2+su(2))"	34	53	0	1	1	0	0	0	0	1	2
25	2	"e8+2 f5+4(g2+su(2))"	"2 e8+2 f5+su(3)+4(g2+su(2))"	33	81	0	1	0	0	0	0	0	1	4
25	2	"e8+2 f5+4(g2+su(2))"	"2 e8+2 f5+su(3)+4(g2+su(2))+so(7)+2 su(2)"	33	70	2	2	0	0	0	0	0	1	2
25	2	"e8+2 f5+4(g2+su(2))"	"2 e8+2 f5+su(3)+5(g2+su(2))"	33	72	1	2	0	0	0	0	0	1	11
25	2	"e8+2 f5+4(g2+su(2))"	"e8+e6+2 f5+4(g2+su(2))"	25	259	0	0	0	0	1	0	0	0	2
25	11	"e8+e7+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+4(g2+su(2))"	30	204	1	0	0	0	0	0	0	0	2
25	11	"e8+e7+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+4(g2+su(2))"	32	204	1	0	0	0	0	0	0	0	3
25	11	"e8+e7+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+so(8)+4(g2+su(2))"	29	176	1	0	1	0	0	0	0	0	5
25	11	"e8+e7+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+so(8)+4(g2+su(2))"	30	176	1	0	1	0	0	0	0	0	2
25	11	"e8+e7+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+su(3)+5(g2+su(2))"	28	187	1	2	0	0	0	0	0	0	2
25	11	"e8+e7+2 f5+su(3)+3(g2+su(2))"	"e8+e7+3 f5+4(g2+su(2))"	30	152	1	0	0	1	0	0	0	0	2
25	14	"e8+e7+2 f5+su(3)+4(g2+su(2))"	"e8+e7+2 f5+2 su(3)+3(g2+su(2))+so(7)+2 su(2)"	28	186	1	1	0	0	0	0	0	0	4
25	14	"e8+e7+2 f5+su(3)+4(g2+su(2))"	"e8+e7+2 f5+2 su(3)+4(g2+su(2))"	28	188	0	1	0	0	0	0	0	0	2
25	14	"e8+e7+2 f5+su(3)+4(g2+su(2))"	"e8+e7+2 f5+2 su(3)+5(g2+su(2))"	29	179	1	2	0	0	0	0	0	0	2
25	14	"e8+e7+2 f5+su(3)+4(g2+su(2))"	"e8+e7+2 f5+3 su(3)+4(g2+su(2))"	29	180	0	2	0	0	0	0	0	0	2
25	14	"e8+e7+2 f5+su(3)+4(g2+su(2))"	"e8+e7+2 f5+4(g2+su(2))+so(7)+2 su(2)"	28	193	2	0	0	0	0	0	0	0	40
25	14	"e8+e7+2 f5+su(3)+4(g2+su(2))"	"e8+e7+2 f5+5(g2+su(2))"	30	195	1	0	0	0	0	0	0	0	7
25	14	"e8+e7+2 f5+su(3)+4(g2+su(2))"	"e8+e7+2 f5+5(g2+su(2))+so(7)+2 su(2)"	29	184	3	1	0	0	0	0	0	0	5
25	14	"e8+e7+2 f5+su(3)+4(g2+su(2))"	"e8+e7+2 f5+so(8)+4(g2+su(2))+so(7)+2 su(2)"	29	165	2	0	1	0	0	0	0	0	3
25	14	"e8+e7+2 f5+su(3)+4(g2+su(2))"	"e8+e7+2 f5+so(8)+4(g2+su(2))+so(7)+2 su(2)"	30	165	2	0	1	0	0	0	0	0	3
25	14	"e8+e7+2 f5+su(3)+4(g2+su(2))"	"e8+e7+2 f5+so(8)+5(g2+su(2))"	29	167	1	0	1	0	0	0	0	0	4
25	14	"e8+e7+2 f5+su(3)+4(g2+su(2))"	"e8+e7+2 f5+so(8)+5(g2+su(2))"	30	167	1	0	1	0	0	0	0	0	2
25	14	"e8+e7+2 f5+su(3)+4(g2+su(2))"	"e8+e7+2 f5+so(8)+5(g2+su(2))"	32	167	1	0	1	0	0	0	0	0	3
25	14	"e8+e7+2 f5+su(3)+4(g2+su(2))"	"e8+e7+2 f5+so(8)+su(3)+3(g2+su(2))+so(7)+2 su(2)"	29	166	1	0	1	0	0	0	0	0	3
25	14	"e8+e7+2 f5+su(3)+4(g2+su(2))"	"e8+e7+2 f5+so(8)+su(3)+3(g2+su(2))+so(7)+2 su(2)"	30	166	1	0	1	0	0	0	0	0	3
25	14	"e8+e7+2 f5+su(3)+4(g2+su(2))"	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	28	194	1	0	0	0	0	0	0	0	7
25	14	"e8+e7+2 f5+su(3)+4(g2+su(2))"	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	30	194	1	0	0	0	0	0	0	0	3
25	14	"e8+e7+2 f5+su(3)+4(g2+su(2))"	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	32	194	1	0	0	0	0	0	0	0	3
25	14	"e8+e7+2 f5+su(3)+4(g2+su(2))"	"e8+e7+2 f5+su(3)+4(g2+su(2))+so(7)+2 su(2)"	28	185	2	1	0	0	0	0	0	0	9
25	14	"e8+e7+2 f5+su(3)+4(g2+su(2))"	"e8+e7+2 f5+su(3)+4(g2+su(2))+so(7)+2 su(2)"	29	185	2	1	0	0	0	0	0	0	28
25	14	"e8+e7+2 f5+su(3)+4(g2+su(2))"	"e8+e7+2 f5+su(3)+5(g2+su(2))"	28	187	1	1	0	0	0	0	0	0	9
25	14	"e8+e7+2 f5+su(3)+4(g2+su(2))"	"e8+e7+3 f5+5(g2+su(2))"	30	143	1	0	0	1	0	0	0	0	5
25	15	"e8+e7+2 f5+4(g2+su(2))"	"e8+e7+2 f5+2 su(3)+3(g2+su(2))+so(7)+2 su(2)"	28	186	1	2	0	0	0	0	0	0	2
25	15	"e8+e7+2 f5+4(g2+su(2))"	"e8+e7+2 f5+2 su(3)+4(g2+su(2))"	28	188	0	2	0	0	0	0	0	0	3
25	15	"e8+e7+2 f5+4(g2+su(2))"	"e8+e7+2 f5+3(g2+su(2))+2(so(7)+2 su(2))"	28	191	3	1	0	0	0	0	0	0	5
25	15	"e8+e7+2 f5+4(g2+su(2))"	"e8+e7+2 f5+3(g2+su(2))+so(7)+2 su(2)"	30	202	1	0	0	0	0	0	0	0	8
25	15	"e8+e7+2 f5+4(g2+su(2))"	"e8+e7+2 f5+3(g2+su(2))+so(7)+2 su(2)"	31	202	1	0	0	0	0	0	0	0	2
25	15	"e8+e7+2 f5+4(g2+su(2))"	"e8+e7+2 f5+3(g2+su(2))+so(7)+2 su(2)"	32	202	1	0	0	0	0	0	0	0	3
25	15	"e8+e7+2 f5+4(g2+su(2))"	"e8+e7+2 f5+4(g2+su(2))+so(7)+2 su(2)"	28	193	2	1	0	0	0	0	0	0	55
25	15	"e8+e7+2 f5+4(g2+su(2))"	"e8+e7+2 f5+5(g2+su(2))"	27	195	1	1	0	0	0	0	0	0	2
25	15	"e8+e7+2 f5+4(g2+su(2))"	"e8+e7+2 f5+so(8)+3(g2+su(2))+so(7)+2 su(2)"	29	174	1	0	1	0	0	0	0	0	5
25	15	"e8+e7+2 f5+4(g2+su(2))"	"e8+e7+2 f5+so(8)+3(g2+su(2))+so(7)+2 su(2)"	30	174	1	0	1	0	0	0	0	0	4
25	15	"e8+e7+2 f5+4(g2+su(2))"	"e8+e7+2 f5+so(8)+3(g2+su(2))+so(7)+2 su(2)"	31	174	1	0	1	0	0	0	0	0	2
25	15	"e8+e7+2 f5+4(g2+su(2))"	"e8+e7+2 f5+so(8)+5(g2+su(2))"	29	167	1	1	1	0	0	0	0	0	2
25	15	"e8+e7+2 f5+4(g2+su(2))"	"e8+e7+2 f5+so(8)+5(g2+su(2))"	30	167	1	1	1	0	0	0	0	0	2
25	15	"e8+e7+2 f5+4(g2+su(2))"	"e8+e7+2 f5+so(8)+5(g2+su(2))"	33	167	1	1	1	0	0	0	0	0	2
25	15	"e8+e7+2 f5+4(g2+su(2))"	"e8+e7+2 f5+so(8)+su(3)+3(g2+su(2))+so(7)+2 su(2)"	29	166	1	1	1	0	0	0	0	0	2
25	15	"e8+e7+2 f5+4(g2+su(2))"	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	28	194	1	1	0	0	0	0	0	0	19
25	15	"e8+e7+2 f5+4(g2+su(2))"	"e8+e7+2 f5+su(3)+4(g2+su(2))"	25	196	0	1	0	0	0	0	0	0	2
25	15	"e8+e7+2 f5+4(g2+su(2))"	"e8+e7+2 f5+su(3)+4(g2+su(2))+so(7)+2 su(2)"	29	185	2	2	0	0	0	0	0	0	16
25	15	"e8+e7+2 f5+4(g2+su(2))"	"e8+e7+2 f5+su(3)+5(g2+su(2))"	28	187	1	2	0	0	0	0	0	0	3
25	16	"e8+e6+2 f5+su(3)+3(g2+su(2))"	"e8+e6+2 f5+2 su(3)+3(g2+su(2))"	25	252	0	1	0	0	0	0	0	0	3
25	16	"e8+e6+2 f5+su(3)+3(g2+su(2))"	"e8+e6+2 f5+3 su(3)+3(g2+su(2))"	26	244	0	2	0	0	0	0	0	0	3
25	18	"e8+e7+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+4(g2+su(2))"	30	204	1	0	0	0	0	0	0	0	2
25	18	"e8+e7+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+4(g2+su(2))"	31	204	1	0	0	0	0	0	0	0	2
25	18	"e8+e7+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+4(g2+su(2))"	32	204	1	0	0	0	0	0	0	0	2
25	18	"e8+e7+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+so(8)+4(g2+su(2))"	29	176	1	0	1	0	0	0	0	0	9
25	18	"e8+e7+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+so(8)+4(g2+su(2))"	30	176	1	0	1	0	0	0	0	0	2
25	18	"e8+e7+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	28	194	2	1	0	0	0	0	0	0	5
25	18	"e8+e7+2 f5+su(3)+3(g2+su(2))"	"e8+e7+3 f5+4(g2+su(2))"	30	152	1	0	0	1	0	0	0	0	5
25	19	"e8+e7+3 f5+su(3)+3(g2+su(2))"	"e8+e7+3 f5+4(g2+su(2))"	30	152	1	0	0	0	0	0	0	0	2
25	21	"e8+e6+2 f5+su(3)+3(g2+su(2))"	"e8+e6+2 f5+su(3)+4(g2+su(2))"	25	251	0	1	0	0	0	0	0	0	2
25	22	"e8+e6+2 f5+4(g2+su(2))"	"e8+e6+2 f5+su(3)+4(g2+su(2))"	25	251	0	1	0	0	0	0	0	0	3
25	23	"e8+e6+2 f5+4(g2+su(2))"	"e8+2 e6+2 f5+su(3)+4(g2+su(2))"	33	173	0	1	0	0	1	0	0	0	2
25	24	"e8+e6+2 f5+2 su(3)+3(g2+su(2))"	"e8+2 e6+2 f5+2 su(3)+3(g2+su(2))"	25	174	0	0	0	0	1	0	0	0	2
25	24	"e8+e6+2 f5+2 su(3)+3(g2+su(2))"	"e8+2 e6+2 f5+2 su(3)+4(g2+su(2))"	30	165	1	1	0	0	1	0	0	0	4
25	24	"e8+e6+2 f5+2 su(3)+3(g2+su(2))"	"e8+2 e6+2 f5+3 su(3)+3(g2+su(2))"	27	166	0	1	0	0	1	0	0	0	2
25	24	"e8+e6+2 f5+2 su(3)+3(g2+su(2))"	"e8+2 e6+2 f5+3 su(3)+4(g2+su(2))"	42	157	1	2	0	0	1	0	0	0	2
25	24	"e8+e6+2 f5+2 su(3)+3(g2+su(2))"	"e8+2 e6+2 f5+so(8)+2 su(3)+3(g2+su(2))"	28	146	0	0	1	0	1	0	0	0	2
25	24	"e8+e6+2 f5+2 su(3)+3(g2+su(2))"	"e8+2 e6+3 f5+2 su(3)+3(g2+su(2))"	29	122	0	0	0	1	1	0	0	0	2
25	24	"e8+e6+2 f5+2 su(3)+3(g2+su(2))"	"e8+e6+2 f5+2 su(3)+4(g2+su(2))"	25	243	1	1	0	0	0	0	0	0	2
25	24	"e8+e6+2 f5+2 su(3)+3(g2+su(2))"	"e8+e6+2 f5+3 su(3)+3(g2+su(2))"	25	244	0	1	0	0	0	0	0	0	3
25	24	"e8+e6+2 f5+2 su(3)+3(g2+su(2))"	"e8+e6+2 f5+so(8)+2 su(3)+3(g2+su(2))"	25	224	0	0	1	0	0	0	0	0	2
25	24	"e8+e6+2 f5+2 su(3)+3(g2+su(2))"	"e8+e6+2 f5+so(8)+3 su(3)+3(g2+su(2))"	25	216	0	1	1	0	0	0	0	0	2
25	24	"e8+e6+2 f5+2 su(3)+3(g2+su(2))"	"e8+e6+3 f5+2 su(3)+3(g2+su(2))"	25	200	0	0	0	1	0	0	0	0	2
