"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
26	1	"2 e8+f5+3(g2+su(2))"	"2 e8+f5+4(g2+su(2))"	34	170	1	1	0	0	0	0	0	0
26	1	"2 e8+f5+3(g2+su(2))"	"2 e8+f5+su(3)+3(g2+su(2))"	34	171	0	1	0	0	0	0	0	0
26	2	"2 e8+f5+3(g2+su(2))"	"2 e8+f5+4(g2+su(2))"	34	170	1	1	0	0	0	0	0	0
26	2	"2 e8+f5+3(g2+su(2))"	"2 e8+f5+su(3)+3(g2+su(2))"	34	171	0	1	0	0	0	0	0	0
26	3	"2 e8+f5+su(3)+3(g2+su(2))"	"2 e8+f5+4(g2+su(2))"	32	170	1	0	0	0	0	0	0	0
26	4	"2 e8+f5+3(g2+su(2))"	"2 e8+f5+4(g2+su(2))"	34	170	1	1	0	0	0	0	0	0
26	4	"2 e8+f5+3(g2+su(2))"	"2 e8+f5+su(3)+3(g2+su(2))"	34	171	0	1	0	0	0	0	0	0
26	5	"2 e8+f5+su(3)+3(g2+su(2))"	"2 e8+f5+4(g2+su(2))"	32	170	1	0	0	0	0	0	0	0
26	6	"2 e8+f5+su(3)+3(g2+su(2))"	"2 e8+f5+4(g2+su(2))"	32	170	1	0	0	0	0	0	0	0
26	6	"2 e8+f5+su(3)+3(g2+su(2))"	"2 e8+f5+5(g2+su(2))"	33	161	1	1	0	0	0	0	0	0
26	7	"2 e8+f5+4(g2+su(2))"	"2 e8+f5+5(g2+su(2))"	33	161	1	1	0	0	0	0	0	0
26	7	"2 e8+f5+4(g2+su(2))"	"2 e8+f5+su(3)+4(g2+su(2))"	33	162	0	1	0	0	0	0	0	0
26	10	"2 e8+f5+su(3)+4(g2+su(2))"	"2 e8+f5+5(g2+su(2))"	32	161	1	0	0	0	0	0	0	0
26	11	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	"e8+2 e7+2 f5+4(g2+su(2))+so(7)+2 su(2)"	33	89	1	0	0	0	0	0	1	0
26	11	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	"e8+e7+2 f5+4(g2+su(2))+so(7)+2 su(2)"	31	222	1	0	0	0	0	0	0	0
26	11	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	"e8+e7+3 f5+4(g2+su(2))+so(7)+2 su(2)"	30	170	1	0	0	1	0	0	0	0
26	11	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	"e8+e7+3 f5+4(g2+su(2))+so(7)+2 su(2)"	33	170	1	0	0	1	0	0	0	0
26	11	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	"e8+e7+e6+2 f5+4(g2+su(2))+so(7)+2 su(2)"	31	144	1	0	0	0	1	0	0	0
26	11	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	"e8+e7+e7'+2 f5+4(g2+su(2))+so(7)+2 su(2)"	32	117	1	0	0	0	0	1	0	0
26	12	"2 e8+f5+3(g2+su(2))"	"2 e8+f5+4(g2+su(2))"	34	170	1	1	0	0	0	0	0	0
26	12	"2 e8+f5+3(g2+su(2))"	"2 e8+f5+su(3)+3(g2+su(2))"	34	171	0	1	0	0	0	0	0	0
26	13	"e8+e7+2 f5+3(g2+su(2))+so(7)+2 su(2)"	"e8+2 e7+2 f5+4(g2+su(2))+so(7)+2 su(2)"	34	89	1	1	0	0	0	0	1	0
26	13	"e8+e7+2 f5+3(g2+su(2))+so(7)+2 su(2)"	"e8+e7+3 f5+4(g2+su(2))+so(7)+2 su(2)"	31	170	1	1	0	1	0	0	0	0
26	13	"e8+e7+2 f5+3(g2+su(2))+so(7)+2 su(2)"	"e8+e7+e6+2 f5+4(g2+su(2))+so(7)+2 su(2)"	31	144	1	1	0	0	1	0	0	0
26	13	"e8+e7+2 f5+3(g2+su(2))+so(7)+2 su(2)"	"e8+e7+e6+2 f5+4(g2+su(2))+so(7)+2 su(2)"	37	144	1	1	0	0	1	0	0	0
26	13	"e8+e7+2 f5+3(g2+su(2))+so(7)+2 su(2)"	"e8+e7+e6+2 f5+4(g2+su(2))+so(7)+2 su(2)"	40	144	1	1	0	0	1	0	0	0
