"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
33	1	33	251	1	0	0	0	0	0	0	0	2
33	1	34	243	1	1	0	0	0	0	0	0	3
33	1	34	244	0	1	0	0	0	0	0	0	2
33	1	37	173	1	0	0	0	1	0	0	0	4
33	1	38	146	1	0	0	0	0	1	0	0	5
33	1	38	173	1	0	0	0	1	0	0	0	2
33	1	38	251	1	0	0	0	0	0	0	0	5
33	1	39	118	1	0	0	0	0	0	1	0	5
33	1	39	173	1	0	0	0	1	0	0	0	4
33	2	33	251	1	1	0	0	0	0	0	0	2
33	2	33	252	0	1	0	0	0	0	0	0	3
33	2	34	244	0	2	0	0	0	0	0	0	3
33	2	37	173	1	1	0	0	1	0	0	0	3
33	2	39	118	1	1	0	0	0	0	1	0	2
33	2	40	118	1	1	0	0	0	0	1	0	3
33	2	41	146	1	1	0	0	0	1	0	0	2
33	3	33	251	0	1	0	0	0	0	0	0	2
33	4	33	245	0	1	0	0	0	0	0	0	2
33	4	33	252	1	0	0	0	0	0	0	0	2
33	4	34	244	1	1	0	0	0	0	0	0	4
33	4	39	172	1	0	1	1	0	0	0	0	2
33	4	39	252	1	0	0	0	0	0	0	0	4
33	4	41	165	2	1	0	0	1	0	0	0	2
33	4	41	166	1	1	0	0	1	0	0	0	4
33	4	45	166	1	1	0	0	1	0	0	0	3
33	5	36	191	2	1	0	0	0	0	0	0	3
33	5	36	192	1	1	0	0	0	0	0	0	5
33	5	38	200	1	0	0	0	0	0	0	0	13
33	6	33	251	1	1	0	0	0	0	0	0	2
33	6	33	252	0	1	0	0	0	0	0	0	3
33	7	33	201	0	1	0	0	0	0	0	0	2
33	7	35	200	1	1	0	0	0	0	0	0	2
33	7	36	192	1	2	0	0	0	0	0	0	3
33	7	38	208	1	0	0	0	0	0	0	0	4
33	7	39	208	1	0	0	0	0	0	0	0	2
33	9	38	199	1	0	0	0	0	0	0	0	6
33	10	33	249	1	0	0	0	0	0	0	0	2
33	10	37	171	1	0	0	0	1	0	0	0	3
33	10	38	144	1	0	0	0	0	1	0	0	3
33	10	38	249	1	0	0	0	0	0	0	0	3
33	10	39	116	1	0	0	0	0	0	1	0	3
33	10	39	171	1	0	0	0	1	0	0	0	3
33	11	38	208	1	0	0	0	0	0	0	0	5
33	13	36	192	1	1	0	0	0	0	0	0	2
33	13	37	172	1	0	1	0	0	0	0	0	3
33	13	38	172	1	0	1	0	0	0	0	0	2
33	13	38	200	1	0	0	0	0	0	0	0	5
33	13	39	172	1	0	1	0	0	0	0	0	2
33	14	38	198	1	0	0	0	0	0	0	0	7
33	14	38	199	1	0	0	0	0	0	0	0	5
33	15	38	197	1	0	0	0	0	0	0	0	4
33	20	33	179	0	1	0	0	0	0	0	0	2
33	23	37	170	1	1	0	0	0	0	0	0	2
33	23	38	170	1	1	0	0	0	0	0	0	4
33	23	39	170	1	1	0	0	0	0	0	0	3
33	23	39	171	0	1	0	0	0	0	0	0	2
33	23	40	170	1	1	0	0	0	0	0	0	4
33	23	40	171	0	1	0	0	0	0	0	0	2
33	24	33	179	0	1	0	0	0	0	0	0	2
33	25	33	179	0	1	0	0	0	0	0	0	2
33	26	33	256	0	0	1	0	0	0	0	0	3
33	26	37	170	1	1	0	0	0	1	0	0	2
33	26	38	142	1	1	0	0	0	0	1	0	2
33	26	39	142	1	1	0	0	0	0	1	0	3
33	26	42	27	1	1	0	0	0	0	0	1	3
33	26	42	28	0	1	0	0	0	0	0	1	2
33	27	37	170	1	1	0	0	0	0	0	0	2
33	27	38	170	1	1	0	0	0	0	0	0	3
33	27	39	171	0	1	0	0	0	0	0	0	3
33	27	40	170	1	1	0	0	0	0	0	0	4
33	27	43	161	1	2	0	0	0	0	0	0	2
