"TH+1"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
36	1	"2 e8+3 f4+6(g2+su(2))"	"3 e8+3 f4+3 su(3)+6(g2+su(2))"	45	66	0	3	0	0	0	0	0	1	"[""s1:36->1 / s2:1->1 / s3:1->1 / s4:1->1""]"	"[""""]"
36	1	"2 e8+3 f4+6(g2+su(2))"	"3 e8+3 f4+6(g2+su(2))+so(7)+2 su(2)"	45	79	2	1	0	0	0	0	0	1	"[""s1:36->1 / s2:1->1 / s3:1->1 / s4:1->1"",""s1:36->1 / s2:1->1 / s3:1->1 / s4:1->2"",""s1:36->1 / s2:1->1 / s3:1->1 / s4:1->3"",""s1:36->1 / s2:1->1 / s3:1->1 / s4:1->4"",""s1:36->1 / s2:1->1 / s3:1->1 / s4:1->5"",""s1:36->1 / s2:1->1 / s3:1->2 / s4:1->2"",""s1:36->1 / s2:1->1 / s3:1->2 / s4:1->3"",""s1:36->1 / s2:1->1 / s3:1->2 / s4:1->4""]"	"[""s3:38->1 / s4:38->1"",""s3:38->1 / s4:38->1"",""s3:38->1 / s4:38->1"",""s3:38->1 / s4:38->1"",""s3:38->1 / s4:38->1"",""s3:38->1 / s4:38->1"",""s3:38->1 / s4:38->1"",""s3:38->1 / s4:38->1""]"
36	1	"2 e8+3 f4+6(g2+su(2))"	"3 e8+3 f4+su(3)+7(g2+su(2))"	45	73	1	2	0	0	0	0	0	1	"[""s1:36->1 / s2:1->1 / s3:1->1 / s4:1->1"",""s1:36->1 / s2:1->1 / s3:1->1 / s4:1->1"",""s1:36->1 / s2:1->1 / s3:1->1 / s4:1->2"",""s1:36->1 / s2:1->1 / s3:1->1 / s4:1->2"",""s1:36->1 / s2:1->1 / s3:1->1 / s4:1->3"",""s1:36->1 / s2:1->1 / s3:1->1 / s4:1->3"",""s1:36->1 / s2:1->1 / s3:1->1 / s4:1->4"",""s1:36->1 / s2:1->1 / s3:1->1 / s4:1->4"",""s1:36->1 / s2:1->1 / s3:1->1 / s4:1->5"",""s1:36->1 / s2:1->1 / s3:1->1 / s4:1->5"",""s1:36->1 / s2:1->1 / s3:1->2 / s4:1->1""]"	"[""s4:38->1"",""s4:39->1"",""s4:38->1"",""s4:39->1"",""s4:38->1"",""s4:39->1"",""s4:38->1"",""s4:39->1"",""s4:38->1"",""s4:39->1"",""s4:38->1""]"
36	34	"2 e8+e6+3 f4+3 su(3)+4(g2+su(2))"	"2 e8+2 e6+3 f4+4 su(3)+5(g2+su(2))"	46	159	1	2	0	0	1	0	0	0	"[""s1:36->1 / s2:1->1 / s3:1->1""]"	"[""s4:2->1""]"
36	64	"2 e8+2 e6+3 f4+2 su(3)+4(g2+su(2))"	"2 e8+2 e6+3 f4+2 su(3)+6(g2+su(2))"	40	166	2	2	0	0	0	0	0	0	"[""s1:36->1 / s2:34->1 / s3:1->1 / s4:1->1"",""s1:36->1 / s2:34->1 / s3:1->1 / s4:1->1""]"	"[""s3:37->1 / s4:38->1"",""s3:38->1 / s4:37->1""]"
36	84	"5 e7+g2+su(2)+5(so(7)+2 su(2))"	"6 e7+2 su(3)+6(so(7)+2 su(2))"	44	164	1	2	0	0	0	0	1	0	"[""s1:36->1 / s2:1->1 / s3:1->1 / s4:5->1""]"	"[""s4:2->1""]"
36	84	"5 e7+g2+su(2)+5(so(7)+2 su(2))"	"6 e7+g2+su(2)+6(so(7)+2 su(2))"	41	171	2	1	0	0	0	0	1	0	"[""s1:36->1 / s2:1->1 / s3:5->1"",""s1:36->1 / s2:1->1 / s4:1->1, 5->1, 30->1"",""s1:36->1 / s2:1->1 / s4:1->2, 30->1"",""s1:36->1 / s2:1->1 / s4:1->2, 5->1, 30->1""]"	"[""s3:38->1 / s4:2->1"",""s3:2->1 / s4:38->1"",""s3:2->1 / s4:38->1"",""s3:2->1 / s4:38->1""]"
36	84	"5 e7+g2+su(2)+5(so(7)+2 su(2))"	"6 e7+su(3)+2(g2+su(2))+5(so(7)+2 su(2))"	44	165	1	2	0	0	0	0	1	0	"[""s1:36->1 / s2:1->1 / s3:1->1 / s4:5->1"",""s1:36->1 / s2:1->1 / s3:1->1 / s4:5->1""]"	"[""s4:38->1"",""s4:39->1""]"
36	91	"5 e7+su(3)+g2+su(2)+5(so(7)+2 su(2))"	"6 e7+7(so(7)+2 su(2))"	41	169	3	0	0	0	0	0	1	0	"[""s1:1->1 / s4:6->1, 35->1""]"	"[""s2:36->1 / s3:36->1 / s4:34->1""]"
36	91	"5 e7+su(3)+g2+su(2)+5(so(7)+2 su(2))"	"6 e7+7(so(7)+2 su(2))"	42	169	3	0	0	0	0	0	1	0	"[""s1:1->1""]"	"[""s2:36->1 / s3:36->1 / s4:34->1""]"
36	91	"5 e7+su(3)+g2+su(2)+5(so(7)+2 su(2))"	"6 e7+7(so(7)+2 su(2))"	43	169	3	0	0	0	0	0	1	0	"[""s1:1->1 / s4:35->1""]"	"[""s2:36->1 / s3:36->1 / s4:34->1""]"
36	91	"5 e7+su(3)+g2+su(2)+5(so(7)+2 su(2))"	"6 e7+7(so(7)+2 su(2))"	44	169	3	0	0	0	0	0	1	0	"[""s1:1->1 / s3:35->1""]"	"[""s2:36->1 / s3:36->1 / s4:34->1""]"
