"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
39	1	"3 e8+2 f5+6(g2+su(2))"	"3 e8+3 f5+2 su(3)+6(g2+su(2))"	45	161	0	2	0	1	0	0	0	0	"s1:1→1 / s2:39→1 / s3:39→1"	""
39	1	"3 e8+2 f5+6(g2+su(2))"	"3 e8+3 f5+2 su(3)+6(g2+su(2))"	48	161	0	2	0	1	0	0	0	0	"s1:1→1 / s2:39→1 / s3:39→2"	""
39	1	"3 e8+2 f5+6(g2+su(2))"	"3 e8+3 f5+7(g2+su(2))"	46	168	1	1	0	1	0	0	0	0	"s1:1→1 / s2:39→1 / s3:39→1"	"s3:41→1"
39	2	"3 e8+3 f5+5(g2+su(2))"	"3 e8+3 f5+2 su(3)+6(g2+su(2))"	43	161	0	3	0	0	0	0	0	0	"s1:39→1 / s2:37→1"	"s3:1→1"
39	2	"3 e8+3 f5+5(g2+su(2))"	"3 e8+3 f5+7(g2+su(2))"	44	168	1	2	0	0	0	0	0	0	"s1:39→1 / s3:37→1"	"s2:1→1 / s3:40→1"
39	2	"3 e8+3 f5+5(g2+su(2))"	"3 e8+3 f5+7(g2+su(2))"	45	168	1	2	0	0	0	0	0	0	"s1:39→1 / s3:37→2"	"s2:1→1 / s3:40→1"
39	2	"3 e8+3 f5+5(g2+su(2))"	"3 e8+3 f5+7(g2+su(2))"	46	168	1	2	0	0	0	0	0	0	"s1:39→1 / s3:37→3"	"s2:1→1 / s3:40→1"
39	2	"3 e8+3 f5+5(g2+su(2))"	"3 e8+3 f5+7(g2+su(2))"	47	168	1	2	0	0	0	0	0	0	"{s1:39→1 / s3:37→4, s1:39→1 / s3:37→5}"	"{s2:1→1 / s3:40→1, s2:1→1 / s3:40→1}"
39	4	"3 e8+2 f5+su(3)+6(g2+su(2))"	"3 e8+3 f5+6(g2+su(2))+so(7)+2 su(2)"	43	166	2	0	0	1	0	0	0	0	"s1:1→1"	"s2:39→1 / s3:39→1"
39	4	"3 e8+2 f5+su(3)+6(g2+su(2))"	"3 e8+3 f5+6(g2+su(2))+so(7)+2 su(2)"	44	166	2	0	0	1	0	0	0	0	"{s1:1→1 / s3:38→1, s1:1→1 / s3:38→2}"	"{s2:39→1 / s3:39→1, s2:39→1 / s3:39→1}"
39	4	"3 e8+2 f5+su(3)+6(g2+su(2))"	"3 e8+3 f5+su(3)+7(g2+su(2))"	45	160	1	1	0	1	0	0	0	0	"s1:1→1 / s2:38→1"	"s3:39→1"
39	9	"3 e8+3 f5+6(g2+su(2))"	"3 e8+3 f5+3 su(3)+6(g2+su(2))"	45	153	0	3	0	0	0	0	0	0	"{s1:39→1 / s2:39→1 / s3:1→1, s1:39→1 / s2:39→2 / s3:1→1}"	""
39	9	"3 e8+3 f5+6(g2+su(2))"	"3 e8+3 f5+6(g2+su(2))+so(7)+2 su(2)"	44	166	2	1	0	0	0	0	0	0	"{s1:39→1 / s2:1→1 / s3:1→1, s1:39→1 / s2:1→1 / s3:1→1, 39→1, s1:39→1 / s2:1→1 / s3:1→1, 39→2, s1:39→1 / s2:1→1 / s3:1→2, 39→1, s1:39→1 / s2:1→1 / s3:1→2, 39→2, s1:39→1 / s2:1→1 / s3:1→3, 39→1, s1:39→1 / s2:1→1 / s3:1→3, 39→2}"	"{s2:40→1 / s3:40→1, s2:40→1 / s3:40→1, s2:40→1 / s3:40→1, s2:40→1 / s3:40→1, s2:40→1 / s3:40→1, s2:40→1 / s3:40→1, s2:40→1 / s3:40→1}"
39	9	"3 e8+3 f5+6(g2+su(2))"	"3 e8+3 f5+6(g2+su(2))+so(7)+2 su(2)"	45	166	2	1	0	0	0	0	0	0	"s1:39→1 / s2:1→1 / s3:1→2"	"s2:40→1 / s3:40→1"
39	9	"3 e8+3 f5+6(g2+su(2))"	"3 e8+3 f5+6(g2+su(2))+so(7)+2 su(2)"	46	166	2	1	0	0	0	0	0	0	"s1:39→1 / s2:1→1 / s3:1→3"	"s2:40→1 / s3:40→1"
39	9	"3 e8+3 f5+6(g2+su(2))"	"3 e8+3 f5+so(8)+7(g2+su(2))"	45	140	1	1	1	0	0	0	0	0	"s1:39→1 / s2:1→1 / s3:39→1"	"s3:41→1"
39	9	"3 e8+3 f5+6(g2+su(2))"	"3 e8+3 f5+su(3)+7(g2+su(2))"	44	160	1	2	0	0	0	0	0	0	"{s1:39→1 / s2:1→1 / s3:39→1, s1:39→1 / s2:1→1 / s3:39→2, s1:39→1 / s2:1→1 / s3:39→3}"	"{s3:41→1, s3:41→1, s3:41→1}"
39	9	"3 e8+3 f5+6(g2+su(2))"	"3 e8+3 f5+su(3)+7(g2+su(2))"	45	160	1	2	0	0	0	0	0	0	"{s1:39→1 / s2:1→1 / s3:39→1, s1:39→1 / s2:1→1 / s3:39→2, s1:39→1 / s2:1→1 / s3:39→3, s1:39→1 / s2:1→1 / s3:39→4, s1:39→1 / s2:1→1 / s3:39→4, s1:39→1 / s2:1→1 / s3:39→5, s1:39→1 / s2:1→1 / s3:39→5, s1:39→2 / s2:1→1 / s3:39→1, s1:39→2 / s2:1→1 / s3:39→2, s1:39→2 / s2:1→1 / s3:39→3, s1:39→2 / s2:1→1 / s3:39→4, s1:39→3 / s2:1→1 / s3:39→1}"	"{s3:40→1, s3:40→1, s3:40→1, s3:40→1, s3:41→1, s3:40→1, s3:41→1, s3:41→1, s3:41→1, s3:41→1, s3:41→1, s3:41→1}"
39	9	"3 e8+3 f5+6(g2+su(2))"	"3 e8+3 f5+su(3)+7(g2+su(2))"	46	160	1	2	0	0	0	0	0	0	"s1:39→1 / s2:39→1 / s3:1→1"	"s3:41→1"
39	17	"2 e8+e7+3 f5+7(g2+su(2))"	"2 e8+2 e7+3 f5+2 su(3)+7(g2+su(2))"	45	134	0	2	0	0	0	0	1	0	"s1:1→1 / s2:39→1 / s3:39→1"	""
39	17	"2 e8+e7+3 f5+7(g2+su(2))"	"2 e8+2 e7+3 f5+2 su(3)+7(g2+su(2))"	46	134	0	2	0	0	0	0	1	0	"s1:1→1 / s2:39→1 / s3:39→2"	""
39	17	"2 e8+e7+3 f5+7(g2+su(2))"	"2 e8+2 e7+3 f5+8(g2+su(2))"	45	141	1	1	0	0	0	0	1	0	"{s1:1→1 / s2:39→1 / s3:39→1, s1:1→1 / s2:39→1 / s3:39→2}"	"{s3:41→1, s3:41→1}"
39	17	"2 e8+e7+3 f5+7(g2+su(2))"	"2 e8+2 e7+3 f5+8(g2+su(2))"	46	141	1	1	0	0	0	0	1	0	"{s1:1→1 / s2:39→1 / s3:39→3, s1:1→1 / s2:39→1 / s3:39→4, s1:1→1 / s2:39→1 / s3:39→5}"	"{s3:41→1, s3:41→1, s3:41→1}"
39	17	"2 e8+e7+3 f5+7(g2+su(2))"	"2 e8+2 e7+3 f5+so(8)+6(g2+su(2))+so(7)+2 su(2)"	45	120	1	0	1	0	0	0	1	0	"s1:1→1 / s2:39→1"	"s3:38→1"
39	17	"2 e8+e7+3 f5+7(g2+su(2))"	"2 e8+2 e7+3 f5+su(3)+6(g2+su(2))+so(7)+2 su(2)"	44	140	1	1	0	0	0	0	1	0	"s1:1→1 / s2:39→1"	"s3:38→1"
39	17	"2 e8+e7+3 f5+7(g2+su(2))"	"2 e8+2 e7+3 f5+su(3)+6(g2+su(2))+so(7)+2 su(2)"	45	140	1	1	0	0	0	0	1	0	"{s1:1→1 / s2:39→1 / s3:39→1, s1:1→1 / s2:39→1 / s3:39→2, s1:1→1 / s2:39→1 / s3:39→3, s1:1→1 / s2:39→1 / s3:39→4, s1:1→1 / s2:39→1 / s3:39→5, s1:1→1 / s2:39→2, s1:1→1 / s2:39→2 / s3:39→1}"	"{s3:38→1, s3:38→1, s3:38→1, s3:38→1, s3:38→1, s3:38→1, s3:38→1}"
39	17	"2 e8+e7+3 f5+7(g2+su(2))"	"2 e8+2 e7+3 f5+su(3)+6(g2+su(2))+so(7)+2 su(2)"	46	140	1	1	0	0	0	0	1	0	"s1:1→1 / s2:39→3"	"s3:38→1"
39	17	"2 e8+e7+3 f5+7(g2+su(2))"	"2 e8+e7+e6+3 f5+so(8)+6(g2+su(2))+so(7)+2 su(2)"	44	175	1	0	1	0	1	0	0	0	"s1:1→1 / s2:39→1 / s3:1→1"	"s3:38→1"
