"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
40	11	48	174	0	4	0	0	0	0	0	0	"s1:40→1 / s2:40→1 / s3:40→1"	"s4:1→1"
40	20	179	186	3	1	0	0	0	0	0	0	"s1:40→1 / s2:2→2, 38→3"	"s2:41→1 / s3:1→1 / s4:1→1"
40	22	46	161	1	2	0	0	0	0	1	0	"s1:1→1 / s2:40→1 / s3:40→1"	"s4:39→1"
40	22	47	168	2	1	0	0	0	0	1	0	"s1:1→1 / s2:40→1 / s3:40→1"	"s3:42→1 / s4:39→1"
40	22	48	53	2	1	0	0	0	0	0	1	"{s1:1→1 / s2:40→1 / s3:40→1, s1:1→1 / s2:40→1 / s3:40→2}"	"{s3:42→1 / s4:39→1, s3:42→1 / s4:39→1}"
40	22	48	168	2	1	0	0	0	0	1	0	"s1:1→1 / s2:40→1 / s3:40→2"	"s3:42→1 / s4:39→1"
40	22	49	46	1	2	0	0	0	0	0	1	"s1:1→1 / s2:40→1 / s3:40→1"	"s4:39→1"
40	22	172	273	2	1	1	0	0	0	0	0	"s1:40→1 / s2:1→1 / s3:1→1 / s4:1→5"	"s3:42→1 / s4:39→1"
40	22	178	216	1	2	0	0	1	0	0	0	"s1:1→1 / s2:40→1 / s3:40→1"	"s4:39→1"
40	22	185	266	1	2	1	0	0	0	0	0	"s1:40→1 / s2:1→1 / s3:1→2 / s4:1→5"	"s4:39→1"
40	22	191	223	2	1	0	0	1	0	0	0	"s1:1→1 / s2:40→1 / s3:40→1"	"s3:42→1 / s4:39→1"
40	22	193	267	1	2	1	0	0	0	0	0	"s1:40→1 / s2:1→1 / s3:1→1 / s4:1→3, 40→1"	"s4:43→1"
40	29	169	234	1	3	0	0	0	0	0	0	"s1:40→1 / s2:1→1 / s3:1→2 / s4:1→3"	"s4:41→1"
40	29	171	241	2	2	0	0	0	0	0	0	"s1:40→1 / s2:1→1 / s3:1→2 / s4:1→5"	"s3:42→1 / s4:41→1"
40	29	173	234	1	3	0	0	0	0	0	0	"s1:40→1 / s2:1→1 / s3:1→1 / s4:1→1"	"s4:41→1"
