"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
41	1	"3 e8+3 f5+su(3)+5(g2+su(2))"	"3 e8+3 f5+6(g2+su(2))"	46	235	1	0	0	0	0	0	0	0	4
41	2	"3 e8+3 f5+su(3)+5(g2+su(2))"	"3 e8+3 f5+6(g2+su(2))"	46	235	1	0	0	0	0	0	0	0	4
41	3	"3 e8+3 f5+su(3)+6(g2+su(2))"	"3 e8+3 f5+7(g2+su(2))"	46	226	1	0	0	0	0	0	0	0	5
41	3	"3 e8+3 f5+su(3)+6(g2+su(2))"	"3 e8+4 f5+7(g2+su(2))"	46	174	1	0	0	1	0	0	0	0	5
41	4	"3 e8+3 f5+6(g2+su(2))"	"3 e8+3 f5+2 su(3)+6(g2+su(2))"	41	219	0	2	0	0	0	0	0	0	2
41	4	"3 e8+3 f5+6(g2+su(2))"	"3 e8+3 f5+7(g2+su(2))"	42	226	1	1	0	0	0	0	0	0	4
41	4	"3 e8+3 f5+6(g2+su(2))"	"3 e8+3 f5+so(8)+su(3)+6(g2+su(2))"	42	199	0	1	1	0	0	0	0	0	2
41	4	"3 e8+3 f5+6(g2+su(2))"	"3 e8+3 f5+su(3)+6(g2+su(2))"	41	227	0	1	0	0	0	0	0	0	3
41	4	"3 e8+3 f5+6(g2+su(2))"	"3 e8+3 f5+su(3)+6(g2+su(2))"	42	227	0	1	0	0	0	0	0	0	2
41	4	"3 e8+3 f5+6(g2+su(2))"	"3 e8+4 f5+7(g2+su(2))"	46	174	1	1	0	1	0	0	0	0	2
41	4	"3 e8+3 f5+6(g2+su(2))"	"3 e8+4 f5+7(g2+su(2))"	47	174	1	1	0	1	0	0	0	0	2
41	4	"3 e8+3 f5+6(g2+su(2))"	"3 e8+4 f5+7(g2+su(2))"	49	174	1	1	0	1	0	0	0	0	4
41	4	"3 e8+3 f5+6(g2+su(2))"	"3 e8+4 f5+su(3)+6(g2+su(2))"	43	175	0	1	0	1	0	0	0	0	2
41	5	"3 e8+3 f5+su(3)+5(g2+su(2))"	"3 e8+3 f5+2 su(3)+6(g2+su(2))"	41	219	0	2	0	0	0	0	0	0	2
41	5	"3 e8+3 f5+su(3)+5(g2+su(2))"	"3 e8+3 f5+6(g2+su(2))"	46	235	1	0	0	0	0	0	0	0	4
41	5	"3 e8+3 f5+su(3)+5(g2+su(2))"	"3 e8+3 f5+7(g2+su(2))"	41	226	1	1	0	0	0	0	0	0	2
41	5	"3 e8+3 f5+su(3)+5(g2+su(2))"	"3 e8+3 f5+so(8)+su(3)+6(g2+su(2))"	42	199	0	1	1	0	0	0	0	0	2
41	5	"3 e8+3 f5+su(3)+5(g2+su(2))"	"3 e8+3 f5+su(3)+6(g2+su(2))"	41	227	0	1	0	0	0	0	0	0	2
41	5	"3 e8+3 f5+su(3)+5(g2+su(2))"	"3 e8+3 f5+su(3)+6(g2+su(2))"	42	227	0	1	0	0	0	0	0	0	2
41	5	"3 e8+3 f5+su(3)+5(g2+su(2))"	"3 e8+4 f5+su(3)+6(g2+su(2))"	43	175	0	1	0	1	0	0	0	0	2
41	5	"3 e8+3 f5+su(3)+5(g2+su(2))"	"3 e8+e6+3 f5+su(3)+6(g2+su(2))"	44	149	0	1	0	0	1	0	0	0	2
41	8	"3 e8+3 f5+2 su(3)+6(g2+su(2))"	"3 e8+3 f5+su(3)+7(g2+su(2))"	41	218	1	0	0	0	0	0	0	0	2
41	8	"3 e8+3 f5+2 su(3)+6(g2+su(2))"	"3 e8+3 f5+su(3)+7(g2+su(2))"	46	218	1	0	0	0	0	0	0	0	9
41	9	"3 e8+3 f5+su(3)+6(g2+su(2))"	"3 e8+3 f5+2 su(3)+6(g2+su(2))"	41	219	0	1	0	0	0	0	0	0	2
41	9	"3 e8+3 f5+su(3)+6(g2+su(2))"	"3 e8+3 f5+7(g2+su(2))"	42	226	1	0	0	0	0	0	0	0	2
41	9	"3 e8+3 f5+su(3)+6(g2+su(2))"	"3 e8+3 f5+7(g2+su(2))"	46	226	1	0	0	0	0	0	0	0	7
41	9	"3 e8+3 f5+su(3)+6(g2+su(2))"	"3 e8+3 f5+su(3)+7(g2+su(2))"	41	218	1	1	0	0	0	0	0	0	2
41	10	"3 e8+4 f5+6(g2+su(2))"	"3 e8+4 f5+7(g2+su(2))"	46	174	1	1	0	0	0	0	0	0	10
41	10	"3 e8+4 f5+6(g2+su(2))"	"3 e8+4 f5+su(3)+6(g2+su(2))"	41	175	0	1	0	0	0	0	0	0	2
41	11	"3 e8+3 f5+su(3)+6(g2+su(2))"	"3 e8+3 f5+2 so(8)+7(g2+su(2))"	45	170	1	0	2	0	0	0	0	0	2
41	11	"3 e8+3 f5+su(3)+6(g2+su(2))"	"3 e8+3 f5+2 su(3)+6(g2+su(2))"	41	219	0	1	0	0	0	0	0	0	2
41	11	"3 e8+3 f5+su(3)+6(g2+su(2))"	"3 e8+3 f5+7(g2+su(2))"	46	226	1	0	0	0	0	0	0	0	4
41	11	"3 e8+3 f5+su(3)+6(g2+su(2))"	"3 e8+3 f5+so(8)+2 su(3)+6(g2+su(2))"	42	191	0	1	1	0	0	0	0	0	2
41	11	"3 e8+3 f5+su(3)+6(g2+su(2))"	"3 e8+3 f5+so(8)+3 su(3)+6(g2+su(2))"	45	183	0	2	1	0	0	0	0	0	2
41	11	"3 e8+3 f5+su(3)+6(g2+su(2))"	"3 e8+3 f5+so(8)+su(3)+6(g2+su(2))"	41	199	0	0	1	0	0	0	0	0	2
41	11	"3 e8+3 f5+su(3)+6(g2+su(2))"	"3 e8+3 f5+su(3)+7(g2+su(2))"	42	218	1	1	0	0	0	0	0	0	2
41	11	"3 e8+3 f5+su(3)+6(g2+su(2))"	"3 e8+4 f5+2 su(3)+6(g2+su(2))"	43	167	0	1	0	1	0	0	0	0	2
41	11	"3 e8+3 f5+su(3)+6(g2+su(2))"	"3 e8+4 f5+2 su(3)+6(g2+su(2))"	46	167	0	1	0	1	0	0	0	0	4
41	11	"3 e8+3 f5+su(3)+6(g2+su(2))"	"3 e8+4 f5+2 su(3)+6(g2+su(2))"	48	167	0	1	0	1	0	0	0	0	4
41	11	"3 e8+3 f5+su(3)+6(g2+su(2))"	"3 e8+4 f5+2 su(3)+7(g2+su(2))"	46	158	1	2	0	1	0	0	0	0	2
41	11	"3 e8+3 f5+su(3)+6(g2+su(2))"	"3 e8+4 f5+2 su(3)+7(g2+su(2))"	47	158	1	2	0	1	0	0	0	0	3
41	11	"3 e8+3 f5+su(3)+6(g2+su(2))"	"3 e8+4 f5+3 su(3)+6(g2+su(2))"	47	159	0	2	0	1	0	0	0	0	3
41	11	"3 e8+3 f5+su(3)+6(g2+su(2))"	"3 e8+4 f5+7(g2+su(2))"	45	174	1	0	0	1	0	0	0	0	7
41	11	"3 e8+3 f5+su(3)+6(g2+su(2))"	"3 e8+4 f5+7(g2+su(2))"	46	174	1	0	0	1	0	0	0	0	4
