"TH"	"index"	"LST gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
51	1	"4 e8+3 f5+8(g2+su(2))"	51	207	0	0	0	1	0	0	0	0	2
51	1	"4 e8+3 f5+8(g2+su(2))"	51	223	0	1	1	0	0	0	0	0	2
51	1	"4 e8+3 f5+8(g2+su(2))"	51	231	0	0	1	0	0	0	0	0	2
51	1	"4 e8+3 f5+8(g2+su(2))"	51	250	1	1	0	0	0	0	0	0	2
51	1	"4 e8+3 f5+8(g2+su(2))"	51	251	0	1	0	0	0	0	0	0	3
51	1	"4 e8+3 f5+8(g2+su(2))"	52	179	0	0	1	1	0	0	0	0	2
51	1	"4 e8+3 f5+8(g2+su(2))"	52	199	0	1	0	1	0	0	0	0	2
51	3	"4 e8+3 f5+su(3)+8(g2+su(2))"	51	250	1	0	0	0	0	0	0	0	2
51	5	"4 e8+4 f5+8(g2+su(2))"	51	199	0	1	0	0	0	0	0	0	3
51	5	"4 e8+4 f5+8(g2+su(2))"	52	147	0	1	0	1	0	0	0	0	2
51	5	"4 e8+4 f5+8(g2+su(2))"	52	171	0	1	1	0	0	0	0	0	2
51	5	"4 e8+4 f5+8(g2+su(2))"	52	191	0	2	0	0	0	0	0	0	2
51	5	"4 e8+4 f5+8(g2+su(2))"	53	198	1	1	0	0	0	0	0	0	4
51	5	"4 e8+4 f5+8(g2+su(2))"	53	199	0	1	0	0	0	0	0	0	2
51	5	"4 e8+4 f5+8(g2+su(2))"	54	190	1	2	0	0	0	0	0	0	10
51	5	"4 e8+4 f5+8(g2+su(2))"	54	191	0	2	0	0	0	0	0	0	4
51	5	"4 e8+4 f5+8(g2+su(2))"	55	170	1	1	1	0	0	0	0	0	12
51	5	"4 e8+4 f5+8(g2+su(2))"	55	183	0	3	0	0	0	0	0	0	2
51	5	"4 e8+4 f5+8(g2+su(2))"	56	146	1	1	0	1	0	0	0	0	10
51	5	"4 e8+4 f5+8(g2+su(2))"	56	170	1	1	1	0	0	0	0	0	6
51	5	"4 e8+4 f5+8(g2+su(2))"	57	170	1	1	1	0	0	0	0	0	2
51	9	"4 e8+4 f5+su(3)+7(g2+su(2))"	55	182	1	3	0	0	0	0	0	0	5
51	9	"4 e8+4 f5+su(3)+7(g2+su(2))"	55	183	0	3	0	0	0	0	0	0	3
51	10	"4 e8+3 f5+2 su(3)+8(g2+su(2))"	51	242	1	0	0	0	0	0	0	0	2
51	13	"3 e8+e7+4 f5+9(g2+su(2))"	51	233	0	0	1	1	0	0	0	0	2
51	13	"3 e8+e7+4 f5+9(g2+su(2))"	51	261	0	0	0	1	0	0	0	0	3
51	13	"3 e8+e7+4 f5+9(g2+su(2))"	55	178	1	0	0	0	0	0	1	0	2
51	13	"3 e8+e7+4 f5+9(g2+su(2))"	56	164	0	2	0	0	0	0	1	0	2
51	13	"3 e8+e7+4 f5+9(g2+su(2))"	56	169	2	1	0	0	0	0	1	0	2
51	13	"3 e8+e7+4 f5+9(g2+su(2))"	56	170	1	1	0	0	0	0	1	0	8
51	13	"3 e8+e7+4 f5+9(g2+su(2))"	56	171	1	1	0	0	0	0	1	0	5
51	13	"3 e8+e7+4 f5+9(g2+su(2))"	56	172	0	1	0	0	0	0	1	0	4
51	13	"3 e8+e7+4 f5+9(g2+su(2))"	56	178	1	0	0	0	0	0	1	0	3
51	14	"3 e8+e7+4 f5+su(3)+7(g2+su(2))+so(7)+2 su(2)"	51	226	0	1	0	0	1	0	0	0	2
51	14	"3 e8+e7+4 f5+su(3)+7(g2+su(2))+so(7)+2 su(2)"	51	232	0	0	1	1	0	0	0	0	2
51	14	"3 e8+e7+4 f5+su(3)+7(g2+su(2))+so(7)+2 su(2)"	51	234	0	0	0	0	1	0	0	0	2
51	14	"3 e8+e7+4 f5+su(3)+7(g2+su(2))+so(7)+2 su(2)"	51	260	0	0	0	1	0	0	0	0	3
51	14	"3 e8+e7+4 f5+su(3)+7(g2+su(2))+so(7)+2 su(2)"	52	206	0	0	1	0	1	0	0	0	2
51	14	"3 e8+e7+4 f5+su(3)+7(g2+su(2))+so(7)+2 su(2)"	55	178	1	0	0	0	0	0	1	0	5
51	14	"3 e8+e7+4 f5+su(3)+7(g2+su(2))+so(7)+2 su(2)"	56	150	1	0	1	0	0	0	1	0	2
51	14	"3 e8+e7+4 f5+su(3)+7(g2+su(2))+so(7)+2 su(2)"	56	162	1	2	0	0	0	0	1	0	5
51	14	"3 e8+e7+4 f5+su(3)+7(g2+su(2))+so(7)+2 su(2)"	56	163	0	2	0	0	0	0	1	0	3
51	14	"3 e8+e7+4 f5+su(3)+7(g2+su(2))+so(7)+2 su(2)"	56	168	2	1	0	0	0	0	1	0	2
51	14	"3 e8+e7+4 f5+su(3)+7(g2+su(2))+so(7)+2 su(2)"	56	169	2	1	0	0	0	0	1	0	6
51	14	"3 e8+e7+4 f5+su(3)+7(g2+su(2))+so(7)+2 su(2)"	56	170	1	1	0	0	0	0	1	0	20
51	14	"3 e8+e7+4 f5+su(3)+7(g2+su(2))+so(7)+2 su(2)"	56	171	0	1	0	0	0	0	1	0	4
51	20	"3 e8+e7+5 f5+su(3)+8(g2+su(2))"	51	253	1	1	0	0	0	0	0	0	2
51	20	"3 e8+e7+5 f5+su(3)+8(g2+su(2))"	51	254	0	1	0	0	0	0	0	0	3
51	20	"3 e8+e7+5 f5+su(3)+8(g2+su(2))"	51	260	1	0	0	0	0	0	0	0	2
51	22	"4 e8+3 f5+10(g2+su(2))"	56	239	1	0	0	0	0	0	0	0	3
51	23	"4 e8+3 f5+so(8)+7(g2+su(2))"	51	223	0	2	0	0	0	0	0	0	2
51	23	"4 e8+3 f5+so(8)+7(g2+su(2))"	51	231	0	1	0	0	0	0	0	0	2
51	23	"4 e8+3 f5+so(8)+7(g2+su(2))"	52	203	0	1	1	0	0	0	0	0	2
51	23	"4 e8+3 f5+so(8)+7(g2+su(2))"	52	231	0	1	0	0	0	0	0	0	2
51	24	"3 e8+e7+e6+4 f5+su(3)+7(g2+su(2))"	51	228	0	2	0	0	0	0	0	0	2
51	24	"3 e8+e7+e6+4 f5+su(3)+7(g2+su(2))"	51	237	0	1	0	0	0	0	0	0	2
