"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
67	6	70	257	1	1	0	0	1	0	0	0
67	6	71	202	1	1	0	0	0	0	1	0
67	6	71	203	0	1	0	0	0	0	1	0
67	6	71	230	1	1	0	0	0	1	0	0
67	6	71	231	0	1	0	0	0	1	0	0
67	6	83	257	1	1	0	0	1	0	0	0
67	6	83	258	0	1	0	0	1	0	0	0
67	10	70	240	1	0	0	1	0	0	0	0
67	10	71	264	1	0	1	0	0	0	0	0
67	10	95	264	1	0	1	0	0	0	0	0
67	10	96	264	1	0	1	0	0	0	0	0
67	14	70	202	1	0	0	0	0	0	1	0
67	14	70	230	1	0	0	0	0	1	0	0
67	14	70	257	1	0	0	0	1	0	0	0
67	14	80	257	1	0	0	0	1	0	0	0
67	30	69	264	1	0	0	1	0	0	0	0
67	30	72	256	1	1	0	1	0	0	0	0
67	30	73	256	1	1	0	1	0	0	0	0
67	34	72	256	1	0	0	1	0	0	0	0
67	34	73	256	1	0	0	1	0	0	0	0
67	43	71	255	1	1	0	1	0	0	0	0
67	43	71	263	1	0	0	1	0	0	0	0
67	43	72	256	1	1	0	1	0	0	0	0
67	43	72	257	0	1	0	1	0	0	0	0
67	48	68	260	1	0	1	0	0	0	0	0
67	48	75	260	1	0	1	0	0	0	0	0
67	49	70	260	1	1	1	0	0	0	0	0
67	49	77	260	1	1	1	0	0	0	0	0
67	59	68	263	0	1	0	0	0	0	0	1
67	59	68	270	1	0	0	0	0	0	0	1
67	59	69	262	1	1	0	0	0	0	0	1
67	59	69	263	0	1	0	0	0	0	0	1
67	59	70	261	2	1	0	0	0	0	0	1
