"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"	"LST gauge algebra"
70	1	70	123	0	0	0	0	0	0	0	1	"s1:1→1"	""	"5 e8+6 f5+su(3)+11(g2+su(2))"
70	1	70	238	0	0	0	0	0	0	1	0	"s1:1→1"	""	"5 e8+6 f5+su(3)+11(g2+su(2))"
70	1	70	266	0	0	0	0	0	1	0	0	"s1:1→1"	""	"5 e8+6 f5+su(3)+11(g2+su(2))"
70	2	70	131	0	0	0	0	0	0	0	1	"s1:1→1"	""	"5 e8+6 f5+11(g2+su(2))"
70	2	70	246	0	0	0	0	0	0	1	0	"s1:1→1"	""	"5 e8+6 f5+11(g2+su(2))"
70	3	70	131	0	0	0	0	0	0	0	1	"s1:1→1"	""	"5 e8+6 f5+11(g2+su(2))"
70	3	70	246	0	0	0	0	0	0	1	0	"s1:1→1"	""	"5 e8+6 f5+11(g2+su(2))"
70	4	70	238	0	0	0	0	0	0	1	0	"s1:70→1"	""	"5 e8+6 f5+su(3)+11(g2+su(2))"
70	4	70	266	0	0	0	0	0	1	0	0	"s1:70→1"	""	"5 e8+6 f5+su(3)+11(g2+su(2))"
70	5	70	122	0	0	0	0	0	0	0	1	"s1:1→1"	""	"5 e8+6 f5+12(g2+su(2))"
70	5	70	237	0	0	0	0	0	0	1	0	"s1:1→1"	""	"5 e8+6 f5+12(g2+su(2))"
70	5	70	265	0	0	0	0	0	1	0	0	"s1:1→1"	""	"5 e8+6 f5+12(g2+su(2))"
70	6	70	242	0	0	0	0	1	0	0	0	"s1:1→1"	""	"5 e8+7 f5+2 su(3)+10(g2+su(2))"
70	6	70	268	0	0	0	1	0	0	0	0	"s1:1→1"	""	"5 e8+7 f5+2 su(3)+10(g2+su(2))"
70	7	70	241	0	0	0	0	1	0	0	0	"s1:1→1"	""	"5 e8+7 f5+su(3)+11(g2+su(2))"
70	7	70	267	0	0	0	1	0	0	0	0	"s1:1→1"	""	"5 e8+7 f5+su(3)+11(g2+su(2))"
70	8	70	246	0	0	0	1	0	0	0	0	"s1:1→1"	""	"5 e8+e7+5 f5+11(g2+su(2))"
70	8	70	270	0	0	1	0	0	0	0	0	"s1:1→1"	""	"5 e8+e7+5 f5+11(g2+su(2))"
70	9	70	246	0	0	0	1	0	0	0	0	"s1:1→1"	""	"5 e8+e7+5 f5+11(g2+su(2))"
70	9	70	270	0	0	1	0	0	0	0	0	"s1:1→1"	""	"5 e8+e7+5 f5+11(g2+su(2))"
70	12	70	131	0	0	0	1	0	0	0	0	"s1:70→1"	""	"6 e8+5 f5+11(g2+su(2))"
70	12	70	155	0	0	1	0	0	0	0	0	"s1:70→1"	""	"6 e8+5 f5+11(g2+su(2))"
70	12	70	175	0	1	0	0	0	0	0	0	"s1:70→1"	""	"6 e8+5 f5+11(g2+su(2))"
70	12	74	175	0	1	0	0	0	0	0	0	"{s1:70→2, s1:70→3, s1:70→4, s1:70→5}"	""	"6 e8+5 f5+11(g2+su(2))"
70	13	70	246	0	0	0	1	0	0	0	0	"s1:70→1"	""	"5 e8+e7+5 f5+11(g2+su(2))"
70	13	70	270	0	0	1	0	0	0	0	0	"s1:70→1"	""	"5 e8+e7+5 f5+11(g2+su(2))"
70	15	70	131	0	0	0	1	0	0	0	0	"s1:1→1"	""	"6 e8+5 f5+11(g2+su(2))"
70	15	70	155	0	0	1	0	0	0	0	0	"s1:1→1"	""	"6 e8+5 f5+11(g2+su(2))"
70	15	70	175	0	1	0	0	0	0	0	0	"s1:1→1"	""	"6 e8+5 f5+11(g2+su(2))"
70	15	74	175	0	1	0	0	0	0	0	0	"{s1:1→2, s1:1→3, s1:1→4, s1:1→5}"	""	"6 e8+5 f5+11(g2+su(2))"
70	16	70	246	0	0	0	1	0	0	0	0	"s1:1→1"	""	"5 e8+e7+5 f5+11(g2+su(2))"
70	16	70	270	0	0	1	0	0	0	0	0	"s1:1→1"	""	"5 e8+e7+5 f5+11(g2+su(2))"
70	17	70	246	0	0	0	1	0	0	0	0	"s1:1→1"	""	"5 e8+e7+5 f5+11(g2+su(2))"
70	17	70	270	0	0	1	0	0	0	0	0	"s1:1→1"	""	"5 e8+e7+5 f5+11(g2+su(2))"
70	24	70	174	1	0	0	0	0	0	0	0	""	"s1:70→1"	"6 e8+5 f5+su(3)+11(g2+su(2))"
