"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
73	12	79	116	0	2	0	0	0	0	0	1	"s1:73→1 / s2:2→1 / s3:1→1"	""
73	15	80	193	1	2	0	0	0	0	0	0	"s1:73→1 / s2:73→1"	"s3:72→1"
73	15	81	186	0	3	0	0	0	0	0	0	"s1:73→1 / s2:73→1 / s3:73→1"	""
73	15	81	193	1	2	0	0	0	0	0	0	"s1:73→1 / s2:73→1 / s3:73→1"	"s3:72→1"
73	15	81	200	2	1	0	0	0	0	0	0	"{s1:73→1 / s2:73→1, s1:73→1 / s2:73→1 / s3:73→1}"	"{s2:74→1 / s3:72→1, s2:74→1 / s3:72→1}"
73	15	82	193	1	2	0	0	0	0	0	0	"{s1:73→1 / s2:73→1 / s3:73→1, s1:73→1 / s2:73→2}"	"{s3:75→1, s3:72→1}"
73	15	82	199	2	1	0	0	0	0	0	0	"{s1:73→1 / s2:73→1 / s3:73→1, s1:73→1 / s2:73→1 / s3:73→2}"	"{s2:74→1 / s3:74→1, s2:74→1 / s3:74→1}"
73	15	82	200	2	1	0	0	0	0	0	0	"{s1:73→1 / s2:73→2, s1:73→1 / s2:73→3}"	"{s2:74→1 / s3:72→1, s2:74→1 / s3:72→1}"
73	15	83	200	2	1	0	0	0	0	0	0	"{s1:73→1 / s2:73→4, s1:73→1 / s2:73→5}"	"{s2:74→1 / s3:72→1, s2:74→1 / s3:72→1}"
73	29	80	193	1	2	0	0	0	0	0	0	"s1:73→1 / s2:73→1"	"s3:72→1"
73	29	81	186	0	3	0	0	0	0	0	0	"s1:73→1 / s2:73→1 / s3:73→1"	""
73	29	81	193	1	2	0	0	0	0	0	0	"s1:73→1 / s2:73→1 / s3:73→1"	"s3:72→1"
73	29	81	200	2	1	0	0	0	0	0	0	"{s1:73→1 / s2:73→1, s1:73→1 / s2:73→1 / s3:73→1}"	"{s2:74→1 / s3:72→1, s2:74→1 / s3:72→1}"
73	29	82	193	1	2	0	0	0	0	0	0	"{s1:73→1 / s2:73→1 / s3:73→1, s1:73→1 / s2:73→2}"	"{s3:75→1, s3:72→1}"
73	29	82	199	2	1	0	0	0	0	0	0	"{s1:73→1 / s2:73→1 / s3:73→1, s1:73→1 / s2:73→1 / s3:73→2}"	"{s2:74→1 / s3:74→1, s2:74→1 / s3:74→1}"
73	29	82	200	2	1	0	0	0	0	0	0	"{s1:73→1 / s2:73→2, s1:73→1 / s2:73→3}"	"{s2:74→1 / s3:72→1, s2:74→1 / s3:72→1}"
73	29	83	200	2	1	0	0	0	0	0	0	"{s1:73→1 / s2:73→4, s1:73→1 / s2:73→5}"	"{s2:74→1 / s3:72→1, s2:74→1 / s3:72→1}"
