T,hat1m1,hat1m2,su8,so16n2
2,2,0,0,0
3,23,2,0,2
4,105,1,0,1
5,259,0,5,0
6,353,0,2,0
7,247,0,2,0
8,130,0,0,0
9,81,0,0,0
10,68,0,0,0
11,67,0,0,0
12,69,0,0,0
13,48,0,0,0
14,41,0,0,0
15,22,0,0,0
16,27,0,0,0
17,25,0,0,0
18,24,0,0,0
19,17,0,0,0
20,14,0,0,0
21,6,0,0,0
22,9,0,0,0
23,7,0,0,0
24,12,0,0,0
25,9,0,0,0
26,5,0,0,0
27,4,0,0,0
28,5,0,0,0
29,6,0,0,0
30,3,0,0,0
31,1,0,0,0
32,2,0,0,0
33,1,0,0,0
34,6,0,0,0
35,4,0,0,0
36,1,0,0,0
37,1,0,0,0
38,2,0,0,0
39,2,0,0,0
40,1,0,0,0
41,1,0,0,0
42,2,0,0,0
48,1,0,0,0
49,3,0,0,0
50,3,0,0,0
51,1,0,0,0
54,1,0,0,0
61,1,0,0,0
62,1,0,0,0
66,1,0,0,0
