external,T,n_blocks
hat1m1,2,2
hat1m1,3,23
hat1m1,4,105
hat1m1,5,259
hat1m1,6,353
hat1m1,7,247
hat1m1,8,130
hat1m1,9,81
hat1m1,10,68
hat1m1,11,67
hat1m1,12,69
hat1m1,13,48
hat1m1,14,41
hat1m1,15,22
hat1m1,16,27
hat1m1,17,25
hat1m1,18,24
hat1m1,19,17
hat1m1,20,14
hat1m1,21,6
hat1m1,22,9
hat1m1,23,7
hat1m1,24,12
hat1m1,25,9
hat1m1,26,5
hat1m1,27,4
hat1m1,28,5
hat1m1,29,6
hat1m1,30,3
hat1m1,31,1
hat1m1,32,2
hat1m1,33,1
hat1m1,34,6
hat1m1,35,4
hat1m1,36,1
hat1m1,37,1
hat1m1,38,2
hat1m1,39,2
hat1m1,40,1
hat1m1,41,1
hat1m1,42,2
hat1m1,48,1
hat1m1,49,3
hat1m1,50,3
hat1m1,51,1
hat1m1,54,1
hat1m1,61,1
hat1m1,62,1
hat1m1,66,1
hat1m2,3,2
hat1m2,4,5
hat1m2,5,12
hat1m2,6,10
hat1m2,7,13
hat1m2,8,23
hat1m2,9,32
hat1m2,10,44
hat1m2,11,49
hat1m2,12,52
hat1m2,13,60
hat1m2,14,47
hat1m2,15,60
hat1m2,16,80
hat1m2,17,57
hat1m2,18,48
hat1m2,19,44
hat1m2,20,36
hat1m2,21,48
hat1m2,22,37
hat1m2,23,24
hat1m2,24,22
hat1m2,25,37
hat1m2,26,24
hat1m2,27,20
hat1m2,28,25
hat1m2,29,12
hat1m2,30,16
hat1m2,31,21
hat1m2,32,19
hat1m2,33,14
hat1m2,34,8
hat1m2,35,8
hat1m2,36,14
hat1m2,37,14
hat1m2,38,9
hat1m2,39,5
hat1m2,40,6
hat1m2,41,8
hat1m2,42,5
hat1m2,43,12
hat1m2,44,3
hat1m2,45,1
hat1m2,46,1
hat1m2,47,16
hat1m2,48,3
hat1m2,49,7
hat1m2,50,5
hat1m2,51,2
hat1m2,52,3
hat1m2,53,2
hat1m2,54,8
hat1m2,55,2
hat1m2,58,10
hat1m2,59,2
hat1m2,60,2
hat1m2,62,1
hat1m2,63,2
hat1m2,64,2
hat1m2,65,5
hat1m2,69,6
hat1m2,76,1
hat1m2,80,1
hat1m2,87,1
hat1m2,91,1
su8,5,5
su8,6,2
su8,7,2
so16n2,3,2
so16n2,4,1
