co_occurring_gauge_combo,n_blocks
(none),157
e7,80
e8,76
su2,64
2,50
nhc_2_3+su2,45
e7p,44
nhc_2_3+su2+su2,40
e6,39
su2+su2+su2+su3,38
e8+su2,31
su2+su2+su3,30
su2+su2+su2+su2+su3,28
e7+su2,27
su2+su2+su2+su2+su2,27
nhc_2_3_2+su2,27
nhc_2_3+su2+su3,26
2+e7,25
su2+su2+su2+su2,25
nhc_2_2_3+su2+su2,25
su2+su3,24
su2+su3+su3,24
2+e8,23
su2n3,23
f4,22
su2+su2,22
su2+su2+su3+su3,22
nhc_2_3+su2+su2+su2,22
e6+su2,21
su2+su2+su2,21
nhc_2_2_3+su2+su3,21
f4+su2,19
su2+su2+su2+su2+su2+su2,19
e7p+su2,18
nhc_2_3+su3,18
nhc_2_2_3+su2,18
so8+su2,17
nhc_2_2_3+su2+su2+su2,17
nhc_2_3,16
so8+su2+su2,16
2+e7p,13
su3,12
2+e6,12
su2+su2+su2+su3+su3,12
nhc_2_3_2,12
so8+su2+su2+su2,12
so8,11
f4+su2+su2,11
so8+su2+su3,11
nhc_2_3_2+su2+su2,11
su2+su2+su2+su2+su2+su3,10
nhc_2_2_3+su3,9
su2+su3+su3+su3,9
su2+su2+su2+su2+su2+su2+su2,9
su2n3+su2n3,8
su3n2,8
nhc_2_3_2+su3,8
nhc_2_2_3,7
nhc_2_3+so8,7
nhc_2_2_3+nhc_2_3,7
nhc_2_3+su2+su2+su3,7
nhc_2_2_3+su2+su2+su3,7
2+f4,6
e8+su2n3,6
e6+su2+su2,6
e7+su2n3,5
so8+so8,5
nhc_2_2_3+so8,5
nhc_2_3+nhc_2_3,5
nhc_2_3+su2+su2+su2+su2,5
su2n3mix,4
f4+su3,4
e6+su3,4
su3+su3,4
so8+su3,4
nhc_2_3+su3+su3,4
nhc_2_2_3+su2+su2+su2+su2,4
so8+su2+su2+su3,4
su2+su2+su3+su3+su3,4
nhc_2_2_3+su3+su3,4
2+su3,3
e6+su2n3,3
e7p+su2n3,3
2+2,3
2+so8,3
so8+su2+su3n2,3
hat1m1+su2,3
e6+su3n2,3
so8+su3n2,3
su2+su3n2,3
f4+su3n2,3
su3+su3+su3,3
f4+nhc_2_3,3
su3+su3n2,3
so8+su2+su2+su2+su2,3
su2+su2+su2+su2+su3+su3,3
su2+su2+su2+su2+su2+su2+su3,3
2+su2n3,3
su2+su2n3,2
su3n2mix,2
f4+su2+su3,2
e7p+su2+su2,2
so8+so8+su2,2
e7+su2+su2,2
e6+su2+su3,2
so8+su3+su3,2
f4+su2+su3n2,2
hat1m1,2
su2+su3+su3n2,2
f4+su2+su2+su2,2
nhc_2_3+su2+su2+su2+su3,2
nhc_2_3+su2+su3+su3,2
su2+su2+su2+su2+su2+su2+su2+su2,2
nhc_2_3+nhc_2_3+su2,2
nhc_2_3+so8+su2,2
nhc_2_3_2+su2+su3,2
e7+su2n3mix,1
2+2+su3,1
su2n3+su2n3mix,1
e7p+su3,1
e7+su3,1
f4+su2n3,1
su3+su3+su3n2,1
su3+su3+su3n2mix,1
so8+su3n2mix,1
so8+su3+su3n2,1
su3+su3+su3+su3n2,1
su2+su3n2mix,1
su3+su3n2mix,1
so8+su2+su2+su2+su3,1
e6+su2+su2+su2,1
so8+su2+su2+su2+su2+su2,1
hat1m1+su2+su2,1
su2+su2+su2+su2+su2+su3+su3,1
nhc_2_3+su2+su2+su2+su2+su2,1
so8+su2+su3+su3,1
su2+su2+su2+su3+su3+su3,1
su2+su3+su3+su3+su3,1
nhc_2_3_2+su2+su2+su2,1
su3+su3+su3+su3,1
nhc_2_3+su3n2,1
2+su2n3+su2n3,1
so8+su2n3,1
2+f4+su3,1
2+so8+su3,1
2+so8+so8,1
2+su3n2,1
