combo,T_H,n_blocks,frozen_tags
2+2+hat1m1,6,1,hat1m1
2+2+hat1m1,8,1,hat1m1
2+2+hat1m1,9,1,hat1m1
2+2+hat1m1+su3,9,1,hat1m1
2+e6+hat1m1,5,1,hat1m1
2+e6+hat1m1,6,1,hat1m1
2+e6+hat1m1,7,2,hat1m1
2+e6+hat1m1,8,2,hat1m1
2+e6+hat1m1,9,3,hat1m1
2+e6+hat1m1,11,1,hat1m1
2+e6+hat1m1,12,2,hat1m1
2+e7+hat1m1,6,1,hat1m1
2+e7+hat1m1,7,1,hat1m1
2+e7+hat1m1,8,1,hat1m1
2+e7+hat1m1,9,3,hat1m1
2+e7+hat1m1,10,2,hat1m1
2+e7+hat1m1,11,1,hat1m1
2+e7+hat1m1,12,2,hat1m1
2+e7+hat1m1,13,2,hat1m1
2+e7+hat1m1,14,1,hat1m1
2+e7+hat1m1,15,2,hat1m1
2+e7+hat1m1,16,1,hat1m1
2+e7+hat1m1,17,1,hat1m1
2+e7+hat1m1,18,1,hat1m1
2+e7+hat1m1,20,1,hat1m1
2+e7+hat1m1,21,1,hat1m1
2+e7+hat1m1,22,2,hat1m1
2+e7+hat1m1,27,1,hat1m1
2+e7+hat1m1,32,1,hat1m1
2+e7p+hat1m1,6,1,hat1m1
2+e7p+hat1m1,7,1,hat1m1
2+e7p+hat1m1,8,1,hat1m1
2+e7p+hat1m1,9,3,hat1m1
2+e7p+hat1m1,10,2,hat1m1
2+e7p+hat1m1,12,1,hat1m1
2+e7p+hat1m1,13,1,hat1m1
2+e7p+hat1m1,14,1,hat1m1
2+e7p+hat1m1,15,2,hat1m1
2+e8+hat1m1,7,1,hat1m1
2+e8+hat1m1,9,1,hat1m1
2+e8+hat1m1,10,1,hat1m1
2+e8+hat1m1,11,1,hat1m1
2+e8+hat1m1,13,2,hat1m1
2+e8+hat1m1,15,1,hat1m1
2+e8+hat1m1,17,2,hat1m1
2+e8+hat1m1,19,2,hat1m1
2+e8+hat1m1,21,1,hat1m1
2+e8+hat1m1,23,2,hat1m1
