T_H,n_bases
1,330323
2,169149
3,910246
4,1623870
5,1592436
6,1049421
7,919722
8,747288
9,441139
10,371604
11,276594
12,240222
13,153411
14,104035
15,93553
16,102868
17,79244
18,59006
19,42180
20,39976
21,39643
22,30545
23,25670
24,20134
25,17870
26,15168
27,13677
28,12813
29,10009
30,8697
31,7807
32,8283
33,7317
34,4866
35,4213
36,4072
37,4776
38,3569
39,2986
40,2767
41,2741
42,3046
43,2912
44,2244
45,2504
46,2070
47,2388
48,2480
49,1824
50,1236
51,1431
52,1280
53,919
54,935
55,745
56,847
57,1141
58,984
59,935
60,685
61,623
62,433
63,507
64,383
65,181
66,123
67,190
68,250
69,367
70,318
71,173
72,189
73,221
74,148
75,190
76,64
77,39
78,48
79,131
80,162
81,207
82,73
83,85
84,127
85,80
86,78
87,39
88,27
89,17
90,31
91,78
92,50
93,41
94,31
95,41
96,45
97,17
98,18
99,13
100,13
101,3
102,7
103,10
104,11
105,14
106,9
107,12
108,15
109,11
110,10
111,8
112,7
113,1
114,5
115,8
116,7
117,11
118,6
119,7
120,11
121,8
122,7
123,3
124,4
126,5
127,4
128,3
129,3
130,2
131,3
132,3
133,2
135,1
136,3
139,1
142,1
143,2
144,2
145,1
148,2
155,1
156,1
160,1
168,1
180,1
192,1
