T,n_bases,max_total_rank
2,50,8
3,1117,16
4,10327,17
5,57358,19
6,242518,21
7,726835,23
8,1431663,26
9,1814749,30
10,1558484,31
11,1059762,33
12,694135,36
13,467348,39
14,331214,41
15,248928,43
16,175572,45
17,121440,48
18,99755,49
19,93811,51
20,79365,53
21,59410,57
22,45453,58
23,38857,58
24,34573,61
25,30121,65
26,23949,65
27,19616,70
28,16611,70
29,14554,71
30,12952,71
31,11215,75
32,9851,75
33,8732,82
34,7885,82
35,6967,83
36,5846,83
37,5044,86
38,4648,85
39,4131,87
40,3794,88
41,3217,88
42,3009,91
43,3070,94
44,2820,94
45,2627,100
46,2640,100
47,2491,102
48,2162,103
49,2296,103
50,2148,112
51,1972,112
52,1845,110
53,1470,114
54,1182,115
55,1097,117
56,924,118
57,885,122
58,1119,122
59,878,127
60,815,127
61,789,127
62,751,130
63,568,134
64,521,134
65,355,139
66,288,139
67,192,139
68,162,139
69,227,144
70,236,144
71,282,151
72,259,151
73,236,151
74,260,152
75,197,152
76,140,156
77,105,157
78,105,157
79,98,160
80,70,164
81,91,162
82,115,169
83,156,169
84,160,169
85,119,138
86,119,174
87,76,148
88,53,181
89,41,181
90,38,149
91,40,150
92,33,151
93,47,155
94,55,187
95,49,150
96,45,154
97,42,156
98,24,160
99,19,162
100,13,199
101,13,162
102,9,168
103,9,168
104,6,169
105,12,211
106,13,174
107,11,168
108,11,170
109,13,174
110,14,171
111,11,178
112,8,180
113,6,180
114,5,186
115,4,170
116,7,176
117,7,192
118,12,192
119,5,186
120,6,185
121,11,188
122,9,191
123,9,193
124,2,198
125,2,196
126,3,199
127,5,191
128,3,195
129,4,210
130,3,203
131,1,201
132,2,204
133,3,205
134,3,209
135,1,211
136,1,212
137,1,216
138,2,217
140,1,213
143,1,221
144,1,223
145,2,223
146,2,229
149,1,235
150,1,235
156,1,241
158,1,242
161,1,253
170,1,260
182,1,278
193,1,296
