T_H,combo,n_objects,n_su2,n_su3,n_su2n3type,verdict
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,12,12,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,11,11,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,11,11,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,11,11,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,11,11,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,11,11,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,11,11,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,11,11,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,11,11,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,11,11,0,0,INVALID
1,e6+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,11,10,0,0,INVALID
1,f4+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,11,10,0,0,INVALID
1,so8+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,11,10,0,0,INVALID
1,so8+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,11,10,0,0,INVALID
1,so8+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,11,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,11,10,1,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,11,10,1,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,11,10,1,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,11,10,1,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,11,10,1,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,10,0,0,INVALID
1,e6+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,e6+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,e6+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,e6+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,e6+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,e7+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,e7p+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,f4+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,f4+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,f4+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,f4+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,nhc_2_2_3+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,nhc_2_3+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,nhc_2_3+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,nhc_2_3+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,nhc_2_3+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,nhc_2_3+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,so8+su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,11,9,1,0,INVALID
1,so8+su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,11,9,1,0,INVALID
1,so8+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,so8+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,so8+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,so8+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,so8+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,so8+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,so8+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,so8+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,so8+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,so8+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,so8+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,so8+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,so8+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,so8+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,so8+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,so8+su2+su2+su2+su2+su2+su2+su2+su2+su2,10,9,0,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su3+su3,11,9,2,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su3+su3,11,9,2,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su3+su3,11,9,2,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su3+su3,11,9,2,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su3+su3,11,9,2,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,10,9,1,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,10,9,1,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,10,9,1,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,10,9,1,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,10,9,1,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,10,9,1,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,10,9,1,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,10,9,1,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,10,9,1,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,10,9,1,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,10,9,1,0,INVALID
1,su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,10,9,1,0,INVALID
