LST_type,T_H,LST_id,n_bases
DM:A(10),9,-10,464
DM:A(11),10,-11,312
DM:A(12),11,-12,241
DM:A(13),12,-13,209
DM:A(14),13,-14,33
DM:A(15),14,-15,17
DM:A(16),15,-16,12
DM:A(17),16,-17,10
DM:A(18),17,-18,5
DM:A(19),18,-19,4
DM:A(2),1,-2,329515
DM:A(20),19,-20,3
DM:A(21),20,-21,2
DM:A(22),21,-22,1
DM:A(23),22,-23,1
DM:A(24),23,-24,1
DM:A(25),24,-25,1
DM:A(3),2,-3,167949
DM:A(4),3,-4,79024
DM:A(5),4,-5,19530
DM:A(6),5,-6,11001
DM:A(7),6,-7,3661
DM:A(8),7,-8,1852
DM:A(9),8,-9,1412
DM:D(10),9,-1010,45
DM:D(11),10,-1011,16
DM:D(12),11,-1012,9
DM:D(13),12,-1013,4
DM:D(14),13,-1014,2
DM:D(15),14,-1015,1
DM:D(16),15,-1016,1
DM:D(17),16,-1017,1
DM:D(3),2,-1003,777
DM:D(4),3,-1004,196
DM:D(5),4,-1005,197
DM:D(6),5,-1006,194
DM:D(7),6,-1007,136
DM:D(8),7,-1008,80
DM:D(9),8,-1009,78
N1,4,10340,113401
N1,4,10527,36486
N1,4,10861,2364
N1,4,10883,1362
N1,4,11248,21
N1,5,10523,500139
N1,5,10528,3830
N1,5,10856,60264
N1,5,10862,23438
N1,5,10866,12156
N1,5,10873,32999
N1,5,10882,729
N1,5,11244,1158
N1,5,11245,416
N1,5,11247,1090
N1,5,11249,454
N1,5,11250,129
N1,6,10346,1679
N1,6,10353,2108
N1,6,10524,210773
N1,6,10526,688
N1,6,10533,212
N1,6,10562,977
N1,6,10582,277
N1,6,10857,19455
N1,6,10867,4817
N1,6,10869,199839
N1,6,10877,15279
N1,6,10881,39
N1,6,10892,44
N1,6,10964,56
N1,6,10975,89
N1,6,11264,6
N1,7,10341,34739
N1,7,10347,9849
N1,7,10351,22839
N1,7,10352,283
N1,7,10356,68
N1,7,10361,19
N1,7,10370,113
N1,7,10371,61
N1,7,10525,33915
N1,7,10529,8393
N1,7,10534,6527
N1,7,10535,1626
N1,7,10539,2809
N1,7,10549,5818
N1,7,10553,20209
N1,7,10557,43
N1,7,10558,241
N1,7,10563,4858
N1,7,10574,3175
N1,7,10580,72
N1,7,10584,12
N1,7,10593,12
N1,7,10614,26
N1,7,10620,41
N1,7,10624,50
N1,7,10863,5917
N1,7,10864,428
N1,7,10865,3389
N1,7,10868,21673
N1,7,10870,137292
N1,7,10872,904
N1,7,10880,3072
N1,7,10884,229
N1,7,10885,1470
N1,7,10886,57
N1,7,10890,1443
N1,7,10891,797
N1,7,10893,101
N1,7,10908,272
N1,7,10924,2738
N1,7,10928,1949
N1,7,10953,44
N1,7,10965,1356
N1,7,10966,335
N1,7,10970,628
N1,7,10976,595
N1,7,10993,7
N1,7,11038,10
N1,7,11046,12
N1,7,11251,425
N1,7,11255,315
N1,7,11256,58
N1,7,11257,117
N1,7,11259,217
N1,7,11260,1388
N1,7,11262,99
N1,7,11263,36
N1,7,11275,3
N1,8,10342,13501
N1,8,10350,66647
N1,8,10355,634
N1,8,10357,922
N1,8,10362,749
N1,8,10364,397
N1,8,10367,3153
N1,8,10369,34
N1,8,10377,19
N1,8,10398,50
N1,8,10404,80
N1,8,10408,148
