LSTGauge,n_bases
su3,829972
g2+su2,827904
(none),616997
su3+su3,565003
g2+su2+su3,547541
so8+su3,533138
g2+so8+su2,298472
so8+so8+su3,249810
so8+su3+su3,227107
g2+sp1,207888
so7+su2+su2,199883
f4+su3+su3,177754
f4+g2+su2+su3,160174
so8,153634
g2+so8+su2+su3,139633
so8+so8,130819
f4+g2+su2,121706
e6+g2+su2+su3,119575
f4+su3,117964
g2+g2+su2+su2,107311
e6+su3+su3,100102
g2+sp1+su3,99346
e7+g2+g2+su2+su2,80153
so8+so8+so8,70919
so8+so8+su3+su3,58555
e6+g2+su2,57686
e6+su3+su3+su3,55130
e6+so8+su3+su3,51284
e6+f4+su3+su3,50640
g2+so8+so8+su2,47980
e7+g2+so7+su2+su2+su2,45713
so8+so8+so8+su3,42449
e6+f4+g2+su2+su3,40340
g2+so8+sp1,38206
e7+g2+g2+sp1+su2,37328
e6+g2+so8+su2+su3,33971
e7+g2+g2+so8+su2+su2,32907
e6+su3,32104
e6+e6+su3+su3+su3,31929
f4+g2+g2+su2+su2,31581
e7+f4+g2+g2+su2+su2,29906
f4+so8+su3+su3,28593
e6+so7+su2+su2+su3,28155
e6+so7+su2+su2,26842
f4+g2+sp1+su3,26644
g2+g2+sp1+su2,26022
so7+so8+su2+su2,25415
f4+so8+su3,25062
e6+f4+su3+su3+su3,24832
e6+g2+g2+su2+su2,24685
e6+e7+g2+so7+su2+su2+su2,24228
e6+e6+su3+su3,23842
f4,22946
e7+f4+g2+g2+sp1+su2,22703
e6+e6+g2+su2+su3+su3,21418
f4+g2+sp1,21324
f4+so7+su2+su2,21056
e6+f4+g2+su2+su3+su3,20863
f4+f4+su3+su3,20581
f4+g2+g2+sp1+su2,20529
g2+so8+sp1+su3,20185
e7+f4+g2+so7+su2+su2+su2,19361
e7+f4+g2+g2+su2+su2+su3,19210
e6+g2+su2+su3+su3,19051
e7+g2+g2+su2+su2+su3,18849
g2+so8+so8+su2+su3,18681
f4+so7+su2+su2+su3,16910
e6+f4+su3,16767
e7+g2+su2,15791
e7+g2+g2+so8+sp1+su2,15292
g2+g2+so8+su2+su2,15270
so7+su2+su2+su3,14474
e6+e6+g2+su2+su3,14173
f4+su3+su3+su3,13594
e6+g2+so7+su2+su2+su2,13403
e6+e6+e6+su3+su3+su3,12926
e6+so8+so8+su3+su3,12615
e6+e7+g2+so7+su2+su2+su2+su3,12521
e7+g2+so7+so8+su2+su2+su2,11806
e6+e6+so8+su3+su3+su3,11677
e6+so8+su3,11531
e8+f4+g2+g2+sp1+sp1+su3,11389
e6+g2+sp1+su3,11345
f4+f4+su3,10626
g2+so8+so8+sp1,10525
e7+so7+su2+su2,10404
e6+g2+sp1,10342
e6+g2+so8+su2,10312
e6+e6+su3+su3+su3+su3,10249
e7+e7+g2+g2+so7+su2+su2+su2+su2,10039
e6+e6+f4+su3+su3+su3,9815
e6+e6+so7+su2+su2+su3,9671
e7+g2+g2+so8+so8+su2+su2,9661
e7+e7+g2+so7+su2+su2+su2,9582
e7+e7+g2+so7+so7+su2+su2+su2+su2+su2,9568
f4+f4+g2+su2+su3,9448
e6+f4+g2+su2,9445
e6+so8+su3+su3+su3,9211
e7+so7+so7+su2+su2+su2+su2,9184
g2+g2+so8+sp1+su2,9102
g2+so8+so8+sp1+su3,9101
g2+so8+so8+so8+su2,9052
f4+g2+so8+su2+su3,9025
e8+f4+g2+g2+sp1+sp1,8969
e6+e6+so8+su3+su3,8933
e8+g2+g2+g2+sp1+sp1+sp1,8910
e6+f4+so8+su3+su3,8895
e7+g2+so7+sp1+su2+su2,8748
e7+g2+so7+su2+su2+su2+su3,8693
e7+f4+g2+so7+su2+su2+su2+su3,8525
f4+f4+su3+su3+su3,8515
e7+g2+g2+sp1+su2+su3,8427
e6+e6+f4+su3+su3,8153
e7+f4+g2+su2+su3,8010
e6+e6+so7+su2+su2+su3+su3,7778
e6+e6+e6+su3+su3+su3+su3,7700
so8+so8+so8+so8,7658
e7+f4+g2+g2+sp1+su2+su3,7627
g2+so8+so8+so8+su2+su3,7606
f4+g2+so8+su2,7522
f4+g2+su2+su3+su3,7368
e7+f4+g2+sp1+su3,7308
so8+so8+so8+su3+su3,7218
e6+e6+e6+su3+su3,7182
e7+g2+sp1,6974
e6+f4+so7+su2+su2+su3,6662
e7+f4+g2+sp1,6537
e6+f4+g2+sp1+su3,6431
e7+f4+g2+su2,6391
e6+e7+so7+so7+su2+su2+su2+su2,6383
e7+e7+f4+g2+g2+so7+su2+su2+su2+su2,6338
f4+f4+g2+su2,6314
e7+e7+e7+g2+so7+so7+su2+su2+su2+su2+su2,6295
e7+g2+g2+so8+su2+su2+su3,6202
e8+f4+f4+g2+g2+sp1+sp1+su3,6201
e7+e7+e7+g2+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2,6124
e6+so8+so8+su3,6006
e6+e6+e7+g2+so7+su2+su2+su2+su3,5952
su3+su3+su3,5917
e6+so7+so8+su2+su2+su3,5830
e7+f4+g2+g2+so8+su2+su2,5748
g2+g2+so8+so8+su2+su2,5709
e7+f4+g2+so7+sp1+su2+su2,5560
e6,5448
g2+so8+so8+so8+sp1,5416
e6+e7+e7+g2+so7+so7+su2+su2+su2+su2+su2,5396
e6+e7+f4+g2+so7+su2+su2+su2+su3,5343
e7+g2+su2+su3,5270
e6+e7+g2+so7+so8+su2+su2+su2,5163
e6+e6+g2+g2+su2+su2+su3,5132
e6+e7+f4+g2+so7+su2+su2+su2,5055
f4+g2+g2+sp1+sp1,5037
e6+e7+g2+so7+sp1+su2+su2,4997
e8+g2+g2+sp1+sp1,4984
e7+f4+g2+g2+g2+sp1+su2+su2,4856
e8+g2+g2+so8+so8+so8+so8+sp1+sp1,4847
e8+f4+f4+g2+g2+sp1+sp1,4783
so8+so8+so8+so8+su3,4534
e8+g2+g2+so8+sp1+sp1,4516
g2+so8+so8+so8+sp1+su3,4446
e7+e7+f4+g2+so7+so7+su2+su2+su2+su2+su2,4438
e7+e7+g2+g2+so7+sp1+su2+su2+su2,4413
e6+e6+f4+g2+su2+su3+su3,4374
e8+f4+g2+g2+so8+sp1+sp1+su3,4346
e6+f4+so7+su2+su2,4343
g2+g2+so8+so8+sp1+su2,4308
f4+g2+so7+su2+su2+su2,4189
g2+so8+so8+so8+so8+su2,4178
g2+g2+sp1+sp1,4129
e7+g2+so8+su2,4050
e8+f4+g2+g2+so8+so8+sp1+sp1+su3,4020
e8+g2+g2+so8+so8+so8+sp1+sp1,3994
e7+e7+g2+g2+so7+su2+su2+su2+su2+su3,3991
e6+e7+so7+so7+su2+su2+su2+su2+su3,3907
e7+e7+so7+so7+so7+su2+su2+su2+su2+su2+su2,3906
e8+g2+g2+so8+so8+so8+sp1+sp1+su3,3893
e6+f4+f4+su3+su3,3882
e6+e6+so7+su2+su2,3881
e6+so7+su2+su2+su3+su3,3839
e6+f4+g2+sp1,3787
e7+e7+g2+g2+so7+so8+su2+su2+su2+su2,3729
e7+f4+g2+g2+g2+su2+su2+su2,3674
e8+f4+g2+g2+so8+sp1+sp1,3617
e6+e6+f4+su3+su3+su3+su3,3553
e7+f4+so7+so7+su2+su2+su2+su2,3552
e6+f4+g2+sp1+su3+su3,3527
e6+e6+g2+so8+su2+su3+su3,3520
e7+f4+g2+g2+so7+sp1+su2+su2+su2,3470
e6+e7+f4+g2+g2+su2+su2+su3,3469
e6+e7+so7+su2+su2+su3,3429
f4+g2+so8+sp1+su3,3405
e8+g2+g2+so8+so8+sp1+sp1,3386
e7+f4+f4+g2+g2+su2+su2+su3,3373
e8+g2+g2+sp1+sp1+su3,3352
e8+f4+f4+g2+g2+g2+sp1+sp1+su2,3342
e7+f4+g2+g2+so7+su2+su2+su2+su2,3341
e7+f4+g2+so7+so8+su2+su2+su2,3312
e8+f4+g2+g2+g2+sp1+sp1+su2,3300
e6+f4+so8+su3+su3+su3,3292
e8+f4+g2+g2+so8+so8+sp1+sp1,3224
e6+f4+g2+g2+su2+su2+su3,3213
e7+g2+g2+sp1+sp1,3118
e6+e7+so7+su2+su2,3092
e8+g2+g2+so8+so8+sp1+sp1+su3,3039
e8+f4+f4+g2+g2+g2+sp1+sp1+su2+su3,3028
g2+g2+so8+so8+so8+su2+su2,3026
e7+e7+e7+e7+g2+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2,3023
e6+e7+f4+so7+so7+su2+su2+su2+su2,3004
e7+f4+so7+su2+su2,2980
e8+f4+g2+g2+so8+so8+so8+sp1+sp1,2968
e6+e6+g2+su2+su3+su3+su3,2961
e7+e7+f4+g2+g2+so7+sp1+su2+su2+su2,2949
e6+e6+f4+g2+su2+su3+su3+su3,2940
e6+e6+su3,2934
f4+f4+g2+sp1+su3,2929
e6+e6+g2+so7+su2+su2+su2+su3,2929
e7+f4+f4+g2+g2+su2+su2,2857
e7+g2+g2+g2+su2+su2+su2,2849
e7+g2+so8+sp1,2824
e6+e6+e7+so7+so7+su2+su2+su2+su2,2822
f4+g2+so7+sp1+su2+su2,2818
e6+f4+g2+g2+su2+su2,2801
e7+f4+f4+g2+so7+su2+su2+su2,2799
e6+e6+e6+so7+su2+su2+su3+su3+su3,2791
e6+f4+f4+su3+su3+su3,2765
e6+f4+su3+su3+su3+su3,2764
e7+e7+so7+so7+su2+su2+su2+su2,2758
e8+f4+g2+g2+sp1+sp1+su3+su3,2747
g2+so8+so8+so8+so8+sp1,2745
e7+e7+f4+g2+so7+su2+su2+su2,2738
e7+e7+e7+g2+g2+so7+so7+su2+su2+su2+su2+su2+su2,2735
e6+e8+f4+f4+g2+g2+sp1+sp1+su3+su3,2716
e6+f4+g2+g2+sp1+su2+su3,2709
e8+f4+f4+g2+g2+sp1+sp1+su3+su3,2706
e6+e6+e6+g2+su2+su3+su3+su3,2692
f4+so8+so8+su3,2680
g2+so8+so8+so8+so8+su2+su3,2660
e6+e7+e7+so7+so7+su2+su2+su2+su2,2654
e6+e6+e6+e6+su3+su3+su3+su3,2650
e7+e7+e7+so7+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2,2640
e6+e7+e7+so7+so7+so7+su2+su2+su2+su2+su2+su2,2485
f4+f4+g2+su2+su3+su3,2466
e7+g2+so7+so8+sp1+su2+su2,2448
e7+e7+g2+so7+so7+so8+su2+su2+su2+su2+su2,2444
e7+g2+sp1+su3,2436
e6+e6+e8+f4+f4+g2+g2+sp1+sp1+su3+su3,2424
e8+f4+g2+g2+g2+so8+sp1+sp1+su2,2422
e7+e7+f4+g2+so7+so7+su2+su2+su2+su2+su2+su3,2397
e8+g2+g2+so8+sp1+sp1+su3,2342
e7+e7+g2+so7+so8+su2+su2+su2,2327
e6+e6+e7+so7+so7+su2+su2+su2+su2+su3,2320
e7+f4+g2+g2+so8+su2+su2+su3,2319
e6+f4+g2+g2+sp1+su2,2284
e6+e7+g2+so7+so8+su2+su2+su2+su3,2283
g2+so8+so8+so8+so8+sp1+su3,2271
e7+e7+g2+so7+sp1+su2+su2,2265
e7+g2+so8+so8+su2,2255
e6+g2+so8+sp1,2229
e7+e8+f4+f4+g2+g2+g2+g2+sp1+sp1+su2+su2,2221
e7+e7+g2+so7+so7+sp1+su2+su2+su2+su2,2208
e8+f4+g2+g2+g2+sp1+sp1+sp1,2192
e7+f4+g2+g2+su2+su2+su3+su3,2171
e6+e6+e6+so7+su2+su2+su3+su3,2168
f4+g2+sp1+su3+su3,2162
e8+f4+g2+g2+g2+sp1+sp1+su2+su3,2155
e6+f4+so7+su2+su2+su3+su3,2104
g2+g2+so8+so8+so8+sp1+su2,2094
e7+f4+g2+g2+g2+sp1+sp1+su2,2093
e7+e7+f4+g2+g2+g2+so7+su2+su2+su2+su2+su2,2068
e7+g2+so7+so8+so8+su2+su2+su2,2034
e7+e7+e7+so7+so7+so7+su2+su2+su2+su2+su2+su2,2017
e6+e8+f4+f4+g2+g2+sp1+sp1+su3,2001
e6+e6+e7+so7+su2+su2+su3+su3,1991
e6+e8+f4+f4+g2+g2+g2+sp1+sp1+su2+su3,1986
e6+e6+e7+so7+su2+su2+su3,1975
e6+e6+e6+e6+su3+su3+su3,1958
e6+e6+f4+g2+su2+su3,1949
e7+e7+f4+g2+g2+g2+su2+su2+su2,1921
e6+so7+so7+su2+su2+su2+su2,1919
so8+so8+so8+so8+su3+su3,1912
e7+e7+g2+so7+so7+su2+su2+su2+su2+su2+su3,1896
e7+e7+f4+g2+g2+g2+sp1+su2+su2,1895
e6+e7+g2+so7+su2+su2+su2+su3+su3,1879
e7+g2+g2+so7+su2+su2+su2+su2,1876
f4+f4+g2+sp1+su3+su3,1876
e7+f4+g2+so7+sp1+su2+su2+su3,1860
e6+e6+so7+so8+su2+su2+su3+su3,1856
e6+e6+so8+su3+su3+su3+su3,1852
e7+e7+f4+g2+g2+so7+su2+su2+su2+su2+su3,1824
e6+e7+g2+so7+sp1+su2+su2+su3,1810
e6+e6+e6+so8+su3+su3+su3+su3,1795
e6+e6+f4+g2+sp1+su3+su3+su3,1780
e6+e8+f4+g2+g2+so8+sp1+sp1+su3+su3,1776
g2+g2+so8+sp1+sp1,1752
e7+e7+f4+g2+g2+so7+so7+su2+su2+su2+su2+su2+su2,1732
e7+e7+f4+g2+g2+g2+so7+sp1+su2+su2+su2+su2,1714
e6+e6+e7+g2+so7+su2+su2+su2+su3+su3,1708
e6+e6+e6+f4+su3+su3+su3+su3,1707
e6+e8+f4+g2+g2+sp1+sp1+su3+su3,1684
e6+e6+e6+f4+su3+su3+su3,1668
e7+g2+so7+sp1+su2+su2+su3,1648
e7+e7+e7+e7+g2+so7+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2+su2,1647
e6+e6+e8+f4+g2+g2+sp1+sp1+su3+su3+su3,1646
