T_H,n_bases
1,329515
2,168726
3,909192
4,1622642
5,1590585
6,1048970
7,919438
8,747098
9,440879
10,371592
11,276585
12,240217
13,153422
14,104075
15,93625
16,102909
17,79304
18,59049
19,42214
20,40025
21,39673
22,30556
23,25686
24,20167
25,17890
26,15182
27,13698
28,12821
29,10023
30,8719
31,7822
32,8291
33,7323
34,4874
35,4226
36,4082
37,4785
38,3572
39,2991
40,2775
41,2744
42,3059
43,2914
44,2245
45,2506
46,2083
47,2387
48,2488
49,1826
50,1238
51,1434
52,1281
53,928
54,936
55,745
56,847
57,1151
58,986
59,935
60,685
61,624
62,435
63,509
64,387
65,181
66,123
67,190
68,256
69,367
70,318
71,173
72,189
73,221
74,148
75,191
76,64
77,39
78,48
79,132
80,162
81,207
82,73
83,85
84,127
85,80
86,79
87,39
88,27
89,17
90,32
91,78
92,50
93,41
94,31
95,41
96,45
97,17
98,18
99,13
100,13
101,3
102,7
103,10
104,11
105,14
106,9
107,12
108,15
109,11
110,10
111,8
112,7
113,1
114,5
115,8
116,7
117,11
118,6
119,7
120,11
121,8
122,7
123,3
124,4
126,5
127,4
128,3
129,3
130,2
131,3
132,3
133,2
135,1
136,3
139,1
142,1
143,2
144,2
145,1
148,2
155,1
156,1
160,1
168,1
180,1
192,1
