combo,n_bases,percent_of_total
su2+su2+su3,295750,3.0709
su2+su2+su2,283737,2.9462
su2+su2+su2n3mix,266001,2.7620
su2+su2,247942,2.5745
su2+su2+su2+su3,229764,2.3858
su2+su2+su2+su2,190511,1.9782
su2+su2n3mix+su3,177089,1.8388
nhc_2_3+su2+su2,171009,1.7757
su2+su2+su2+su2n3mix,161581,1.6778
su2+su2n3mix,161296,1.6748
su2+su3,157994,1.6405
su2+su2+su2n3mix+su3,154135,1.6005
nhc_2_3+su2,146468,1.5209
su2,115485,1.1991
su2+su2+su3+su3,113134,1.1747
su2+su3+su3,97844,1.0160
su2+su2n3mix+su2n3mix,97785,1.0154
nhc_2_3+su2+su3,97658,1.0140
su2+su2+su2+su2+su3,97045,1.0077
nhc_2_3+su2+su2+su2,94310,0.9793
nhc_2_3+su2+su2n3mix,89209,0.9263
so8+su2+su2,84990,0.8825
su2+su2+su2+su2n3,81469,0.8459
nhc_2_3+su2+su2+su3,80095,0.8317
su2+su2+su2+su2+su2,73251,0.7606
su2+su2+su2n3+su2n3mix,72260,0.7503
su2+su2+su2n3mix+su2n3mix,69375,0.7204
su2+su2+su2n3,68202,0.7082
su2n3mix+su3,67365,0.6995
su2+su2+su2n3+su3,66124,0.6866
so8+su2,59993,0.6229
su2+su2+su2+su3+su3,59247,0.6152
so8+su2+su2+su2,55511,0.5764
nhc_2_3+su2n3mix,52731,0.5475
su2+su2n3mix+su3+su3,50711,0.5266
su2+su2n3+su2n3mix,50617,0.5256
so8+su2+su2+su3,49588,0.5149
so8+su2+su3,49236,0.5112
su2+su2+su2+su2n3mix+su3,49164,0.5105
nhc_2_3_2+su2,48735,0.5060
nhc_2_3_2+su2+su2,45452,0.4720
su2+su2n3mix+su2n3mix+su3,44697,0.4641
su2+su2n3+su3,43896,0.4558
so8+su2+su2n3mix,43793,0.4547
su2+su2n3+su2n3mix+su3,42435,0.4406
su2+su2+su2+su2n3+su3,41580,0.4317
su2n3mix,40956,0.4253
nhc_2_3+su2+su2+su2n3mix,40278,0.4182
su2+su2+su2+su2+su2n3mix,40026,0.4156
su2+su2+su2+su2+su2n3,38832,0.4032
nhc_2_2_3+su2+su2,37093,0.3852
su2n3mix+su2n3mix,35178,0.3653
1,34900,0.3624
