T_block,n_with_1,n_with_2
2,1,0
3,3,0
4,10,0
5,39,218612
6,81,114407
7,151,90949
8,255,62929
9,413,47998
10,531,19369
11,617,12300
12,731,7446
13,864,5469
14,919,4138
15,930,3262
16,1107,3673
17,1071,3796
18,1038,2838
19,1116,2186
20,1040,1982
21,1145,1814
22,1096,2036
23,1014,1316
24,966,1326
25,951,782
26,977,1147
27,890,1026
28,901,1018
29,746,683
30,696,557
31,842,498
32,760,638
33,780,621
34,642,304
35,574,237
36,510,368
37,498,276
38,547,338
39,405,185
40,453,184
41,452,164
42,424,180
43,496,191
44,403,165
45,379,85
46,384,86
47,479,184
48,411,211
49,411,62
50,348,66
51,343,53
52,420,109
53,361,74
54,260,63
55,292,41
56,286,29
57,344,17
58,416,9
59,283,18
60,219,73
61,226,10
62,236,10
63,122,29
64,138,31
65,70,27
66,64,1
67,0,2
68,0,7
69,41,4
70,29,3
71,19,0
72,20,19
73,15,9
74,23,17
75,23,10
76,14,23
77,0,5
79,0,1
80,16,5
81,12,0
82,10,3
83,10,0
84,8,9
85,12,16
86,13,7
87,9,13
88,0,11
89,0,4
91,11,0
92,8,4
93,4,0
94,8,0
95,5,0
96,6,6
97,7,0
100,0,1
101,0,3
104,0,1
116,0,1
