external,total_occurrences,n_bases_containing,occ_per_base
su2,17528685,8388703,1.8214
su3,5051422,3978691,0.5249
su2n3mix,3677402,3103701,0.3821
nhc_2_3,1881836,1783426,0.1955
su2n3,1683304,1496780,0.1749
so8,1113533,1065343,0.1157
2,623395,618880,0.0648
nhc_2_2_3,463033,454428,0.0481
nhc_2_3_2,436583,433384,0.0454
f4,416813,409326,0.0433
e6,315100,311697,0.0327
g2,271759,267948,0.0282
e7,180625,179921,0.0188
e7p,144955,144392,0.0151
e8,74844,74746,0.0078
g2mix,49099,49089,0.0051
1,34900,34900,0.0036
hat1m1,1730,1724,0.0002
so7,1685,1682,0.0002
so7mix,139,139,0.0
su8,9,9,0.0
hat1m2,3,3,0.0
so16n2,3,3,0.0
