generator_pattern,n_blocks,percent_of_total,n_combos
su2+su2+su2,849343,8.8246,520
su2+su2+su2+su2,675063,7.0138,431
su2+su2+su3,618238,6.4234,361
su2+su2+su2+su3,599164,6.2252,321
su2+su2,520943,5.4125,509
g2+su2+su2+su2,369817,3.8424,521
g2+su2+su2,272201,2.8281,605
su2+su2+su2+su2+su3,266374,2.7676,255
su2+su2+su2+su2+su2,258748,2.6884,333
su2+su3,251013,2.6080,285
g2+su2+su2+su2+su2,223318,2.3202,306
su2+su2+su3+su3,213677,2.2201,207
su2,172785,1.7952,378
g2+su2+su2+su3,164268,1.7067,291
so8+su2+su2,163277,1.6964,314
g2+su2+su2+su2+su3,147379,1.5313,202
su2+su3+su3,147358,1.5310,190
so8+su2+su2+su2,127255,1.3222,282
su2+su2+su2+su3+su3,124014,1.2885,171
so8+su2,90810,0.9435,282
so8+su2+su2+su3,90516,0.9405,180
so7+su2+su2+su2+su2,86114,0.8947,138
g2+sp1+su2+su2,76723,0.7971,162
so7+su2+su2+su2,76654,0.7964,140
so8+su2+su3,72637,0.7547,174
g2+su2,72569,0.7540,493
g2+su2+su2+su2+su2+su2,71679,0.7447,176
su2+su2+su2+su2+su2+su3,65650,0.6821,143
f4+su2+su2,59964,0.6230,317
so8+su2+su2+su2+su2,57337,0.5957,186
g2+su2+su2+su2+su2+su3,57270,0.5950,131
su2+su2+su2+su2+su2+su2,56848,0.5906,207
g2+su2+su3,54077,0.5619,304
g2+sp1+su2+su2+su2,51161,0.5316,107
f4+su2,48618,0.5051,280
g2+sp1+su2,47158,0.4900,157
so8+su2+su2+su2+su3,46072,0.4787,131
e6+su2+su2,45708,0.4749,308
e7+su2+su2,44529,0.4627,659
f4+su2+su2+su2,42411,0.4406,265
so7+su2+su2+su2+su2+su2,41711,0.4334,96
g2+so8+su2+su2,38258,0.3975,232
(none),37887,0.3936,188
su2+su2+su2+su2+su3+su3,37180,0.3863,111
e7+su2+su2+su2,36728,0.3816,533
so7+su2+su2+su2+su3,36455,0.3788,64
e6+su2,35903,0.3730,288
g2+su2+su2+su3+su3,35526,0.3691,118
g2+g2+su2+su2+su2,34675,0.3603,184
su2+su3+su3+su3,34245,0.3558,104
e6+su2+su2+su2,33060,0.3435,248
g2+sp1+su2+su2+su3,32056,0.3331,72
f4+su2+su3,31855,0.3310,180
f4+su2+su2+su3,31714,0.3295,170
e7+su2,31547,0.3278,572
su2+su2+su3+su3+su3,31217,0.3243,96
g2+sp1+su2+su3,29007,0.3014,78
g2+so8+su2+su2+su2,28103,0.2920,149
e7+su2+su2+su3,25877,0.2689,349
e6+su2+su3,25757,0.2676,173
e7+su2+su3,25073,0.2605,394
so7+su2+su2+su2+su2+su3,25062,0.2604,64
e6+su2+su2+su3,24700,0.2566,159
g2+su2+su2+su2+su3+su3,22147,0.2301,93
g2+g2+su2+su2,21751,0.2260,255
g2+g2+su2+su2+su2+su2,20914,0.2173,108
