generator_pattern,n_blocks,percent_of_total
su2+su2+su2,849343,8.8246
su2+su2+su2+su2,675063,7.0138
su2+su2+su3,610263,6.3406
su2+su2+su2+su3,596891,6.2016
su2+su2,520943,5.4125
g2+su2+su2+su2,336841,3.4997
su2+su2+su2+su2+su3,266083,2.7646
su2+su2+su2+su2+su2,258748,2.6884
g2+su2+su2,244944,2.5449
su2+su3,242726,2.5219
su2+su2+su3+su3,212520,2.2081
g2+su2+su2+su2+su2,204606,2.1258
su2,172785,1.7952
so8+su2+su2,163277,1.6964
g2+su2+su2+su3,149454,1.5528
su2+su3+su3,144847,1.5049
g2+su2+su2+su2+su3,135583,1.4087
so8+su2+su2+su2,127255,1.3222
su2+su2+su2+su3+su3,123878,1.2871
so7+su2+su2+su2,101330,1.0528
so7+su2+su2+su2+su2,100620,1.0454
so8+su2,90810,0.9435
so8+su2+su2+su3,90416,0.9394
g2+sp1+su2+su2,87296,0.9070
so8+su2+su3,72398,0.7522
g2+su2,71280,0.7406
su2+su2+su2+su2+su2+su3,65625,0.6818
g2+su2+su2+su2+su2+su2,64456,0.6697
f4+su2+su2,59964,0.6230
g2+sp1+su2,58816,0.6111
so8+su2+su2+su2+su2,57337,0.5957
su2+su2+su2+su2+su2+su2,56848,0.5906
g2+sp1+su2+su2+su2,55658,0.5783
g2+su2+su2+su2+su2+su3,51982,0.5401
g2+su2+su3,50492,0.5246
f4+su2,48618,0.5051
so7+su2+su2+su2+su2+su2,47151,0.4899
so8+su2+su2+su2+su3,46065,0.4786
e6+su2+su2,45708,0.4749
so7+su2+su2+su2+su3,45612,0.4739
e7+su2+su2,44529,0.4627
so7+su2+su2,42611,0.4427
f4+su2+su2+su2,42411,0.4406
(none),37887,0.3936
su2+su2+su2+su2+su3+su3,37169,0.3862
e7+su2+su2+su2,36728,0.3816
e6+su2,35903,0.3730
g2+so8+su2+su2,35027,0.3639
g2+sp1+su2+su2+su3,34746,0.3610
su2+su3+su3+su3,33987,0.3531
e6+su2+su2+su2,33060,0.3435
g2+su2+su2+su3+su3,32685,0.3396
g2+sp1+su2+su3,32406,0.3367
f4+su2+su3,31778,0.3302
f4+su2+su2+su3,31688,0.3292
e7+su2,31547,0.3278
su2+su2+su3+su3+su3,31158,0.3237
g2+g2+su2+su2+su2,29967,0.3114
so7+su2+su2+su2+su2+su3,28835,0.2996
so7+su2+su2+su3,26890,0.2794
g2+so8+su2+su2+su2,26361,0.2739
e7+su2+su2+su3,25865,0.2687
e6+su2+su3,25707,0.2671
e7+su2+su3,25026,0.2600
e6+su2+su2+su3,24682,0.2564
so8+su2+su3+su3,20447,0.2124
g2+sp1+su2+su2+su2+su2,20168,0.2095
g2+su2+su2+su2+su3+su3,20035,0.2082
f4+su2+su2+su2+su2,19928,0.2070
e7+su2+su2+su2+su2,18562,0.1929
su3+su3,18074,0.1878
g2+g2+su2+su2,18073,0.1878
g2+g2+su2+su2+su2+su2,17775,0.1847
su3,17630,0.1832
g2+sp1+su2+su2+su2+su3,16108,0.1674
g2+su2+su3+su3,16087,0.1671
so8+su2+su2+su3+su3,15831,0.1645
f4+so8+su2,15756,0.1637
g2+so8+su2,15689,0.1630
e6+su2+su2+su2+su2,15311,0.1591
so8+so8+su2,15208,0.1580
so8+su2+su2+su2+su2+su2,15042,0.1563
f4+su2+su2+su2+su3,14545,0.1511
g2+g2+sp1+su2+su2,14026,0.1457
g2+so7+su2+su2+su2+su2,13768,0.1430
su2+su2+su2+su3+su3+su3,13397,0.1392
g2+su2+su2+su2+su2+su2+su2,13379,0.1390
so8+so8+su2+su2,12718,0.1321
so8+su2+su2+su2+su2+su3,12459,0.1294
g2+so7+su2+su2+su2,12256,0.1273
f4+g2+su2+su2,12246,0.1272
so7+su2+su2+su2+su2+su2+su2,12172,0.1265
e6+so8+su2,12119,0.1259
su2+su2+su2+su2+su2+su2+su3,12100,0.1257
e7+su2+su2+su2+su3,11896,0.1236
g2+su2+su2+su2+su2+su2+su3,11745,0.1220
g2+g2+sp1+su2+su2+su2,11417,0.1186
e7+g2+su2+su2,10928,0.1135
g2+so8+su2+su2+su3,10599,0.1101
e7+so8+su2,10562,0.1097
e6+su2+su2+su2+su3,10459,0.1087
su2+su2+su2+su2+su2+su2+su2,10226,0.1062
e6+g2+su2+su2,9931,0.1032
so7+so8+su2+su2+su2,9498,0.0987
e8+su2+su2,9462,0.0983
so7+su2,8836,0.0918
g2+g2+su2+su2+su2+su3,8770,0.0911
f4+g2+su2,8765,0.0911
so7+su2+su2+su2+su2+su2+su3,8624,0.0896
e7+su2+su3+su3,8572,0.0891
g2+so8+su2+su2+su2+su2,8517,0.0885
f4+su2+su3+su3,8503,0.0883
su2+su2+su2+su2+su2+su3+su3,8330,0.0865
e8+su2+su2+su2,8224,0.0854
g2+sp1,8172,0.0849
e7+g2+su2,7982,0.0829
su3+su3+su3,7885,0.0819
so7+su2+su2+su2+su3+su3,7742,0.0804
f4+so8+su2+su2,7736,0.0804
g2+sp1+su2+su3+su3,7690,0.0799
f4+g2+su2+su2+su2,7516,0.0781
g2+g2+su2+su2+su3,7456,0.0775
g2+so8+sp1+su2+su2,7430,0.0772
e6+su2+su3+su3,7325,0.0761
e6+g2+su2,7192,0.0747
g2+so8+sp1+su2,7045,0.0732
so7+so8+su2+su2,7004,0.0728
g2+sp1+su3,6964,0.0724
so8+su3,6917,0.0719
so7+su2+su2+su3+su3,6553,0.0681
g2+sp1+su2+su2+su3+su3,6423,0.0667
g2+g2+su2,6389,0.0664
e6+f4+su2,6104,0.0634
g2+g2+sp1+su2,6096,0.0633
g2+su2+su2+su2+su2+su3+su3,6093,0.0633
e8+su2+su2+su3,6041,0.0628
e7+su2+su2+su2+su2+su2,5981,0.0621
e7,5964,0.0620
g2+so7+su2+su2+su2+su2+su2,5942,0.0617
e7+g2+su2+su2+su2,5756,0.0598
g2+so8+su2+su3,5748,0.0597
e8+su2,5688,0.0591
f4+su2+su2+su2+su2+su2,5612,0.0583
g2,5601,0.0582
so8,5504,0.0572
e6+so8+su2+su2,5497,0.0571
so8+su2+su2+su2+su3+su3,5479,0.0569
g2+g2+sp1+su2+su2+su3,5406,0.0562
e8+su2+su3,5392,0.0560
e7+so8+su2+su2,5382,0.0559
g2+sp1+su2+su2+su2+su2+su2,5373,0.0558
f4+su2+su2+su3+su3,5323,0.0553
e6+g2+su2+su2+su2,5193,0.0540
f4,5178,0.0538
e7+f4+su2,5028,0.0522
g2+so8+su2+su2+su2+su3,4984,0.0518
g2+g2+su2+su2+su2+su2+su2,4982,0.0518
so7+so8+su2+su2+su2+su2,4937,0.0513
g2+sp1+su2+su2+su2+su2+su3,4792,0.0498
so8+so8+su2+su2+su2,4538,0.0471
so8+su3+su3,4521,0.0470
su2+su3+su3+su3+su3,4493,0.0467
e8+su2+su2+su2+su2,4483,0.0466
g2+so7+sp1+su2+su2+su2,4445,0.0462
f4+f4+su2,4440,0.0461
g2+su3,4435,0.0461
g2+so7+su2+su2,4415,0.0459
so7+su2+su3,4276,0.0444
e6+su2+su2+su2+su2+su2,4251,0.0442
e7+g2+sp1+su2,4219,0.0438
e7+su2+su2+su3+su3,4192,0.0436
g2+so7+su2+su2+su2+su3,4174,0.0434
g2+su2+su2+su3+su3+su3,4166,0.0433
g2+g2+sp1+su2+su2+su2+su2,4153,0.0431
e7+su3,4073,0.0423
su2+su2+su2+su2+su3+su3+su3,3974,0.0413
e6+su2+su2+su3+su3,3835,0.0398
e6,3780,0.0393
e6+su3,3626,0.0377
f4+su3,3605,0.0375
f4+su2+su2+su2+su2+su3,3534,0.0367
so8+so8+su2+su3,3438,0.0357
g2+g2+su2+su2+su2+su2+su3,3389,0.0352
so7+su2+su2+su2+su2+su3+su3,3369,0.0350
g2+so8+sp1+su2+su2+su2,3329,0.0346
f4+g2+sp1+su2,3303,0.0343
g2+so8+sp1+su2+su3,3224,0.0335
su2+su2+su3+su3+su3+su3,3185,0.0331
e6+e7+su2,3156,0.0328
g2+g2+sp1+su2+su3,3126,0.0325
f4+g2+su2+su2+su3,3102,0.0322
e8+g2+su2+su2,2967,0.0308
e8+su2+su2+su2+su3,2945,0.0306
e6+g2+sp1+su2,2934,0.0305
e7+su2+su2+su2+su2+su3,2842,0.0295
g2+su2+su3+su3+su3,2833,0.0294
g2+so7+su2+su2+su2+su2+su3,2757,0.0286
g2+so7+sp1+su2+su2+su2+su2,2752,0.0286
so8+su2+su2+su2+su2+su2+su2,2751,0.0286
g2+su2+su2+su2+su2+su2+su2+su2,2703,0.0281
so8+su2+su3+su3+su3,2690,0.0279
f4+g2+sp1+su2+su2,2687,0.0279
g2+g2+sp1+su2+su2+su2+su3,2596,0.0270
e7+su3+su3,2531,0.0263
g2+sp1+su2+su2+su2+su3+su3,2515,0.0261
g2+so7+sp1+su2+su2,2509,0.0261
f4+so7+su2+su2+su2,2500,0.0260
g2+sp1+su3+su3,2498,0.0260
e7+g2+sp1+su2+su2,2474,0.0257
so7+su2+su2+su2+su2+su2+su2+su2,2467,0.0256
e7+g2+su2+su3,2454,0.0255
su2+su2+su2+su2+su2+su2+su2+su3,2412,0.0251
f4+so7+su2+su2,2409,0.0250
e6+su2+su2+su2+su2+su3,2408,0.0250
e7+so7+su2+su2,2399,0.0249
so8+su2+su2+su2+su2+su2+su3,2336,0.0243
e6+so7+su2+su2,2271,0.0236
g2+su2+su2+su2+su2+su2+su2+su3,2261,0.0235
e6+e6+su2,2255,0.0234
so8+so8+su2+su2+su3,2234,0.0232
so7+so8+su2+su2+su3,2219,0.0231
f4+g2+su2+su3,2211,0.0230
g2+so8+sp1+su2+su2+su3,2184,0.0227
e8+su2+su3+su3,2168,0.0225
su2+su2+su2+su2+su2+su2+su2+su2,2164,0.0225
e7+g2+sp1,2149,0.0223
f4+g2+su2+su2+su2+su2,2114,0.0220
e6+su3+su3,2105,0.0219
e6+g2+su2+su2+su3,2065,0.0215
g2+su2+su2+su2+su3+su3+su3,2052,0.0213
e8+so8+su2,2032,0.0211
so7+so8+su2+su2+su2+su3,2032,0.0211
so7+so8+su2,2030,0.0211
e7+so7+su2+su2+su2,2020,0.0210
g2+g2+sp1+sp1+su2+su2,2018,0.0210
f4+su3+su3,1996,0.0207
e6+g2+sp1+su2+su2,1988,0.0207
so7+so7+su2+su2+su2+su2,1951,0.0203
f4+so8+su2+su2+su2,1945,0.0202
e6+g2+su2+su3,1933,0.0201
f4+so8+su2+su3,1927,0.0200
e7+g2+su2+su2+su3,1903,0.0198
g2+so8+sp1,1890,0.0196
su3+su3+su3+su3,1883,0.0196
e8+g2+su2,1852,0.0192
e6+so7+su2+su2+su2,1837,0.0191
e7+so8,1806,0.0188
g2+su3+su3,1805,0.0188
g2+g2+su2+su3,1802,0.0187
so7+su2+su2+su2+su2+su2+su2+su3,1800,0.0187
su2+su2+su2+su2+su2+su2+su3+su3,1774,0.0184
e8+su2+su2+su2+su2+su2,1748,0.0182
g2+so8+su2+su2+su2+su2+su2,1737,0.0180
e7+f4,1726,0.0179
so7+so7+su2+su2+su2+su2+su2,1719,0.0179
g2+g2+sp1+sp1+su2,1643,0.0171
g2+g2+su2+su2+su3+su3,1568,0.0163
so8+su2+su2+su3+su3+su3,1539,0.0160
e8+g2+su2+su2+su2,1519,0.0158
g2+so8+su2+su2+su3+su3,1495,0.0155
g2+so8,1493,0.0155
e7+so8+su2+su3,1465,0.0152
f4+g2+sp1,1461,0.0152
e6+so8+su2+su3,1456,0.0151
f4+so8,1434,0.0149
g2+g2+so8+su2+su2,1426,0.0148
g2+so7+su2,1419,0.0147
g2+sp1+su2+su2+su2+su2+su2+su2,1407,0.0146
g2+g2+sp1,1401,0.0146
g2+sp1+su2+su3+su3+su3,1376,0.0143
e6+e7,1375,0.0143
f4+su2+su2+su2+su3+su3,1353,0.0141
e6+g2+su2+su2+su2+su2,1352,0.0140
so8+su2+su2+su2+su2+su3+su3,1308,0.0136
f4+so7+su2,1297,0.0135
e7+su2+su2+su2+su2+su2+su2,1296,0.0135
e8+g2+sp1+su2,1295,0.0135
su2+su2+su2+su3+su3+su3+su3,1290,0.0134
e7+g2,1290,0.0134
so7+su2+su3+su3,1288,0.0134
e6+g2+sp1,1287,0.0134
g2+so7+su2+su2+su3,1281,0.0133
g2+so8+su2+su3+su3,1280,0.0133
g2+g2+so8+su2+su2+su2,1274,0.0132
g2+so8+su2+su2+su2+su2+su3,1274,0.0132
e8,1266,0.0132
so7+so8+su2+su2+su2+su2+su2,1264,0.0131
e6+f4+su2+su2,1258,0.0131
e7+g2+su2+su2+su2+su2,1249,0.0130
g2+su2+su2+su2+su2+su2+su3+su3,1241,0.0129
e7+so8+su2+su2+su2,1224,0.0127
f4+f4+su2+su2,1218,0.0127
e8+so8+su2+su2,1217,0.0126
g2+so7+su2+su2+su2+su2+su2+su2,1211,0.0126
f4+g2,1210,0.0126
e6+so8+su2+su2+su2,1206,0.0125
e7+e7,1203,0.0125
g2+so7+sp1+su2+su2+su3,1198,0.0124
e8+su3,1193,0.0124
f4+g2+sp1+su2+su3,1174,0.0122
g2+sp1+su2+su2+su2+su2+su2+su3,1170,0.0122
e6+so8,1167,0.0121
g2+so7+sp1+su2+su2+su2+su3,1166,0.0121
so8+su3+su3+su3,1158,0.0120
g2+g2+su2+su2+su2+su3+su3,1142,0.0119
f4+so7+su2+su2+su2+su2,1131,0.0118
so8+so8+su2+su2+su2+su2,1123,0.0117
e6+f4,1118,0.0116
e7+so7+su2,1068,0.0111
e6+so7+su2,1064,0.0111
e8+su2+su2+su3+su3,1054,0.0110
f4+g2+sp1+su2+su2+su2,1048,0.0109
g2+g2+g2+su2+su2+su2,1047,0.0109
g2+g2+sp1+sp1+su2+su3,1039,0.0108
e7+e7+su2,1036,0.0108
g2+g2+su2+su2+su2+su2+su2+su2,1032,0.0107
e7+g2+sp1+su2+su3,1028,0.0107
g2+so8+sp1+su3,1027,0.0107
g2+g2+sp1+sp1+su2+su2+su2,1012,0.0105
f4+su2+su2+su2+su2+su2+su2,1009,0.0105
e7+f4+su2+su2,1002,0.0104
g2+g2+sp1+su2+su2+su2+su2+su2,990,0.0103
so7+su2+su2+su3+su3+su3,985,0.0102
g2+so8+so8+su2+su2,978,0.0102
so8+so8,976,0.0101
f4+g2+su2+su2+su2+su3,967,0.0100
e8+f4+su2,951,0.0099
g2+g2+so8+sp1+su2+su2,944,0.0098
g2+g2+sp1+su2+su2+su3+su3,939,0.0098
f4+so8+su2+su2+su3,931,0.0097
e7+g2+sp1+su3,929,0.0097
su16,911,0.0095
g2+sp1+su2+su2+su3+su3+su3,901,0.0094
su2+su2+su2+su2+su2+su3+su3+su3,899,0.0093
g2+g2,899,0.0093
e6+g2+sp1+su2+su3,884,0.0092
e8+su3+su3,882,0.0092
e6+su2+su2+su2+su3+su3,872,0.0091
g2+g2+sp1+su2+su3+su3,869,0.0090
e7+su2+su2+su2+su3+su3,862,0.0090
e8+su2+su2+su2+su2+su3,860,0.0089
g2+so8+sp1+su2+su2+su2+su2,845,0.0088
e6+g2,844,0.0088
f4+su2+su3+su3+su3,838,0.0087
so7+su2+su2+su2+su3+su3+su3,826,0.0086
e8+so7+su2+su2,817,0.0085
g2+g2+g2+sp1+su2+su2,798,0.0083
e6+su2+su2+su2+su2+su2+su2,796,0.0083
so8+so8+su3,794,0.0082
f4+f4,788,0.0082
e8+g2+su2+su3,779,0.0081
so7+su2+su2+su2+su2+su2+su3+su3,766,0.0080
e7+g2+sp1+su2+su2+su2,751,0.0078
g2+g2+g2+sp1+su2+su2+su2,746,0.0078
e8+g2+sp1+su2+su2,744,0.0077
e7+so8+su3,737,0.0077
e6+so7+su2+su2+su2+su2,728,0.0076
so7+so7+su2+su2+su2,725,0.0075
g2+g2+so8+sp1+su2,714,0.0074
e6+g2+sp1+su2+su2+su2,704,0.0073
g2+g2+su2+su2+su2+su2+su2+su3,704,0.0073
g2+so7+so8+su2+su2+su2,695,0.0072
e7+su2+su3+su3+su3,682,0.0071
g2+so7+sp1+su2+su2+su2+su2+su2,673,0.0070
so7+so8+su2+su2+su2+su2+su3,667,0.0069
g2+g2+sp1+su2+su2+su2+su2+su3,664,0.0069
g2+g2+sp1+sp1+su2+su2+su3,661,0.0069
e6+so8+su3,659,0.0068
e6+su2+su3+su3+su3,652,0.0068
e8+g2+sp1,642,0.0067
g2+g2+g2+su2+su2+su2+su2,638,0.0066
g2+so8+sp1+su2+su2+su2+su3,632,0.0066
g2+sp1+su2+su2+su2+su2+su3+su3,628,0.0065
g2+so7+su2+su2+su2+su2+su2+su3,621,0.0065
f4+so8+su3,612,0.0064
so8+so8+su2+su2+su2+su3,611,0.0063
e6+g2+su2+su2+su2+su3,608,0.0063
e8+so7+su2+su2+su2,608,0.0063
e7+su3+su3+su3,603,0.0063
f4+g2+sp1+su3,596,0.0062
g2+so7+sp1+su2,593,0.0062
g2+so8+sp1+su2+su3+su3,589,0.0061
f4+so7+su2+su2+su3,582,0.0060
g2+sp1+su3+su3+su3,562,0.0058
g2+so7+su2+su2+su2+su3+su3,561,0.0058
e6+g2+sp1+su3,558,0.0058
g2+so8+so8+su2,554,0.0058
e8+su2+su2+su2+su2+su2+su2,551,0.0057
