T_H_plus_1,as_2_3,as_2_3_2,as_2_2_3,as_other
2,125764,0,0,0
3,47938,32848,18077,0
4,241684,10993,3645,0
5,341650,12849,4536,0
6,299001,8394,2964,0
7,172343,12219,4525,0
8,126971,14089,5114,0
9,105814,10750,3286,0
10,53177,6611,1531,0
11,36130,9207,1919,0
12,26829,10841,3190,0
13,25044,4461,1242,0
14,13464,2961,816,0
15,8516,2821,753,0
16,7644,2555,683,0
17,8102,1761,769,0
18,6207,1018,383,0
19,5096,1239,400,0
20,2997,976,406,0
21,2426,844,271,0
22,2459,804,226,0
23,2036,552,197,0
24,1615,763,169,0
25,1271,532,76,0
26,1078,422,138,0
27,800,450,99,0
28,740,272,93,0
29,816,296,99,0
30,748,125,67,0
31,475,118,54,0
32,436,95,55,0
33,452,138,47,0
34,370,113,29,0
35,247,102,30,0
36,187,63,28,0
37,161,43,16,0
38,247,61,25,0
39,189,68,26,0
40,173,53,22,0
41,118,27,20,0
42,110,14,20,0
43,126,21,17,0
44,193,21,21,0
45,91,16,9,0
46,101,22,8,0
47,111,11,15,0
48,143,13,26,0
49,164,15,12,0
50,130,15,11,0
51,34,26,6,0
52,43,12,9,0
53,59,10,12,0
54,39,7,7,0
55,35,7,6,0
56,17,1,7,0
57,22,4,3,0
58,28,13,9,0
59,35,9,9,0
60,49,12,10,0
61,10,5,4,0
62,14,8,4,0
63,0,15,2,0
64,5,6,3,0
65,19,4,0,0
66,0,0,1,0
68,3,0,4,0
69,4,0,0,0
70,14,2,4,0
71,20,0,1,0
72,2,0,3,0
73,0,1,1,0
74,9,0,1,0
75,0,3,1,0
76,4,0,0,0
80,3,0,3,0
81,5,0,0,0
82,11,2,1,0
85,0,1,0,0
87,0,3,0,0
92,0,0,2,0
93,2,0,0,0
