T,n_bases,max_total_rank
2,50,8
3,1117,16
4,10323,16
5,57346,16
6,242508,18
7,726822,20
8,1431640,21
9,1814717,22
10,1558440,24
11,1059713,26
12,694083,30
13,467288,32
14,331167,33
15,248868,34
16,175492,38
17,121383,39
18,99707,43
19,93767,43
20,79329,46
21,59362,47
22,45416,50
23,38833,52
24,34551,55
25,30084,56
26,23925,58
27,19596,60
28,16586,62
29,14542,64
30,12936,67
31,11194,67
32,9832,70
33,8718,71
34,7877,74
35,6959,76
36,5832,79
37,5030,79
38,4639,81
39,4126,85
40,3788,86
41,3209,88
42,3004,91
43,3058,94
44,2817,94
45,2626,96
46,2639,98
47,2475,102
48,2159,103
49,2289,103
50,2143,106
51,1970,110
52,1842,110
53,1468,114
54,1174,115
55,1095,117
56,924,118
57,885,122
58,1109,122
59,876,127
60,813,127
61,789,127
62,750,130
63,566,134
64,519,134
65,350,139
66,288,139
67,192,139
68,162,139
69,221,144
70,236,144
71,282,151
72,259,151
73,236,151
74,260,152
75,197,152
76,139,156
77,105,157
78,105,157
79,98,160
80,69,164
81,91,162
82,115,169
83,156,169
84,160,169
85,119,138
86,119,174
87,75,142
88,53,181
89,41,181
90,38,149
91,39,150
92,33,151
93,47,155
94,55,187
95,49,150
96,45,154
97,42,156
98,24,160
99,19,162
100,13,199
101,13,162
102,9,168
103,9,168
104,6,169
105,12,211
106,13,174
107,11,168
108,11,170
109,13,174
110,14,171
111,11,178
112,8,180
113,6,180
114,5,186
115,4,170
116,7,176
117,7,192
118,12,192
119,5,186
120,6,185
121,11,188
122,9,191
123,9,193
124,2,198
125,2,196
126,3,199
127,5,191
128,3,195
129,4,210
130,3,203
131,1,201
132,2,204
133,3,205
134,3,209
135,1,211
136,1,212
137,1,216
138,2,217
140,1,213
143,1,221
144,1,223
145,2,223
146,2,229
149,1,235
150,1,235
156,1,241
158,1,242
161,1,253
170,1,260
182,1,278
193,1,296
