gram_bibj_pattern	ID	gauge_group	vertices	num_AB	delta	delta_28n	T_min	n_pos_bibj	n_neg_bibj	gram_b0bi	gram_bibj	hyper_strings	hypers
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n55-2f6d3864	SU(8) x SO(16)	vtx-A07-65-n2-0,vtx-D08-8-n4-n2	0,2	-55	1	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1,2) : 1 x (irr-A7-8, irr-D8-16)	(1, 2):[[1, ['irr-A7-8', 'irr-D8-16']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n54-be2a345d	SU(9) x SO(17)	vtx-A08-82-n2-0,vtx-B08-17-n4-n2	0,2	-54	2	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 1 x (irr-A8-9),(1,2) : 1 x (irr-A8-9, irr-B8-17)	(1, 2):[[1, ['irr-A8-9', 'irr-B8-17']]]; (1,):[[1, ['irr-A8-9']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n53-18eeb457	SU(9) x SO(18)	vtx-A08-82-n2-0,vtx-D09-27-n4-n2	0,2	-53	3	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(2) : 1 x (irr-D9-18),(1,2) : 1 x (irr-A8-9, irr-D9-18)	(1, 2):[[1, ['irr-A8-9', 'irr-D9-18']]]; (2,):[[1, ['irr-D9-18']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n52-b95fbd5d	SU(10) x SO(18)	vtx-A09-101-n2-0,vtx-D09-27-n4-n2	0,2	-52	4	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 2 x (irr-A9-10),(1,2) : 1 x (irr-A9-10, irr-D9-18)	(1, 2):[[1, ['irr-A9-10', 'irr-D9-18']]]; (1,):[[2, ['irr-A9-10']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n51-596c7a7f	SU(10) x SO(19)	vtx-A09-101-n2-0,vtx-B09-38-n4-n2	0,2	-51	5	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 1 x (irr-A9-10),(2) : 1 x (irr-B9-19),(1,2) : 1 x (irr-A9-10, irr-B9-19)	(1, 2):[[1, ['irr-A9-10', 'irr-B9-19']]]; (1,):[[1, ['irr-A9-10']]]; (2,):[[1, ['irr-B9-19']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n49-071c42d7	SU(10) x SO(20)	vtx-A09-101-n2-0,vtx-D10-50-n4-n2	0,2	-49	7	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(2) : 2 x (irr-D10-20),(1,2) : 1 x (irr-A9-10, irr-D10-20)	(1, 2):[[1, ['irr-A9-10', 'irr-D10-20']]]; (2,):[[2, ['irr-D10-20']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n49-4c626f8e	SU(11) x SO(19)	vtx-A10-122-n2-0,vtx-B09-38-n4-n2	0,2	-49	7	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 3 x (irr-A10-11),(1,2) : 1 x (irr-A10-11, irr-B9-19)	(1, 2):[[1, ['irr-A10-11', 'irr-B9-19']]]; (1,):[[3, ['irr-A10-11']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n48-3daec33f	SU(11) x SO(20)	vtx-A10-122-n2-0,vtx-D10-50-n4-n2	0,2	-48	8	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 2 x (irr-A10-11),(2) : 1 x (irr-D10-20),(1,2) : 1 x (irr-A10-11, irr-D10-20)	(1, 2):[[1, ['irr-A10-11', 'irr-D10-20']]]; (1,):[[2, ['irr-A10-11']]]; (2,):[[1, ['irr-D10-20']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n46-5ff21aaf	SU(11) x SO(21)	vtx-A10-122-n2-0,vtx-B10-63-n4-n2	0,2	-46	10	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 1 x (irr-A10-11),(2) : 2 x (irr-B10-21),(1,2) : 1 x (irr-A10-11, irr-B10-21)	(1, 2):[[1, ['irr-A10-11', 'irr-B10-21']]]; (1,):[[1, ['irr-A10-11']]]; (2,):[[2, ['irr-B10-21']]]
[[-2, 2], [ 2,-4]]	clq-(0,2)-(0,2)-n45-32e36d84	SU(12) x SO(20)	vtx-A11-145-n2-0,vtx-D10-50-n4-n2	0,2	-45	11	2	0	2	[ 0,-2]	[[-2, 2], [ 2,-4]]	(1) : 4 x (irr-A11-12),(1,2) : 1 x (irr-A11-12, irr-D10-20)	(1, 2):[[1, ['irr-A11-12', 'irr-D10-20']]]; (1,):[[4, ['irr-A11-12']]]
