group_id	count_in_group	gram_bibj_pattern	ID	gauge_group	vertices	num_AB	delta	delta_28n	T_min	n_pos_bibj	n_neg_bibj	gram_b0bi	gram_bibj	hyper_strings	hypers
3	16	[[-1, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	clq-(0,3)-(0,2)-n55-0218bf11	Sp(3) x SU(14) x SO(22)	vtx-C03-63-n1-1,vtx-A13-197-n2-0,vtx-D11-77-n4-n2	0,3	-55	1	11	0	2	[ 1, 0,-2]	[[-1, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	(1,2) : 1 x (irr-C3-6, irr-A13-14),(2,3) : 1 x (irr-A13-14, irr-D11-22)	(1, 2):[[1, ['irr-C3-6', 'irr-A13-14']]]; (2, 3):[[1, ['irr-A13-14', 'irr-D11-22']]]
3	16	[[-1, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	clq-(0,3)-(0,2)-n55-c54b4cf1	Sp(4) x SU(16) x SO(24)	vtx-C04-92-n1-1,vtx-A15-257-n2-0,vtx-D12-108-n4-n2	0,3	-55	1	11	0	2	[ 1, 0,-2]	[[-1, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	(1,2) : 1 x (irr-C4-8, irr-A15-16),(2,3) : 1 x (irr-A15-16, irr-D12-24)	(1, 2):[[1, ['irr-C4-8', 'irr-A15-16']]]; (2, 3):[[1, ['irr-A15-16', 'irr-D12-24']]]
3	16	[[-1, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	clq-(0,3)-(0,2)-n55-5eacd6cd	Sp(5) x SU(18) x SO(26)	vtx-C05-125-n1-1,vtx-A17-325-n2-0,vtx-D13-143-n4-n2	0,3	-55	1	11	0	2	[ 1, 0,-2]	[[-1, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	(1,2) : 1 x (irr-C5-10, irr-A17-18),(2,3) : 1 x (irr-A17-18, irr-D13-26)	(1, 2):[[1, ['irr-C5-10', 'irr-A17-18']]]; (2, 3):[[1, ['irr-A17-18', 'irr-D13-26']]]
3	16	[[-1, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	clq-(0,3)-(0,2)-n55-aeb45a2a	Sp(6) x SU(20) x SO(28)	vtx-C06-162-n1-1,vtx-A19-401-n2-0,vtx-D14-182-n4-n2	0,3	-55	1	11	0	2	[ 1, 0,-2]	[[-1, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	(1,2) : 1 x (irr-C6-12, irr-A19-20),(2,3) : 1 x (irr-A19-20, irr-D14-28)	(1, 2):[[1, ['irr-C6-12', 'irr-A19-20']]]; (2, 3):[[1, ['irr-A19-20', 'irr-D14-28']]]
3	16	[[-1, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	clq-(0,3)-(0,2)-n55-99695d86	Sp(7) x SU(22) x SO(30)	vtx-C07-203-n1-1,vtx-A21-485-n2-0,vtx-D15-225-n4-n2	0,3	-55	1	11	0	2	[ 1, 0,-2]	[[-1, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	(1,2) : 1 x (irr-C7-14, irr-A21-22),(2,3) : 1 x (irr-A21-22, irr-D15-30)	(1, 2):[[1, ['irr-C7-14', 'irr-A21-22']]]; (2, 3):[[1, ['irr-A21-22', 'irr-D15-30']]]
3	16	[[-1, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	clq-(0,3)-(0,2)-n55-7ac12265	Sp(8) x SU(24) x SO(32)	vtx-C08-248-n1-1,vtx-A23-577-n2-0,vtx-D16-272-n4-n2	0,3	-55	1	11	0	2	[ 1, 0,-2]	[[-1, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	(1,2) : 1 x (irr-C8-16, irr-A23-24),(2,3) : 1 x (irr-A23-24, irr-D16-32)	(1, 2):[[1, ['irr-C8-16', 'irr-A23-24']]]; (2, 3):[[1, ['irr-A23-24', 'irr-D16-32']]]
3	16	[[-1, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	clq-(0,3)-(0,2)-n54-49ce9d89	SU(5) x SU(13) x SO(21)	vtx-A04-51-n1-1,vtx-A12-170-n2-0,vtx-B10-63-n4-n2	0,3	-54	2	11	0	2	[ 1, 0,-2]	[[-1, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	(1) : 1 x (irr-A4-10),(1,2) : 1 x (irr-A4-5, irr-A12-13),(2,3) : 1 x (irr-A12-13, irr-B10-21)	(1, 2):[[1, ['irr-A4-5', 'irr-A12-13']]]; (1,):[[1, ['irr-A4-10']]]; (2, 3):[[1, ['irr-A12-13', 'irr-B10-21']]]
3	16	[[-1, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	clq-(0,3)-(0,2)-n54-565850d5	SU(7) x SU(15) x SO(23)	vtx-A06-78-n1-1,vtx-A14-226-n2-0,vtx-B11-92-n4-n2	0,3	-54	2	11	0	2	[ 1, 0,-2]	[[-1, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	(1) : 1 x (irr-A6-21),(1,2) : 1 x (irr-A6-7, irr-A14-15),(2,3) : 1 x (irr-A14-15, irr-B11-23)	(1, 2):[[1, ['irr-A6-7', 'irr-A14-15']]]; (1,):[[1, ['irr-A6-21']]]; (2, 3):[[1, ['irr-A14-15', 'irr-B11-23']]]
3	16	[[-1, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	clq-(0,3)-(0,2)-n54-070b3ba2	SU(9) x SU(17) x SO(25)	vtx-A08-109-n1-1,vtx-A16-290-n2-0,vtx-B12-125-n4-n2	0,3	-54	2	11	0	2	[ 1, 0,-2]	[[-1, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	(1) : 1 x (irr-A8-36),(1,2) : 1 x (irr-A8-9, irr-A16-17),(2,3) : 1 x (irr-A16-17, irr-B12-25)	(1, 2):[[1, ['irr-A8-9', 'irr-A16-17']]]; (1,):[[1, ['irr-A8-36']]]; (2, 3):[[1, ['irr-A16-17', 'irr-B12-25']]]
3	16	[[-1, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	clq-(0,3)-(0,2)-n54-135216d5	SU(11) x SU(19) x SO(27)	vtx-A10-144-n1-1,vtx-A18-362-n2-0,vtx-B13-162-n4-n2	0,3	-54	2	11	0	2	[ 1, 0,-2]	[[-1, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	(1) : 1 x (irr-A10-55),(1,2) : 1 x (irr-A10-11, irr-A18-19),(2,3) : 1 x (irr-A18-19, irr-B13-27)	(1, 2):[[1, ['irr-A10-11', 'irr-A18-19']]]; (1,):[[1, ['irr-A10-55']]]; (2, 3):[[1, ['irr-A18-19', 'irr-B13-27']]]
