Higgs_to	gram_bibj_pattern	ID	gauge_group	vertices	num_AB	delta	delta_28n	T_min	n_pos_bibj	n_neg_bibj	gram_b0bi	gram_bibj	hyper_strings	hypers
Higgs_to	[[-1, 2], [ 2,-4]]	clq-(0,2)-(0,1)-n28-36c04760	Sp(3) x SO(14)	vtx-C03-63-n1-1,vtx-D07-n7-n4-n2	0,2	-28	0	10	0	1	[ 1,-2]	[[-1, 2], [ 2,-4]]	(1,2) : 1 x (irr-C3-6, irr-D7-14)	(1, 2):[[1, ['irr-C3-6', 'irr-D7-14']]]
Higgs_to	[[-1, 2], [ 2,-4]]	clq-(0,2)-(0,1)-n28-50b56030	Sp(4) x SO(16)	vtx-C04-92-n1-1,vtx-D08-8-n4-n2	0,2	-28	0	10	0	1	[ 1,-2]	[[-1, 2], [ 2,-4]]	(1,2) : 1 x (irr-C4-8, irr-D8-16)	(1, 2):[[1, ['irr-C4-8', 'irr-D8-16']]]
Higgs_to	[[-1, 2], [ 2,-4]]	clq-(0,2)-(0,1)-n28-24aa98e8	Sp(5) x SO(18)	vtx-C05-125-n1-1,vtx-D09-27-n4-n2	0,2	-28	0	10	0	1	[ 1,-2]	[[-1, 2], [ 2,-4]]	(1,2) : 1 x (irr-C5-10, irr-D9-18)	(1, 2):[[1, ['irr-C5-10', 'irr-D9-18']]]
Higgs_to	[[-1, 2], [ 2,-4]]	clq-(0,2)-(0,1)-n28-1d15b7e3	Sp(6) x SO(20)	vtx-C06-162-n1-1,vtx-D10-50-n4-n2	0,2	-28	0	10	0	1	[ 1,-2]	[[-1, 2], [ 2,-4]]	(1,2) : 1 x (irr-C6-12, irr-D10-20)	(1, 2):[[1, ['irr-C6-12', 'irr-D10-20']]]
Higgs_to	[[-1, 2], [ 2,-4]]	clq-(0,2)-(0,1)-n28-bb1c1d49	Sp(7) x SO(22)	vtx-C07-203-n1-1,vtx-D11-77-n4-n2	0,2	-28	0	10	0	1	[ 1,-2]	[[-1, 2], [ 2,-4]]	(1,2) : 1 x (irr-C7-14, irr-D11-22)	(1, 2):[[1, ['irr-C7-14', 'irr-D11-22']]]
Higgs_to	[[-1, 2], [ 2,-4]]	clq-(0,2)-(0,1)-n28-10a6bc1a	Sp(8) x SO(24)	vtx-C08-248-n1-1,vtx-D12-108-n4-n2	0,2	-28	0	10	0	1	[ 1,-2]	[[-1, 2], [ 2,-4]]	(1,2) : 1 x (irr-C8-16, irr-D12-24)	(1, 2):[[1, ['irr-C8-16', 'irr-D12-24']]]
Higgs_to	[[-1, 2], [ 2,-4]]	clq-(0,2)-(0,1)-n28-426ae9f1	Sp(9) x SO(26)	vtx-C09-297-n1-1,vtx-D13-143-n4-n2	0,2	-28	0	10	0	1	[ 1,-2]	[[-1, 2], [ 2,-4]]	(1,2) : 1 x (irr-C9-18, irr-D13-26)	(1, 2):[[1, ['irr-C9-18', 'irr-D13-26']]]
Higgs_to	[[-1, 2], [ 2,-4]]	clq-(0,2)-(0,1)-n28-dd473f27	Sp(10) x SO(28)	vtx-C10-350-n1-1,vtx-D14-182-n4-n2	0,2	-28	0	10	0	1	[ 1,-2]	[[-1, 2], [ 2,-4]]	(1,2) : 1 x (irr-C10-20, irr-D14-28)	(1, 2):[[1, ['irr-C10-20', 'irr-D14-28']]]
Higgs_to	[[-1, 2], [ 2,-4]]	clq-(0,2)-(0,1)-n28-7bd93705	Sp(11) x SO(30)	vtx-C11-407-n1-1,vtx-D15-225-n4-n2	0,2	-28	0	10	0	1	[ 1,-2]	[[-1, 2], [ 2,-4]]	(1,2) : 1 x (irr-C11-22, irr-D15-30)	(1, 2):[[1, ['irr-C11-22', 'irr-D15-30']]]
Higgs_to	[[-1, 2], [ 2,-4]]	clq-(0,2)-(0,1)-n28-48cbed76	Sp(12) x SO(32)	vtx-C12-468-n1-1,vtx-D16-272-n4-n2	0,2	-28	0	10	0	1	[ 1,-2]	[[-1, 2], [ 2,-4]]	(1,2) : 1 x (irr-C12-24, irr-D16-32)	(1, 2):[[1, ['irr-C12-24', 'irr-D16-32']]]
